"dt_evoluca","n.casos"
2020-04-19,1
2020-04-26,1
2020-05-10,1
2020-05-17,1
2020-05-24,1
2020-05-31,1
2020-06-07,1
2020-06-14,3
2020-06-21,5
2020-06-28,5
2020-07-05,15
2020-07-12,19
2020-07-19,15
2020-07-26,15
2020-08-02,10
2020-08-09,9
2020-08-16,6
2020-08-23,7
2020-08-30,11
2020-09-06,5
2020-09-13,1
2020-09-20,6
2020-09-27,5
2020-10-04,6
2020-10-11,5
2020-10-18,5
2020-10-25,8
2020-11-01,4
2020-11-08,4
2020-11-15,4
2020-11-22,3
2020-11-29,4
2020-12-06,6
2020-12-13,2
2020-12-20,4
2020-12-27,5
2021-01-03,4
2021-01-10,15
2021-01-17,14
2021-01-24,2
2021-01-31,15
2021-02-07,9
2021-02-14,13
2021-02-21,8
2021-02-28,20
2021-03-07,19
2021-03-14,43
2021-03-21,49
2021-03-28,44
2021-04-04,47
2021-04-11,41
2021-04-18,31
2021-04-25,33
2021-05-02,23
2021-05-09,11
2021-05-16,18
2021-05-23,15
2021-05-30,16
2021-06-06,20
2021-06-13,16
2021-06-20,20
2021-06-27,27
2021-07-04,19
2021-07-11,23
2021-07-18,16
2021-07-25,14
2021-08-01,17
2021-08-08,14
2021-08-15,15
2021-08-22,8
2021-08-29,5
2021-09-05,7
2021-09-12,5
