"dt_evoluca","n.casos"
2020-02-16,2
2020-04-12,1
2020-04-19,5
2020-04-26,2
2020-05-03,2
2020-05-10,1
2020-05-17,4
2020-05-24,2
2020-05-31,7
2020-06-07,3
2020-06-14,6
2020-06-21,7
2020-06-28,12
2020-07-05,20
2020-07-12,22
2020-07-19,21
2020-07-26,21
2020-08-02,16
2020-08-09,12
2020-08-16,11
2020-08-23,10
2020-08-30,17
2020-09-06,13
2020-09-13,8
2020-09-20,10
2020-09-27,8
2020-10-04,15
2020-10-11,14
2020-10-18,10
2020-10-25,14
2020-11-01,5
2020-11-08,9
2020-11-15,6
2020-11-22,3
2020-11-29,6
2020-12-06,9
2020-12-13,3
2020-12-20,4
2020-12-27,5
2021-01-03,6
2021-01-10,15
2021-01-17,17
2021-01-24,4
2021-01-31,17
2021-02-07,11
2021-02-14,14
2021-02-21,9
2021-02-28,22
2021-03-07,20
2021-03-14,44
2021-03-21,51
2021-03-28,45
2021-04-04,48
2021-04-11,42
2021-04-18,34
2021-04-25,34
2021-05-02,23
2021-05-09,13
2021-05-16,19
2021-05-23,15
2021-05-30,18
2021-06-06,22
2021-06-13,17
2021-06-20,22
2021-06-27,28
2021-07-04,20
2021-07-11,24
2021-07-18,16
2021-07-25,16
2021-08-01,18
2021-08-08,16
2021-08-15,15
2021-08-22,11
2021-08-29,5
2021-09-05,8
2021-09-12,6
2021-09-19,1
2021-09-26,4
2021-10-03,2
2021-10-10,4
2021-10-24,2
