"dt_sin_pri","n.casos"
2020-01-05,1
2020-01-26,1
2020-02-09,4
2020-02-23,1
2020-03-01,3
2020-03-15,6
2020-03-22,6
2020-03-29,7
2020-04-05,7
2020-04-12,13
2020-04-19,9
2020-04-26,12
2020-05-03,14
2020-05-10,12
2020-05-17,15
2020-05-24,16
2020-05-31,22
2020-06-07,23
2020-06-14,31
2020-06-21,56
2020-06-28,55
2020-07-05,71
2020-07-12,70
2020-07-19,60
2020-07-26,45
2020-08-02,60
2020-08-09,42
2020-08-16,38
2020-08-23,40
2020-08-30,41
2020-09-06,33
2020-09-13,44
2020-09-20,32
2020-09-27,44
2020-10-04,40
2020-10-11,32
2020-10-18,41
2020-10-25,34
2020-11-01,25
2020-11-08,30
2020-11-15,29
2020-11-22,28
2020-11-29,30
2020-12-06,39
2020-12-13,46
2020-12-20,46
2020-12-27,37
2021-01-03,69
2021-01-10,44
2021-01-17,40
2021-01-24,41
2021-01-31,39
2021-02-07,46
2021-02-14,53
2021-02-21,93
2021-02-28,116
2021-03-07,141
2021-03-14,140
2021-03-21,126
2021-03-28,109
2021-04-04,87
2021-04-11,72
2021-04-18,64
2021-04-25,65
2021-05-02,65
2021-05-09,66
2021-05-16,72
2021-05-23,76
2021-05-30,90
2021-06-06,102
2021-06-13,101
2021-06-20,94
2021-06-27,71
2021-07-04,76
2021-07-11,67
2021-07-18,72
2021-07-25,77
2021-08-01,53
2021-08-08,46
2021-08-15,42
2021-08-22,30
2021-08-29,29
2021-09-05,12
2021-09-12,19
2021-09-19,24
2021-09-26,18
2021-10-03,4
