"dt_notific","n.notific"
2020-04-12,1
2020-04-19,1
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-24,3
2020-05-31,2
2020-06-07,3
2020-06-14,6
2020-06-21,7
2020-06-28,7
2020-07-05,22
2020-07-12,17
2020-07-19,18
2020-07-26,6
2020-08-02,10
2020-08-09,10
2020-08-16,7
2020-08-23,3
2020-08-30,9
2020-09-06,1
2020-09-13,4
2020-09-20,5
2020-09-27,7
2020-10-04,8
2020-10-11,5
2020-10-18,5
2020-10-25,6
2020-11-01,3
2020-11-08,6
2020-11-15,3
2020-11-22,1
2020-11-29,3
2020-12-06,4
2020-12-13,4
2020-12-20,8
2020-12-27,7
2021-01-03,10
2021-01-10,16
2021-01-17,15
2021-01-24,6
2021-01-31,10
2021-02-07,10
2021-02-14,16
2021-02-21,8
2021-02-28,23
2021-03-07,46
2021-03-14,41
2021-03-21,56
2021-03-28,51
2021-04-04,43
2021-04-11,34
2021-04-18,23
2021-04-25,25
2021-05-02,14
2021-05-09,12
2021-05-16,13
2021-05-23,20
2021-05-30,24
2021-06-06,17
2021-06-13,19
2021-06-20,20
2021-06-27,24
2021-07-04,17
2021-07-11,12
2021-07-18,14
2021-07-25,12
2021-08-01,22
2021-08-08,16
2021-08-15,10
2021-08-22,6
2021-08-29,4
2021-09-12,1
2021-09-26,2
2021-10-03,3
2021-10-24,1
