"dt_notific","n.notific"
2020-01-05,1
2020-02-09,1
2020-02-16,3
2020-03-01,1
2020-03-08,3
2020-03-22,3
2020-03-29,9
2020-04-05,7
2020-04-12,11
2020-04-19,11
2020-04-26,10
2020-05-03,7
2020-05-10,16
2020-05-17,6
2020-05-24,22
2020-05-31,16
2020-06-07,20
2020-06-14,27
2020-06-21,33
2020-06-28,43
2020-07-05,65
2020-07-12,64
2020-07-19,62
2020-07-26,64
2020-08-02,49
2020-08-09,56
2020-08-16,44
2020-08-23,41
2020-08-30,43
2020-09-06,45
2020-09-13,38
2020-09-20,32
2020-09-27,35
2020-10-04,46
2020-10-11,40
2020-10-18,30
2020-10-25,40
2020-11-01,34
2020-11-08,28
2020-11-15,25
2020-11-22,26
2020-11-29,31
2020-12-06,34
2020-12-13,24
2020-12-20,50
2020-12-27,42
2021-01-03,51
2021-01-10,49
2021-01-17,53
2021-01-24,48
2021-01-31,36
2021-02-07,41
2021-02-14,50
2021-02-21,41
2021-02-28,75
2021-03-07,118
2021-03-14,111
2021-03-21,140
2021-03-28,133
2021-04-04,107
2021-04-11,110
2021-04-18,83
2021-04-25,71
2021-05-02,58
2021-05-09,70
2021-05-16,71
2021-05-23,72
2021-05-30,82
2021-06-06,89
2021-06-13,80
2021-06-20,106
2021-06-27,101
2021-07-04,85
2021-07-11,62
2021-07-18,78
2021-07-25,73
2021-08-01,68
2021-08-08,60
2021-08-15,63
2021-08-22,31
2021-08-29,40
2021-09-05,24
2021-09-12,21
2021-09-19,10
