"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,16,NA,NA,NA,16,NA,NA,NA
2020-03-22,22,NA,NA,NA,22,NA,NA,NA
2020-03-29,29,NA,NA,NA,29,NA,NA,NA
2020-04-05,36,NA,NA,NA,36,NA,NA,NA
2020-04-12,49,NA,NA,NA,49,NA,NA,NA
2020-04-19,58,NA,NA,NA,58,NA,NA,NA
2020-04-26,70,NA,NA,NA,70,NA,NA,NA
2020-05-03,84,NA,NA,NA,84,NA,NA,NA
2020-05-10,96,NA,NA,NA,96,NA,NA,NA
2020-05-17,111,NA,NA,NA,111,NA,NA,NA
2020-05-24,127,NA,NA,NA,127,NA,NA,NA
2020-05-31,149,NA,NA,NA,149,NA,NA,NA
2020-06-07,172,NA,NA,NA,172,NA,NA,NA
2020-06-14,203,NA,NA,NA,203,NA,NA,NA
2020-06-21,259,NA,NA,NA,259,NA,NA,NA
2020-06-28,314,NA,NA,NA,314,NA,NA,NA
2020-07-05,385,NA,NA,NA,385,NA,NA,NA
2020-07-12,455,NA,NA,NA,455,NA,NA,NA
2020-07-19,515,NA,NA,NA,515,NA,NA,NA
2020-07-26,560,NA,NA,NA,560,NA,NA,NA
2020-08-02,620,NA,NA,NA,620,NA,NA,NA
2020-08-09,662,NA,NA,NA,662,NA,NA,NA
2020-08-16,700,NA,NA,NA,700,NA,NA,NA
2020-08-23,740,NA,NA,NA,740,NA,NA,NA
2020-08-30,781,NA,NA,NA,781,NA,NA,NA
2020-09-06,814,NA,NA,NA,814,NA,NA,NA
2020-09-13,858,NA,NA,NA,858,NA,NA,NA
2020-09-20,890,NA,NA,NA,890,NA,NA,NA
2020-09-27,934,NA,NA,NA,934,NA,NA,NA
2020-10-04,974,NA,NA,NA,974,NA,NA,NA
2020-10-11,1006,NA,NA,NA,1006,NA,NA,NA
2020-10-18,1047,NA,NA,NA,1047,NA,NA,NA
2020-10-25,1081,NA,NA,NA,1081,NA,NA,NA
2020-11-01,1106,NA,NA,NA,1106,NA,NA,NA
2020-11-08,1136,NA,NA,NA,1136,NA,NA,NA
2020-11-15,1165,NA,NA,NA,1165,NA,NA,NA
2020-11-22,1193,NA,NA,NA,1193,NA,NA,NA
2020-11-29,1223,NA,NA,NA,1223,NA,NA,NA
2020-12-06,1262,NA,NA,NA,1262,NA,NA,NA
2020-12-13,1308,NA,NA,NA,1308,NA,NA,NA
2020-12-20,1354,NA,NA,NA,1354,NA,NA,NA
2020-12-27,1391,NA,NA,NA,1391,NA,NA,NA
2021-01-03,1460,NA,NA,NA,1460,NA,NA,NA
2021-01-10,1504,NA,NA,NA,1504,NA,NA,NA
2021-01-17,1544,NA,NA,NA,1544,NA,NA,NA
2021-01-24,1585,NA,NA,NA,1585,NA,NA,NA
2021-01-31,1624,NA,NA,NA,1624,NA,NA,NA
2021-02-07,1670,NA,NA,NA,1670,NA,NA,NA
2021-02-14,1723,NA,NA,NA,1723,NA,NA,NA
2021-02-21,1816,NA,NA,NA,1816,NA,NA,NA
2021-02-28,1932,NA,NA,NA,1932,NA,NA,NA
2021-03-07,2073,NA,NA,NA,2073,NA,NA,NA
2021-03-14,2213,NA,NA,NA,2213,NA,NA,NA
2021-03-21,2339,NA,NA,NA,2339,NA,NA,NA
2021-03-28,2448,NA,NA,NA,2448,NA,NA,NA
2021-04-04,2535,NA,NA,NA,2535,NA,NA,NA
2021-04-11,2607,NA,NA,NA,2607,NA,NA,NA
2021-04-18,2671,NA,NA,NA,2671,NA,NA,NA
2021-04-25,2736,NA,NA,NA,2736,NA,NA,NA
2021-05-02,2801,NA,NA,NA,2801,NA,NA,NA
2021-05-09,2867,NA,NA,NA,2867,NA,NA,NA
2021-05-16,2939,NA,NA,NA,2939,NA,NA,NA
2021-05-23,3015,NA,NA,NA,3015,NA,NA,NA
2021-05-30,3105,NA,NA,NA,3105,NA,NA,NA
2021-06-06,3207,NA,NA,NA,3207,NA,NA,NA
2021-06-13,3308,NA,NA,NA,3308,NA,NA,NA
2021-06-20,3402,NA,NA,NA,3402,NA,NA,NA
2021-06-27,3473,NA,NA,NA,3473,NA,NA,NA
2021-07-04,3549,NA,NA,NA,3549,NA,NA,NA
2021-07-11,3616,NA,NA,NA,3616,NA,NA,NA
2021-07-18,3688,NA,NA,NA,3688,NA,NA,NA
2021-07-25,3765,NA,NA,NA,3765,NA,NA,NA
2021-08-01,3818,NA,NA,NA,3818,NA,NA,NA
2021-08-08,3864,NA,NA,NA,3864,NA,NA,NA
2021-08-15,3906,NA,NA,NA,3906,NA,NA,NA
2021-08-22,3936,NA,NA,NA,3936,NA,NA,NA
2021-08-29,3965,NA,NA,NA,3965,NA,NA,NA
2021-09-05,3977,NA,NA,NA,3977,NA,NA,NA
2021-09-12,3996,NA,NA,NA,3996,NA,NA,NA
2021-09-19,4020,NA,NA,NA,4020,NA,NA,NA
2021-09-26,4040,NA,NA,NA,4040,NA,NA,NA
2021-10-03,4049,NA,NA,NA,4049,NA,NA,NA
2021-10-10,4054,NA,NA,NA,4054,NA,NA,NA
2021-10-17,4061,NA,NA,NA,4061,NA,NA,NA
2021-10-24,4065,NA,NA,NA,4064,NA,NA,NA
2021-10-31,4072,4072,4066,4094,4066,4066,4066,4066
2021-11-07,NA,4077,4069,4104,NA,4067,4067,4068
