"dt_sin_pri","n.casos"
2020-03-22,8
2020-03-29,1
2020-04-05,1
2020-04-12,3
2020-04-19,2
2020-04-26,1
2020-05-10,3
2020-05-17,3
2020-05-24,3
2020-05-31,9
2020-06-07,11
2020-06-14,5
2020-06-21,6
2020-06-28,6
2020-07-05,9
2020-07-12,11
2020-07-19,7
2020-07-26,15
2020-08-02,14
2020-08-09,20
2020-08-16,19
2020-08-23,9
2020-08-30,10
2020-09-06,16
2020-09-13,20
2020-09-20,13
2020-09-27,12
2020-10-04,6
2020-10-11,16
2020-10-18,8
2020-10-25,8
2020-11-01,12
2020-11-08,8
2020-11-15,14
2020-11-22,9
2020-11-29,17
2020-12-06,14
2020-12-13,12
2020-12-20,12
2020-12-27,19
2021-01-03,13
2021-01-10,21
2021-01-17,28
2021-01-24,36
2021-01-31,74
2021-02-07,125
2021-02-14,106
2021-02-21,103
2021-02-28,38
2021-03-07,44
2021-03-14,31
2021-03-21,27
2021-03-28,33
2021-04-04,26
2021-04-11,36
2021-04-18,30
2021-04-25,30
2021-05-02,25
2021-05-09,38
2021-05-16,24
2021-05-23,29
2021-05-30,30
2021-06-06,54
2021-06-13,42
2021-06-20,35
2021-06-27,21
2021-07-04,26
2021-07-11,28
2021-07-18,18
2021-07-25,17
2021-08-01,19
2021-08-08,14
2021-08-15,11
2021-08-22,4
2021-08-29,6
2021-09-05,5
2021-09-12,5
2021-09-19,9
2021-09-26,8
2021-10-03,1
2021-10-10,1
2021-10-17,4
2021-10-24,1
