"dt_sin_pri","n.casos"
2020-02-16,1
2020-03-01,1
2020-03-08,1
2020-03-15,4
2020-03-22,23
2020-03-29,13
2020-04-05,17
2020-04-12,7
2020-04-19,18
2020-04-26,4
2020-05-03,8
2020-05-10,18
2020-05-17,9
2020-05-24,13
2020-05-31,25
2020-06-07,17
2020-06-14,11
2020-06-21,13
2020-06-28,12
2020-07-05,18
2020-07-12,24
2020-07-19,16
2020-07-26,28
2020-08-02,24
2020-08-09,33
2020-08-16,25
2020-08-23,17
2020-08-30,18
2020-09-06,28
2020-09-13,31
2020-09-20,21
2020-09-27,18
2020-10-04,19
2020-10-11,31
2020-10-18,21
2020-10-25,16
2020-11-01,17
2020-11-08,13
2020-11-15,17
2020-11-22,14
2020-11-29,22
2020-12-06,19
2020-12-13,20
2020-12-20,17
2020-12-27,27
2021-01-03,20
2021-01-10,25
2021-01-17,34
2021-01-24,44
2021-01-31,75
2021-02-07,127
2021-02-14,108
2021-02-21,106
2021-02-28,42
2021-03-07,46
2021-03-14,35
2021-03-21,32
2021-03-28,34
2021-04-04,28
2021-04-11,39
2021-04-18,30
2021-04-25,32
2021-05-02,25
2021-05-09,39
2021-05-16,25
2021-05-23,30
2021-05-30,32
2021-06-06,53
2021-06-13,41
2021-06-20,35
2021-06-27,20
2021-07-04,24
2021-07-11,23
2021-07-18,24
2021-07-25,15
2021-08-01,21
2021-08-08,14
2021-08-15,13
2021-08-22,5
2021-08-29,5
2021-09-05,5
2021-09-12,5
2021-09-19,6
2021-09-26,7
