"dt_notific","n.notific"
2020-03-29,5
2020-04-05,4
2020-04-12,1
2020-04-19,2
2020-04-26,1
2020-05-03,2
2020-05-17,3
2020-05-24,2
2020-05-31,4
2020-06-07,7
2020-06-14,6
2020-06-21,8
2020-06-28,6
2020-07-05,7
2020-07-12,12
2020-07-19,9
2020-07-26,7
2020-08-02,13
2020-08-09,15
2020-08-16,10
2020-08-23,23
2020-08-30,12
2020-09-06,9
2020-09-13,18
2020-09-20,17
2020-09-27,10
2020-10-04,15
2020-10-11,12
2020-10-18,5
2020-10-25,12
2020-11-01,12
2020-11-08,6
2020-11-15,12
2020-11-22,7
2020-11-29,13
2020-12-06,12
2020-12-13,15
2020-12-20,19
2020-12-27,7
2021-01-03,13
2021-01-10,16
2021-01-17,18
2021-01-24,13
2021-01-31,31
2021-02-07,62
2021-02-14,70
2021-02-21,116
2021-02-28,112
2021-03-07,76
2021-03-14,42
2021-03-21,36
2021-03-28,39
2021-04-04,29
2021-04-11,28
2021-04-18,37
2021-04-25,34
2021-05-02,32
2021-05-09,20
2021-05-16,26
2021-05-23,29
2021-05-30,32
2021-06-06,32
2021-06-13,39
2021-06-20,51
2021-06-27,40
2021-07-04,27
2021-07-11,35
2021-07-18,32
2021-07-25,22
2021-08-01,15
2021-08-08,13
2021-08-15,20
2021-08-22,10
2021-08-29,9
2021-09-05,5
2021-09-12,6
2021-09-19,6
2021-09-26,10
2021-10-03,8
2021-10-10,6
2021-10-17,3
2021-10-24,2
2021-10-31,6
