"dt_notific","n.notific"
2020-03-15,1
2020-03-29,2
2020-04-05,1
2020-04-12,1
2020-04-19,3
2020-05-10,1
2020-05-24,1
2020-05-31,2
2020-06-07,2
2020-06-14,3
2020-06-21,4
2020-06-28,2
2020-07-05,1
2020-07-12,1
2020-07-19,3
2020-07-26,2
2020-08-02,5
2020-08-09,2
2020-08-16,3
2020-08-23,13
2020-08-30,4
2020-09-06,5
2020-09-13,6
2020-09-20,5
2020-09-27,2
2020-10-04,6
2020-10-11,4
2020-10-18,4
2020-10-25,4
2020-11-01,3
2020-11-08,3
2020-11-15,6
2020-11-22,1
2020-11-29,1
2020-12-06,4
2020-12-13,3
2020-12-20,7
2020-12-27,4
2021-01-03,8
2021-01-10,2
2021-01-17,10
2021-01-24,8
2021-01-31,15
2021-02-07,21
2021-02-14,35
2021-02-21,44
2021-02-28,40
2021-03-07,28
2021-03-14,22
2021-03-21,11
2021-03-28,15
2021-04-04,11
2021-04-11,12
2021-04-18,15
2021-04-25,14
2021-05-02,15
2021-05-09,6
2021-05-16,6
2021-05-23,6
2021-05-30,14
2021-06-06,9
2021-06-13,10
2021-06-20,15
2021-06-27,9
2021-07-04,6
2021-07-11,6
2021-07-18,10
2021-07-25,5
2021-08-01,1
2021-08-08,2
2021-08-15,2
2021-08-22,3
2021-08-29,2
2021-09-05,2
2021-09-12,3
2021-09-26,1
2021-10-03,1
