"dt_notific","n.notific"
2020-03-01,1
2020-03-15,1
2020-03-22,2
2020-03-29,21
2020-04-05,17
2020-04-12,14
2020-04-19,12
2020-04-26,13
2020-05-03,6
2020-05-10,11
2020-05-17,16
2020-05-24,11
2020-05-31,15
2020-06-07,20
2020-06-14,11
2020-06-21,18
2020-06-28,11
2020-07-05,15
2020-07-12,21
2020-07-19,20
2020-07-26,14
2020-08-02,30
2020-08-09,27
2020-08-16,19
2020-08-23,36
2020-08-30,14
2020-09-06,17
2020-09-13,31
2020-09-20,27
2020-09-27,17
2020-10-04,26
2020-10-11,23
2020-10-18,22
2020-10-25,25
2020-11-01,17
2020-11-08,12
2020-11-15,16
2020-11-22,11
2020-11-29,16
2020-12-06,16
2020-12-13,24
2020-12-20,26
2020-12-27,12
2021-01-03,20
2021-01-10,22
2021-01-17,25
2021-01-24,18
2021-01-31,38
2021-02-07,66
2021-02-14,72
2021-02-21,118
2021-02-28,117
2021-03-07,79
2021-03-14,45
2021-03-21,40
2021-03-28,40
2021-04-04,33
2021-04-11,30
2021-04-18,39
2021-04-25,35
2021-05-02,34
2021-05-09,20
2021-05-16,26
2021-05-23,32
2021-05-30,35
2021-06-06,32
2021-06-13,40
2021-06-20,50
2021-06-27,40
2021-07-04,25
2021-07-11,32
2021-07-18,27
2021-07-25,25
2021-08-01,17
2021-08-08,14
2021-08-15,20
2021-08-22,12
2021-08-29,11
2021-09-05,5
2021-09-12,5
2021-09-19,7
2021-09-26,6
2021-10-03,7
