"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.64044701220257,0.538757444716641,1.13915471324803e-14,6.72819875949898e-07,0.0129057108430826,0.0919545086787348,0.000293051010738974,0.073385251506368,4.67838425811535e-10,0.0198005449482829,-1.12430264412548,-2.23776123639785,-33.725176211387,-15.8310596038246,-5.9693567818013,-4.00573271234522,-9.75443528325305,-4.23130371394495,-23.1021695408515,-5.5413172362576,1.61927141723776,8.65903987306158
2.92165064923827,0.959531777881009,2.02884462758433e-14,1.1982981545683e-06,0.0229851852471279,0.163771793897135,0.000521926444082991,0.130699782506366,8.33224377467482e-10,0.0352649458184868,-1.12430264412548,-2.23776123639785,-33.725176211387,-15.8310596038246,-5.9693567818013,-4.00573271234522,-9.75443528325305,-4.23130371394495,-23.1021695408515,-5.5413172362576,2.19645139152401,5.42774419980672
3.10288195079778,1.01905196488161,2.1546947707611e-14,1.27262912711816e-06,0.0244109666080889,0.173930631804211,0.000554301775748381,0.138807148697922,8.84909659709873e-10,0.0374524462411594,-1.12430264412548,-2.23776123639785,-33.725176211387,-15.8310596038246,-5.9693567818013,-4.00573271234522,-9.75443528325305,-4.23130371394495,-23.1021695408515,-5.5413172362576,2.25663398529659,28.6850905931306
3.27352067254884,1.07509332495997,2.27318924373061e-14,1.34261561418344e-06,0.0257534141148789,0.183495707483869,0.0005847848389064,0.146440656771806,9.33574048362893e-10,0.0395120919687058,-1.12430264412548,-2.23776123639785,-33.725176211387,-15.8310596038246,-5.9693567818013,-4.00573271234522,-9.75443528325305,-4.23130371394495,-23.1021695408515,-5.5413172362576,2.31016870812562,21.134983486518
3.02008609395626,0.991860056863093,2.0971998990238e-14,1.23867088420333e-06,0.0237595957442612,0.16928954783145,0.000539511045324342,0.135103283389989,8.61297142487239e-10,0.0364530826087303,-1.12430264412548,-2.23776123639785,-33.725176211387,-15.8310596038246,-5.9693567818013,-4.00573271234522,-9.75443528325305,-4.23130371394495,-23.1021695408515,-5.5413172362576,2.22958798303845,17.0930089224445
2.4273455297914,0.859505501952699,1.79962836119965e-14,1.2377122702948e-06,0.020422591301727,0.154991738484642,0.00034563287063403,0.0445572532019572,1.10377893326737e-09,0.0217292480754641,-1.20202970588808,-2.24022604443173,-33.7374391159249,-15.6910738172552,-5.97994156570739,-3.95321145517561,-10.0589614053621,-5.19980831954122,-22.7133541423413,-5.91792407996758,2.08882799159314,23.5019477374974
2.57147792571627,0.91054174124645,1.90648778615195e-14,1.31120590059742e-06,0.0216352563216779,0.164194931990543,0.000366156068977018,0.0472030008225611,1.16931978860529e-09,0.0230195005542826,-1.20202970588808,-2.24022604443173,-33.7374391159249,-15.6910738172552,-5.97994156570739,-3.95321145517561,-10.0589614053621,-5.19980831954122,-22.7133541423413,-5.91792407996758,2.14651050787885,12.9848107168994
1.55452939045985,0.996419813430034,1.81730430945194e-14,1.30330049309292e-06,0.0162860534608601,0.209003367962997,0.000258104647812026,0.0467295528096698,8.19906134418961e-10,0.0220991888593782,-1.5929040599436,-2.03766352775385,-33.6729139644438,-15.5846875870461,-6.15152307029391,-3.59948182946981,-10.2962223605844,-5.09745540895625,-22.9559081694214,-5.84629129130569,2.03407691697813,8.40122533995168
2.48366110431242,1.59197320383267,2.90349481700694e-14,2.08227439236035e-06,0.0260201175813894,0.333923268910624,0.000412372051983756,0.0746594908063836,1.30995849145132e-09,0.0353077247324709,-1.5929040599436,-2.03766352775385,-33.6729139644438,-15.5846875870461,-6.15152307029391,-3.59948182946981,-10.2962223605844,-5.09745540895625,-22.9559081694214,-5.84629129130569,2.50263778327099,2.34589251745969
3.34793754188525,1.43383009558794,8.55795917786857e-14,3.19562298766673e-06,0.025784635271373,0.716815734749265,0.000444024568357356,0.0782994438591475,1.16685364232464e-09,0.0110304563214368,-1.27724140779647,-2.12523665259462,-32.5749154588873,-15.1393144057262,-6.14356240147038,-2.81852237108103,-10.2052165678235,-5.03280068360229,-23.0545408100093,-6.99268098053413,2.4855859048988,3.26901400658832
