"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.56796689102889,0.903454525845473,0.000816762462209529,6.25429770341072e-06,6.0288474794666e-05,0.0729949292950578,0.0217967889211334,0.0172103883961041,0.00384083145493752,0.00177255154368873,-4.33662541029161,-4.88793471790443,-11.8965674658897,-16.7686469145628,-14.5027748201807,-7.4037705185395,-8.61239783381374,-8.8486473175471,-10.3484716276789,-11.1217404369073,4.78640521658164,9.51022920299062
1.68824609186283,0.972758787931771,0.000879416550626703,6.73406671757031e-06,6.49132214071671e-05,0.0785943917650711,0.0234688270025369,0.0185306023458813,0.00413546276417047,0.00190852449332924,-4.33662541029161,-4.88793471790443,-11.8965674658897,-16.7686469145628,-14.5027748201807,-7.4037705185395,-8.61239783381374,-8.8486473175471,-10.3484716276789,-11.1217404369073,4.86031558485745,12.4303994333755
1.58690905063847,0.750167313306146,0.000348252636518053,4.89372619028616e-06,0.000118927867745408,0.107724852110454,0.0215599428006657,0.0193562709497299,0.00172220104851976,0.00172204377322487,-3.93925137599052,-4.68849851982931,-12.3636218814766,-16.6285960494563,-13.438032908944,-6.6292144752306,-8.23795769288131,-8.34577833882565,-10.7651916337827,-10.7652829602146,4.4010395069061,8.27071754880426
2.05953808424285,0.97358960218075,0.000451972699732438,6.35122438724256e-06,0.000154348147930039,0.139808538776462,0.0279811393565392,0.0251211480417564,0.00223512409026991,0.00223491997368276,-3.93925137599052,-4.68849851982931,-12.3636218814766,-16.6285960494563,-13.438032908944,-6.6292144752306,-8.23795769288131,-8.34577833882565,-10.7651916337827,-10.7652829602146,4.66173310269842,20.4223505838287
2.15868037890044,1.02045637680048,0.000473729816494147,6.65696039885312e-06,0.00016177817783772,0.146538659211268,0.0293280988442833,0.0263304329199277,0.00234271876542994,0.0023425048230537,-3.93925137599052,-4.68849851982931,-12.3636218814766,-16.6285960494563,-13.438032908944,-6.6292144752306,-8.23795769288131,-8.34577833882565,-10.7651916337827,-10.7652829602146,4.7087484752951,13.082414066498
2.2740589374382,1.07499839559897,0.000499050037077844,7.01276596533254e-06,0.00017042500353004,0.154370953160438,0.0308956462229416,0.0277377590927464,0.00246793392783039,0.00246770855052232,-3.93925137599052,-4.68849851982931,-12.3636218814766,-16.6285960494563,-13.438032908944,-6.6292144752306,-8.23795769288131,-8.34577833882565,-10.7651916337827,-10.7652829602146,4.76081768894175,9.35274529198404
1.76602208543091,0.834838040991699,0.000387559606615752,5.44607677964899e-06,0.000132351152025439,0.119883661826932,0.0239933946632188,0.0215409963003579,0.00191658437262959,0.00191640934580991,-3.93925137599052,-4.68849851982931,-12.3636218814766,-16.6285960494563,-13.438032908944,-6.6292144752306,-8.23795769288131,-8.34577833882565,-10.7651916337827,-10.7652829602146,4.50798098400061,22.961059359831
2.0204220063421,0.955098559449555,0.000443388542213329,6.23059783034748e-06,0.000151416668184916,0.137153204681983,0.0274497034801182,0.0246440309681391,0.00219267316950193,0.00219247292962888,-3.93925137599052,-4.68849851982931,-12.3636218814766,-16.6285960494563,-13.438032908944,-6.6292144752306,-8.23795769288131,-8.34577833882565,-10.7651916337827,-10.7652829602146,4.64255777961488,7.39945214432376
1.6142295755622,0.763082334977927,0.000354248219460828,4.97797750153666e-06,0.000120975352302608,0.10957946344171,0.0219311228342049,0.0196895121538806,0.00175185078594536,0.00175169080296939,-3.93925137599052,-4.68849851982931,-12.3636218814766,-16.6285960494563,-13.438032908944,-6.6292144752306,-8.23795769288131,-8.34577833882565,-10.7651916337827,-10.7652829602146,4.41810917584839,16.5300465397042
1.64928746305677,0.485593745333762,0.000317260147323299,6.7404390786543e-06,0.000136258973251409,0.105392501168727,0.0248224577802389,0.0170088251276624,0.00128213990766054,0.00137548373929713,-3.93731383827869,-5.160040111954,-12.4934456589722,-16.3450426823105,-13.3386104602131,-6.68772098416219,-8.13366367227409,-8.51168013681769,-11.0968819864472,-11.026606991686,4.43765719234953,6.46287349204445
1.16927893968469,0.344266571097944,0.000224924773258661,4.77870209738379e-06,9.66021699277588e-05,0.0747190740108383,0.0175981311710527,0.0120585776925116,0.000908985986577611,0.00097516303510732,-3.93731383827869,-5.160040111954,-12.4934456589722,-16.3450426823105,-13.3386104602131,-6.68772098416219,-8.13366367227409,-8.51168013681769,-11.0968819864472,-11.026606991686,4.09370110623529,14.8308615624038
1.31501216587645,0.387174278038776,0.000252958300370912,5.37429622811265e-06,0.000108642193401108,0.0840316951007184,0.0197914764400566,0.0135615000241903,0.00102227756815931,0.00109670260136981,-3.93731383827869,-5.160040111954,-12.4934456589722,-16.3450426823105,-13.3386104602131,-6.68772098416219,-8.13366367227409,-8.51168013681769,-11.0968819864472,-11.026606991686,4.21115975548269,2.9026496883162
0.887228505166562,0.261223481316111,0.000170669002562402,3.62599596606216e-06,7.33000449353545e-05,0.0566955326843929,0.0133531555924787,0.00914983884294276,0.000689722743408071,0.000739936735853006,-3.93731383827869,-5.160040111954,-12.4934456589722,-16.3450426823105,-13.3386104602131,-6.68772098416219,-8.13366367227409,-8.51168013681769,-11.0968819864472,-11.026606991686,3.81766112417473,9.4295809144503
0.979086600219965,0.288268928162312,0.000188339004561609,4.00140892920998e-06,8.08890735293203e-05,0.0625654338429999,0.0147356578774413,0.0100971559785668,0.000761132326120451,0.000816545161551333,-3.93731383827869,-5.160040111954,-12.4934456589722,-16.3450426823105,-13.3386104602131,-6.68772098416219,-8.13366367227409,-8.51168013681769,-11.0968819864472,-11.026606991686,3.91617865574938,8.35556808377559
0.928243665849785,0.273299426800302,0.000178558758722151,3.79361998436039e-06,7.66885892659344e-05,0.0593164768600253,0.0139704507076201,0.00957282131947899,0.000721607527297476,0.000774142832636082,-3.93731383827869,-5.160040111954,-12.4934456589722,-16.3450426823105,-13.3386104602131,-6.68772098416219,-8.13366367227409,-8.51168013681769,-11.0968819864472,-11.026606991686,3.86285282857585,11.9877817101653
