"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.460951812110019,7.19991367341752,5.75169263953367,2.09159687764095,0.482600771200698,0.828284897310551,0.0033358036745624,0.0781647087857459,6.73213647841402e-05,0.0447223450276897,-3.60421801921027,-0.855687212568718,-1.08026206513262,-2.09182841819388,-3.55832177649599,-3.01815435361669,-8.53279789548396,-5.37869327631044,-12.435789164477,-5.93703826221847,2.82975624871573,14.9859050068246
0.247389140230965,3.86413591748459,3.08688730488685,1.12254326737708,0.259007962927036,0.444533860652323,0.00179029907541034,0.0419503722404157,3.61308364900159e-05,0.0240021238551332,-3.60421801921027,-0.855687212568718,-1.08026206513262,-2.09182841819388,-3.55832177649599,-3.01815435361669,-8.53279789548396,-5.37869327631044,-12.435789164477,-5.93703826221847,2.2074253036328,39.4559158481141
0.297263738157822,4.64316051427709,3.70921560528441,1.34885228831334,0.311224959998046,0.534153589085871,0.00215123022409194,0.0504077279126144,4.34149514718545e-05,0.0288410439287781,-3.60421801921027,-0.855687212568718,-1.08026206513262,-2.09182841819388,-3.55832177649599,-3.01815435361669,-8.53279789548396,-5.37869327631044,-12.435789164477,-5.93703826221847,2.39108249225103,8.79359685407506
0.210142021410481,3.28234833569067,2.62212293356795,0.953532200755102,0.22001150430485,0.377604465481672,0.00152075012785445,0.0356342886081935,3.06909470972531e-05,0.0203883437258135,-3.60421801921027,-0.855687212568718,-1.08026206513262,-2.09182841819388,-3.55832177649599,-3.01815435361669,-8.53279789548396,-5.37869327631044,-12.435789164477,-5.93703826221847,2.04424633479379,17.053557770437
0.197892600750059,3.09101646761382,2.469276365228,0.897949709628819,0.207186780109882,0.355593465921028,0.00143210384992086,0.0335571248492897,2.89019364132517e-05,0.0191998836682274,-3.60421801921027,-0.855687212568718,-1.08026206513262,-2.09182841819388,-3.55832177649599,-3.01815435361669,-8.53279789548396,-5.37869327631044,-12.435789164477,-5.93703826221847,1.98418720330523,34.5897358789533
0.201008458830797,3.1396851323431,2.50815560925739,0.912088105143553,0.210448976880154,0.361192355268322,0.00145465260786492,0.0340854884072585,2.93570031099391e-05,0.0195021896283802,-3.60421801921027,-0.855687212568718,-1.08026206513262,-2.09182841819388,-3.55832177649599,-3.01815435361669,-8.53279789548396,-5.37869327631044,-12.435789164477,-5.93703826221847,1.99980973113702,32.2388296136674
0.25466764085926,1.89597779108833,2.7507286186971,0.504514820015393,0.153800739952303,0.146301581541826,0.00176639153618182,0.0304913015212732,2.89408429545062e-05,0.00773499988724242,-3.11630214583345,-1.10877150250277,-0.736640363867671,-2.43266425667599,-3.62060360349485,-3.6705913534551,-8.0873226861627,-5.23882002477471,-12.1987629022302,-6.61050600224068,1.74850619270599,29.6722045435001
0.327257752013461,2.43640467114514,3.53479248920907,0.648321024605392,0.197639889563407,0.188003181440125,0.00226988132986212,0.0391824998187777,3.71901006924568e-05,0.00993977352749833,-3.11630214583345,-1.10877150250277,-0.736640363867671,-2.43266425667599,-3.62060360349485,-3.6705913534551,-8.0873226861627,-5.23882002477471,-12.1987629022302,-6.61050600224068,1.99929495971358,14.7820264723597
0.349396559495135,2.60122611121821,3.77391926290594,0.692179586432431,0.211010119722427,0.200721493578607,0.00242343755720551,0.0418331744469618,3.9705990612218e-05,0.010612193756455,-3.11630214583345,-1.10877150250277,-0.736640363867671,-2.43266425667599,-3.62060360349485,-3.6705913534551,-8.0873226861627,-5.23882002477471,-12.1987629022302,-6.61050600224068,2.0647544176085,52.9509184768175
0.361965864827315,2.92166613739076,3.32305827207325,0.748831276821558,0.193003355365474,0.236490180152222,0.000954010247664655,0.0415389723008027,3.10259507841467e-05,0.0135398956549867,-3.07558181892795,-0.987222402718691,-0.858490926066062,-2.3486180366998,-3.70442415618333,-3.50122504473557,-9.01421259605512,-5.2404996520988,-12.4400630328694,-6.36149116922238,2.05937645126829,13.5530822254283
0.329643718187064,2.58678935584857,4.01304131924413,0.959910073291306,0.360902286076162,0.232811612060802,0.000837863558874906,0.0462568462904607,4.06318936298897e-05,0.00880905530661923,-3.25439176234299,-1.19423143694395,-0.755099525151223,-2.18556458529369,-3.16379694570873,-3.60217459711345,-9.22930420104102,-5.2181947108078,-12.2556061550897,-6.8766239871831,2.1446489127309,25.6573571742285
0.327934647132593,2.57337788592459,3.99223530238193,0.95493332284637,0.359031151828504,0.231604576812243,0.000833519570874937,0.0460170230124654,4.04212334854369e-05,0.00876338387224583,-3.25439176234299,-1.19423143694395,-0.755099525151223,-2.18556458529369,-3.16379694570873,-3.60217459711345,-9.22930420104102,-5.2181947108078,-12.2556061550897,-6.8766239871831,2.13945082534579,66.4787986067436
0.393789454979431,3.09015556610166,4.79394348118081,1.14670003927131,0.431130662268872,0.278114681907212,0.0010009043582297,0.0552580173223596,4.85384988838665e-05,0.0105232191505276,-3.25439176234299,-1.19423143694395,-0.755099525151223,-2.18556458529369,-3.16379694570873,-3.60217459711345,-9.22930420104102,-5.2181947108078,-12.2556061550897,-6.8766239871831,2.32245287160306,13.3181141234922
0.39881564700956,3.12959724002614,4.85513171314923,1.16133612087648,0.436633464518245,0.281664441251928,0.0010136795543266,0.0559633114909931,4.91580274496004e-05,0.0106575338701243,-3.25439176234299,-1.19423143694395,-0.755099525151223,-2.18556458529369,-3.16379694570873,-3.60217459711345,-9.22930420104102,-5.2181947108078,-12.2556061550897,-6.8766239871831,2.33513575590844,36.7684297874834
0.475992250973224,2.56368412427382,3.52794445903027,1.11084403639545,0.429494464415657,0.164935373243474,0.000720852756213041,0.0646686596157223,3.64532865814856e-05,0.00911059879867838,-2.86430756388427,-1.18050852452498,-0.861238464417656,-2.01683374001213,-2.96710028561243,-3.92415541865245,-9.35702952268695,-4.860432449795,-12.3414327962628,-6.82027069958141,2.12195385953303,20.3894036873462
0.560010446799222,3.01620433725803,4.15066789164078,1.30692099267192,0.505305257435241,0.194048394431258,0.00084809169321125,0.0760834339030966,4.28877177392247e-05,0.0107187259738464,-2.86430756388427,-1.18050852452498,-0.861238464417656,-2.01683374001213,-2.96710028561243,-3.92415541865245,-9.35702952268695,-4.860432449795,-12.3414327962628,-6.82027069958141,2.28450772345594,35.9073892398288
0.702812013413392,3.15725128205512,4.30317040364801,0.949851961675429,0.778863516361434,0.130653737479211,0.000808714248693817,0.123503707189232,4.21496570000006e-05,0.0220719867157038,-2.6720126042392,-1.16964497345738,-0.85999472086945,-2.37079591141408,-2.56926622717367,-4.3545514556871,-9.43941169382834,-4.41083088070652,-12.3936307862218,-6.13279281899772,2.31934677506847,22.3917338969816
0.59071577193281,3.06269481211692,4.6406754760191,0.574273867500133,0.426015204757322,0.138191539917723,0.000415632748898504,0.0710002267454685,3.5059998961834e-05,0.0112404220961,-2.77931692153011,-1.13360143094828,-0.718036684544618,-2.80754549228404,-3.10617685834688,-4.232011202663,-10.0386051196774,-4.89796882526354,-12.5113463249981,-6.74113549910365,2.25289661691577,22.9296056506231
0.29752817047033,2.76928195075756,4.36011614055062,0.624026166265585,0.449807999642131,0.181682627704688,0.000217290564690444,0.0423787402137498,4.01837535067297e-05,0.0068973032293227,-3.37923812363377,-1.14840369276922,-0.694493061063877,-2.63855473418496,-2.96592621053917,-3.8724856737325,-10.6012668481162,-5.32810020835636,-12.2890395414612,-7.1436165359164,2.16699175581101,8.40192714320418
