"dt_sin_pri","n.casos"
2020-03-15,1
2020-03-22,2
2020-04-12,1
2020-04-19,1
2020-04-26,4
2020-05-03,1
2020-05-10,2
2020-05-17,1
2020-05-24,2
2020-05-31,2
2020-06-07,4
2020-06-14,6
2020-06-21,3
2020-06-28,10
2020-07-05,10
2020-07-12,15
2020-07-19,6
2020-07-26,8
2020-08-02,5
2020-08-09,4
2020-08-16,2
2020-08-23,1
2020-08-30,5
2020-09-06,2
2020-09-13,6
2020-09-20,2
2020-09-27,5
2020-10-04,6
2020-10-11,2
2020-10-18,4
2020-10-25,6
2020-11-01,6
2020-11-08,3
2020-11-15,4
2020-11-22,8
2020-11-29,2
2020-12-06,2
2020-12-13,8
2020-12-20,8
2020-12-27,11
2021-01-03,15
2021-01-10,7
2021-01-17,22
2021-01-24,12
2021-01-31,6
2021-02-07,10
2021-02-14,13
2021-02-21,28
2021-02-28,37
2021-03-07,56
2021-03-14,72
2021-03-21,69
2021-03-28,44
2021-04-04,40
2021-04-11,31
2021-04-18,39
2021-04-25,34
2021-05-02,39
2021-05-09,51
2021-05-16,73
2021-05-23,51
2021-05-30,40
2021-06-06,37
2021-06-13,33
2021-06-20,25
2021-06-27,12
2021-07-04,9
2021-07-11,9
2021-07-18,10
2021-07-25,12
2021-08-01,9
2021-08-08,6
2021-08-15,6
2021-08-22,9
2021-08-29,6
2021-09-05,1
2021-09-12,5
2021-09-19,1
2021-09-26,3
2021-10-03,1
