"dt_notific","n.notific"
2020-01-26,1
2020-02-02,1
2020-03-08,1
2020-03-15,1
2020-03-22,6
2020-03-29,2
2020-04-05,3
2020-04-12,3
2020-04-19,2
2020-04-26,4
2020-05-03,5
2020-05-10,17
2020-05-17,2
2020-05-24,5
2020-05-31,7
2020-06-07,3
2020-06-14,5
2020-06-21,6
2020-06-28,12
2020-07-05,9
2020-07-12,13
2020-07-19,19
2020-07-26,13
2020-08-02,13
2020-08-09,10
2020-08-16,9
2020-08-23,5
2020-08-30,6
2020-09-06,7
2020-09-13,5
2020-09-20,9
2020-09-27,4
2020-10-04,5
2020-10-11,6
2020-10-18,6
2020-10-25,5
2020-11-01,5
2020-11-08,9
2020-11-15,10
2020-11-22,10
2020-11-29,12
2020-12-06,6
2020-12-13,6
2020-12-20,10
2020-12-27,15
2021-01-03,13
2021-01-10,16
2021-01-17,12
2021-01-24,20
2021-01-31,19
2021-02-07,17
2021-02-14,13
2021-02-21,18
2021-02-28,28
2021-03-07,37
2021-03-14,49
2021-03-21,68
2021-03-28,67
2021-04-04,64
2021-04-11,46
2021-04-18,36
2021-04-25,40
2021-05-02,43
2021-05-09,34
2021-05-16,46
2021-05-23,73
2021-05-30,59
2021-06-06,45
2021-06-13,49
2021-06-20,28
2021-06-27,22
2021-07-04,16
2021-07-11,10
2021-07-18,26
2021-07-25,26
2021-08-01,26
2021-08-08,15
2021-08-15,17
2021-08-22,20
2021-08-29,16
2021-09-05,14
2021-09-12,4
2021-09-19,11
