"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.150425393699262,4.75045890132513,3.63826953821162,0.476353160952477,0.00562836573443309,3.60972454875516e-05,0.000107540034427716,0.0306271662559672,0.000796631601182501,0.177767120727899,-4.11679799963807,-0.66426873481982,-0.931001791985865,-2.96410572407929,-7.40244611605034,-12.4518039568256,-11.3601573254492,-5.70837783673525,-9.35762817693275,-3.94979085479802,2.22250995900514,484.040210255737
0.137644971594283,4.34685104989635,3.32915537014109,0.435881307641693,0.00515016928050813,3.30303561624669e-05,9.84032324598391e-05,0.0280250250682022,0.000728948294030039,0.16266369448172,-4.11679799963807,-0.66426873481982,-0.931001791985865,-2.96410572407929,-7.40244611605034,-12.4518039568256,-11.3601573254492,-5.70837783673525,-9.35762817693275,-3.94979085479802,2.13372042120522,1587.029236168
0.0832719373430133,4.15396958994002,3.75624918431839,0.323318517662627,0.00488965896433057,2.9059005294536e-05,0.000124504122520685,0.0109938508330406,0.000838375540995964,0.108559602635983,-4.61889185646295,-0.709183778498171,-0.809827281107883,-3.26236550212071,-7.45388090262916,-12.5794303130331,-11.1244199132478,-6.6436673609252,-9.2172926015095,-4.35370410703532,2.13324818325607,1505.73625700401
0.0851527141065348,4.24779098680452,3.8410876834488,0.3306209772263,0.00500009661301617,2.97153308667859e-05,0.000127316167827557,0.0112421575237236,0.000857311058613559,0.111011525632008,-4.61889185646295,-0.709183778498171,-0.809827281107883,-3.26236550212071,-7.45388090262916,-12.5794303130331,-11.1244199132478,-6.6436673609252,-9.2172926015095,-4.35370410703532,2.15558285849768,1433.21808726976
0.219641685582104,3.84091613506087,4.64581161883607,0.37031101521022,0.00533247366691891,5.16280792002543e-05,0.000100317956052669,0.00991847905860603,0.00112335746550098,0.0933830738380679,-3.73350255089001,-0.872033873600393,-0.681778702015069,-3.21115683336939,-7.45168483443913,-12.0891896515202,-11.4249106441467,-6.83110047872908,-9.00917812945877,-4.58878996104445,2.21774478858387,641.776951780813
0.215804897727645,3.77382149253915,4.56465674358542,0.363842275900714,0.00523932390736741,5.07262194886079e-05,9.85655623103477e-05,0.00974521914263918,0.00110373421289104,0.0917518213617247,-3.73350255089001,-0.872033873600393,-0.681778702015069,-3.21115683336939,-7.45168483443913,-12.0891896515202,-11.4249106441467,-6.83110047872908,-9.00917812945877,-4.58878996104445,2.2001220201539,905.863597211496
0.216107523550572,3.77911356814442,4.57105781704556,0.364352496332779,0.00524667107476606,5.07973534808315e-05,9.87037819926655e-05,0.00975888498152287,0.0011052819927514,0.0918804860525501,-3.73350255089001,-0.872033873600393,-0.681778702015069,-3.21115683336939,-7.45168483443913,-12.0891896515202,-11.4249106441467,-6.83110047872908,-9.00917812945877,-4.58878996104445,2.20152334994921,2429.29915568754
0.207590478476784,3.6301743731084,4.39090719191677,0.349992947053657,0.00503989375717459,4.87953715872018e-05,9.48137528702495e-05,0.0093742761447181,0.00106172156321685,0.0882593708398351,-3.73350255089001,-0.872033873600393,-0.681778702015069,-3.21115683336939,-7.45168483443913,-12.0891896515202,-11.4249106441467,-6.83110047872908,-9.00917812945877,-4.58878996104445,2.16131455739241,1244.25285547963
0.202216777864641,3.53620344344872,4.27724388308777,0.340933006888634,0.00490943073995534,4.75322514282623e-05,9.23593979037935e-05,0.00913161302342803,0.00103423776985577,0.0859746830324294,-3.73350255089001,-0.872033873600393,-0.681778702015069,-3.21115683336939,-7.45168483443913,-12.0891896515202,-11.4249106441467,-6.83110047872908,-9.00917812945877,-4.58878996104445,2.13508755163269,725.367774015399
0.269769208784652,4.53613519205846,3.55808186505255,0.488910888777162,0.00318950201436471,6.25390744329217e-05,0.000210939003556177,0.00870366311774428,0.00109574890625951,0.109297557079076,-3.50468233166805,-0.682418493643528,-0.925272266164058,-2.91006890152353,-7.94238434659172,-11.8742128695161,-10.6584354128233,-6.93850515779139,-9.01081108070248,-4.4081750985231,2.19449386387053,549.183806362645
0.266853117907109,4.48710149205816,3.51962050723126,0.483625969163402,0.00315502484860551,6.18630535287369e-05,0.00020865884227773,0.00860958020615771,0.00108390432472251,0.108116096783545,-3.50468233166805,-0.682418493643528,-0.925272266164058,-2.91006890152353,-7.94238434659172,-11.8742128695161,-10.6584354128233,-6.93850515779139,-9.01081108070248,-4.4081750985231,2.18362543951644,664.890323479508
0.256408311182598,4.31147338546011,3.38186024334537,0.464696530322726,0.00303153509883918,5.94416928844866e-05,0.000200491797815053,0.00827259556854969,0.00104147959583652,0.103884361574418,-3.50468233166805,-0.682418493643528,-0.925272266164058,-2.91006890152353,-7.94238434659172,-11.8742128695161,-10.6584354128233,-6.93850515779139,-9.01081108070248,-4.4081750985231,2.1436981921158,817.359979990001
0.333746255630135,4.34487151370137,2.89914108637097,0.528466231560818,0.00457982469634106,4.00495727675319e-05,0.000268237449895148,0.0105058741637148,0.00138378963744038,0.112914966390627,-3.20587910050129,-0.639508624874699,-1.04409029607508,-2.74628118266888,-7.49459936958159,-12.2338973640691,-10.3321427747395,-6.66432554617083,-8.69143424149326,-4.28962506544983,2.10850481208494,1296.92427834475
0.220285858976977,4.15577545257604,3.56627849244319,0.741394326007425,0.0084755882396624,4.59119069684054e-05,0.000221884836583033,0.0179515740929031,0.000950652715954973,0.143575103119476,-3.6938063889132,-0.756478129753786,-0.909454558850855,-2.48019981320686,-6.95154239114791,-12.169763235296,-10.5943292366553,-6.20105464652806,-9.13933891170088,-4.12187418583813,2.18097717183333,1854.02645574035
0.220227834939794,4.15468080732507,3.56533912267696,0.741199040244919,0.00847335574117407,4.58998136174773e-05,0.000221826391369762,0.0179468455878256,0.000950402310827767,0.14353728495375,-3.6938063889132,-0.756478129753786,-0.909454558850855,-2.48019981320686,-6.95154239114791,-12.169763235296,-10.5943292366553,-6.20105464652806,-9.13933891170088,-4.12187418583813,2.18071373376855,572.009691374823
0.216161079388052,4.07795993667071,3.49950111144212,0.727511963347096,0.00831688566321264,4.50522217501558e-05,0.000217730116669189,0.0176154368267555,0.0009328520594029,0.140886706971056,-3.6938063889132,-0.756478129753786,-0.909454558850855,-2.48019981320686,-6.95154239114791,-12.169763235296,-10.5943292366553,-6.20105464652806,-9.13933891170088,-4.12187418583813,2.16207497759852,1989.29233041403
