"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
2.36747040184424,0.531089726247182,0.00114152197484832,0.0233562447823115,0.0986209157433572,0.00595514879662825,0.0684566942760547,0.118370517687723,0.000414628865901107,1.84467814946859e-05,-3.0393358304428,-4.53398217061346,-10.6765507159089,-7.65804876270814,-6.21762978723658,-9.02465696422952,-6.58271180856825,-6.03509346813704,-11.6892846114728,-14.8017785220093,3.90115787458182,2980.26411725343
1.86023963775934,0.372681157450512,0.000861272791067326,0.0186084505414458,0.111816024208726,0.00603450298964939,0.0328617480598233,0.067408074708508,0.000371869701652798,2.11519292190258e-05,-3.26545658772773,-4.87319393531482,-10.9432611778678,-7.87030137591345,-6.07706230395354,-8.99642368713926,-7.30160787525209,-6.58315237010182,-11.7831289340812,-14.6499413452613,3.88616190465902,5104.42122248496
1.81192295643006,0.363001374073973,0.000838902639319726,0.0181251264811513,0.108911785905479,0.00587776664664647,0.03200821791419,0.0656572602442844,0.000362210994513102,2.06025424610885e-05,-3.26545658772773,-4.87319393531482,-10.9432611778678,-7.87030137591345,-6.07706230395354,-8.99642368713926,-7.30160787525209,-6.58315237010182,-11.7831289340812,-14.6499413452613,3.85984527591812,698.53249353591
1.82817445640479,0.366257206117303,0.00084642692514729,0.0182876943715271,0.109888637531322,0.00593048551318021,0.0322953060327977,0.0662461533643887,0.000365459737483815,2.07873307916836e-05,-3.26545658772773,-4.87319393531482,-10.9432611778678,-7.87030137591345,-6.07706230395354,-8.99642368713926,-7.30160787525209,-6.58315237010182,-11.7831289340812,-14.6499413452613,3.868774491876,898.293022860032
1.81625875652171,0.363870010008737,0.000840910072432454,0.0181684985929618,0.109172403902307,0.00589183171551422,0.0320848112559066,0.0658143733014232,0.000363077739126958,2.0651842849482e-05,-3.26545658772773,-4.87319393531482,-10.9432611778678,-7.87030137591345,-6.07706230395354,-8.99642368713926,-7.30160787525209,-6.58315237010182,-11.7831289340812,-14.6499413452613,3.86223534482794,315.125276195863
1.69470979854024,0.339518842864487,0.000784634091549625,0.0169526134311517,0.101866290779929,0.00549753437046279,0.0299376087379922,0.0614098970855389,0.000338779592897141,1.92697655602532e-05,-3.26545658772773,-4.87319393531482,-10.9432611778678,-7.87030137591345,-6.07706230395354,-8.99642368713926,-7.30160787525209,-6.58315237010182,-11.7831289340812,-14.6499413452613,3.79296810360124,726.182753925715
1.51948910578004,0.238190285460023,0.00173945672142666,0.013223130560636,0.165899950120246,0.00609169109883517,0.036154811034057,0.0761560834422103,0.00049933962883893,1.17490523086474e-05,-3.31081058567527,-5.1638701554318,-10.0833671929904,-8.05497241711907,-5.52555513186323,-8.83001430068564,-7.04913000333553,-6.30415506462839,-11.331408824229,-15.0809227246259,3.72918474941588,541.006794319734
1.70464285065901,0.297564846534192,0.00176292366330673,0.0169983563205766,0.162854336663945,0.0104768497567346,0.0650966985487861,0.241482248538337,0.000764936037259126,1.53848068835639e-05,-3.25708095383288,-5.00255967707714,-10.1312182466912,-7.86507519749716,-5.60533568868007,-8.34902381188047,-6.52231801546175,-5.21139588448022,-10.9661549099312,-14.8725666723954,3.79043657087185,508.636316320103
1.64600411390542,0.287328786413859,0.00170228010001172,0.0164136226086787,0.157252240850663,0.0101164521317103,0.0628574094400707,0.23317539763568,0.000738622676131994,1.4855578347216e-05,-3.25708095383288,-5.00255967707714,-10.1312182466912,-7.86507519749716,-5.60533568868007,-8.34902381188047,-6.52231801546175,-5.21139588448022,-10.9661549099312,-14.8725666723954,3.75543155541964,444.795350268305
1.31402088571074,0.315842039125563,0.00137942888826812,0.0277715628425744,0.2330262306176,0.0137287433266039,0.0368339340415383,0.297218903159169,0.000700903863831745,7.49594493939587e-06,-3.58415917856807,-5.00976405982111,-10.4433367078145,-7.44099369441764,-5.3138552472561,-8.14551458421216,-7.15858673126658,-5.07053735725292,-11.1203908150625,-15.6583993516477,3.8572509932612,327.577475921017
1.47174171774824,0.360605616643684,0.00152191807720522,0.0299461800609482,0.319865181275558,0.0219932631413628,0.0301609793184356,0.588006383862583,0.00112529833639147,5.85616859814462e-06,-3.38219371312516,-4.78861064705599,-10.2564241012935,-7.27699376098001,-4.90849593502768,-7.58565934791621,-7.2698465201492,-4.29965772878336,-10.5583473451284,-15.816655245603,3.76864025455007,216.852739729104
