"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-05,1,NA,NA,NA,1,NA,NA,NA
2020-04-12,2,NA,NA,NA,2,NA,NA,NA
2020-05-10,5,NA,NA,NA,5,NA,NA,NA
2020-06-14,6,NA,NA,NA,6,NA,NA,NA
2020-06-21,8,NA,NA,NA,8,NA,NA,NA
2020-06-28,11,NA,NA,NA,11,NA,NA,NA
2020-07-05,13,NA,NA,NA,13,NA,NA,NA
2020-07-12,15,NA,NA,NA,15,NA,NA,NA
2020-07-19,17,NA,NA,NA,17,NA,NA,NA
2020-08-02,18,NA,NA,NA,18,NA,NA,NA
2020-08-16,19,NA,NA,NA,19,NA,NA,NA
2020-08-23,21,NA,NA,NA,21,NA,NA,NA
2020-09-06,22,NA,NA,NA,22,NA,NA,NA
2020-09-13,23,NA,NA,NA,23,NA,NA,NA
2020-10-04,24,NA,NA,NA,24,NA,NA,NA
2020-10-25,25,NA,NA,NA,25,NA,NA,NA
2020-11-08,27,NA,NA,NA,27,NA,NA,NA
2020-11-15,28,NA,NA,NA,28,NA,NA,NA
2020-11-29,29,NA,NA,NA,29,NA,NA,NA
2020-12-06,30,NA,NA,NA,30,NA,NA,NA
2020-12-13,34,NA,NA,NA,34,NA,NA,NA
2020-12-20,35,NA,NA,NA,35,NA,NA,NA
2020-12-27,39,NA,NA,NA,39,NA,NA,NA
2021-01-03,42,NA,NA,NA,42,NA,NA,NA
2021-01-10,45,NA,NA,NA,45,NA,NA,NA
2021-01-17,49,NA,NA,NA,49,NA,NA,NA
2021-01-24,51,NA,NA,NA,51,NA,NA,NA
2021-01-31,60,NA,NA,NA,60,NA,NA,NA
2021-02-07,62,NA,NA,NA,62,NA,NA,NA
2021-02-14,63,NA,NA,NA,63,NA,NA,NA
2021-02-21,64,NA,NA,NA,64,NA,NA,NA
2021-02-28,68,NA,NA,NA,68,NA,NA,NA
2021-03-07,71,NA,NA,NA,71,NA,NA,NA
2021-03-14,90,NA,NA,NA,90,NA,NA,NA
2021-03-21,112,NA,NA,NA,112,NA,NA,NA
2021-03-28,148,NA,NA,NA,148,NA,NA,NA
2021-04-04,166,NA,NA,NA,166,NA,NA,NA
2021-04-11,190,NA,NA,NA,190,NA,NA,NA
2021-04-18,215,NA,NA,NA,215,NA,NA,NA
2021-04-25,223,NA,NA,NA,223,NA,NA,NA
2021-05-02,238,NA,NA,NA,238,NA,NA,NA
2021-05-09,247,NA,NA,NA,247,NA,NA,NA
2021-05-16,262,NA,NA,NA,262,NA,NA,NA
2021-05-23,277,NA,NA,NA,277,NA,NA,NA
2021-05-30,301,NA,NA,NA,301,NA,NA,NA
2021-06-06,320,NA,NA,NA,320,NA,NA,NA
2021-06-13,341,NA,NA,NA,341,NA,NA,NA
2021-06-20,357,NA,NA,NA,357,NA,NA,NA
2021-06-27,373,NA,NA,NA,373,NA,NA,NA
2021-07-04,381,NA,NA,NA,381,NA,NA,NA
2021-07-11,384,NA,NA,NA,384,NA,NA,NA
2021-07-18,388,NA,NA,NA,388,NA,NA,NA
2021-07-25,388,NA,NA,NA,388,NA,NA,NA
2021-08-01,390,NA,NA,NA,390,NA,NA,NA
2021-08-08,397,NA,NA,NA,397,NA,NA,NA
2021-08-15,401,NA,NA,NA,401,NA,NA,NA
2021-08-22,404,NA,NA,NA,404,NA,NA,NA
2021-08-29,408,NA,NA,NA,408,NA,NA,NA
2021-09-05,410,NA,NA,NA,410,NA,NA,NA
2021-09-12,410,NA,NA,NA,410,NA,NA,NA
2021-09-19,412,412,411,430,411,411,411,411
2021-09-26,NA,413,411,433,NA,411,411,411
