"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,2,NA,NA,NA,2,NA,NA,NA
2020-04-05,3,NA,NA,NA,3,NA,NA,NA
2020-04-12,6,NA,NA,NA,6,NA,NA,NA
2020-05-10,12,NA,NA,NA,12,NA,NA,NA
2020-05-17,13,NA,NA,NA,13,NA,NA,NA
2020-06-07,15,NA,NA,NA,15,NA,NA,NA
2020-06-14,16,NA,NA,NA,16,NA,NA,NA
2020-06-21,19,NA,NA,NA,19,NA,NA,NA
2020-06-28,23,NA,NA,NA,23,NA,NA,NA
2020-07-05,25,NA,NA,NA,25,NA,NA,NA
2020-07-12,29,NA,NA,NA,29,NA,NA,NA
2020-07-19,31,NA,NA,NA,31,NA,NA,NA
2020-07-26,32,NA,NA,NA,32,NA,NA,NA
2020-08-02,33,NA,NA,NA,33,NA,NA,NA
2020-08-09,34,NA,NA,NA,34,NA,NA,NA
2020-08-16,35,NA,NA,NA,35,NA,NA,NA
2020-08-23,37,NA,NA,NA,37,NA,NA,NA
2020-08-30,39,NA,NA,NA,39,NA,NA,NA
2020-09-06,42,NA,NA,NA,42,NA,NA,NA
2020-09-13,43,NA,NA,NA,43,NA,NA,NA
2020-09-20,44,NA,NA,NA,44,NA,NA,NA
2020-10-04,45,NA,NA,NA,45,NA,NA,NA
2020-10-25,46,NA,NA,NA,46,NA,NA,NA
2020-11-08,48,NA,NA,NA,48,NA,NA,NA
2020-11-15,49,NA,NA,NA,49,NA,NA,NA
2020-11-22,50,NA,NA,NA,50,NA,NA,NA
2020-11-29,52,NA,NA,NA,52,NA,NA,NA
2020-12-06,53,NA,NA,NA,53,NA,NA,NA
2020-12-13,58,NA,NA,NA,58,NA,NA,NA
2020-12-20,60,NA,NA,NA,60,NA,NA,NA
2020-12-27,65,NA,NA,NA,65,NA,NA,NA
2021-01-03,68,NA,NA,NA,68,NA,NA,NA
2021-01-10,73,NA,NA,NA,73,NA,NA,NA
2021-01-17,78,NA,NA,NA,78,NA,NA,NA
2021-01-24,80,NA,NA,NA,80,NA,NA,NA
2021-01-31,90,NA,NA,NA,90,NA,NA,NA
2021-02-07,93,NA,NA,NA,93,NA,NA,NA
2021-02-14,94,NA,NA,NA,94,NA,NA,NA
2021-02-21,95,NA,NA,NA,95,NA,NA,NA
2021-02-28,99,NA,NA,NA,99,NA,NA,NA
2021-03-07,104,NA,NA,NA,104,NA,NA,NA
2021-03-14,124,NA,NA,NA,124,NA,NA,NA
2021-03-21,147,NA,NA,NA,147,NA,NA,NA
2021-03-28,183,NA,NA,NA,183,NA,NA,NA
2021-04-04,201,NA,NA,NA,201,NA,NA,NA
2021-04-11,226,NA,NA,NA,226,NA,NA,NA
2021-04-18,252,NA,NA,NA,252,NA,NA,NA
2021-04-25,260,NA,NA,NA,260,NA,NA,NA
2021-05-02,275,NA,NA,NA,275,NA,NA,NA
2021-05-09,284,NA,NA,NA,284,NA,NA,NA
2021-05-16,300,NA,NA,NA,300,NA,NA,NA
2021-05-23,315,NA,NA,NA,315,NA,NA,NA
2021-05-30,340,NA,NA,NA,340,NA,NA,NA
2021-06-06,359,NA,NA,NA,359,NA,NA,NA
2021-06-13,380,NA,NA,NA,380,NA,NA,NA
2021-06-20,396,NA,NA,NA,396,NA,NA,NA
2021-06-27,413,NA,NA,NA,413,NA,NA,NA
2021-07-04,421,NA,NA,NA,421,NA,NA,NA
2021-07-11,424,NA,NA,NA,424,NA,NA,NA
2021-07-18,428,NA,NA,NA,428,NA,NA,NA
2021-07-25,429,NA,NA,NA,429,NA,NA,NA
2021-08-01,431,NA,NA,NA,431,NA,NA,NA
2021-08-08,438,NA,NA,NA,438,NA,NA,NA
2021-08-15,442,NA,NA,NA,442,NA,NA,NA
2021-08-22,447,NA,NA,NA,447,NA,NA,NA
2021-08-29,451,NA,NA,NA,451,NA,NA,NA
2021-09-05,453,NA,NA,NA,453,NA,NA,NA
2021-09-12,454,NA,NA,NA,454,NA,NA,NA
2021-09-19,455,NA,NA,NA,455,NA,NA,NA
2021-09-26,455,455,455,475,456,456,456,456
2021-10-03,NA,456,456,478,NA,456,456,456
