"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,13,NA,NA,NA,13,NA,NA,NA
2020-03-22,16,NA,NA,NA,16,NA,NA,NA
2020-04-05,19,NA,NA,NA,19,NA,NA,NA
2020-04-12,23,NA,NA,NA,23,NA,NA,NA
2020-04-19,26,NA,NA,NA,26,NA,NA,NA
2020-04-26,34,NA,NA,NA,34,NA,NA,NA
2020-05-03,39,NA,NA,NA,39,NA,NA,NA
2020-05-10,49,NA,NA,NA,49,NA,NA,NA
2020-05-17,53,NA,NA,NA,53,NA,NA,NA
2020-05-24,59,NA,NA,NA,59,NA,NA,NA
2020-05-31,64,NA,NA,NA,64,NA,NA,NA
2020-06-07,70,NA,NA,NA,70,NA,NA,NA
2020-06-14,78,NA,NA,NA,78,NA,NA,NA
2020-06-21,85,NA,NA,NA,85,NA,NA,NA
2020-06-28,98,NA,NA,NA,98,NA,NA,NA
2020-07-05,110,NA,NA,NA,110,NA,NA,NA
2020-07-12,133,NA,NA,NA,133,NA,NA,NA
2020-07-19,145,NA,NA,NA,145,NA,NA,NA
2020-07-26,158,NA,NA,NA,158,NA,NA,NA
2020-08-02,166,NA,NA,NA,166,NA,NA,NA
2020-08-09,175,NA,NA,NA,175,NA,NA,NA
2020-08-16,179,NA,NA,NA,179,NA,NA,NA
2020-08-23,182,NA,NA,NA,182,NA,NA,NA
2020-08-30,190,NA,NA,NA,190,NA,NA,NA
2020-09-06,195,NA,NA,NA,195,NA,NA,NA
2020-09-13,206,NA,NA,NA,206,NA,NA,NA
2020-09-20,211,NA,NA,NA,211,NA,NA,NA
2020-09-27,217,NA,NA,NA,217,NA,NA,NA
2020-10-04,224,NA,NA,NA,224,NA,NA,NA
2020-10-11,228,NA,NA,NA,228,NA,NA,NA
2020-10-18,232,NA,NA,NA,232,NA,NA,NA
2020-10-25,239,NA,NA,NA,239,NA,NA,NA
2020-11-01,246,NA,NA,NA,246,NA,NA,NA
2020-11-08,252,NA,NA,NA,252,NA,NA,NA
2020-11-15,262,NA,NA,NA,262,NA,NA,NA
2020-11-22,276,NA,NA,NA,276,NA,NA,NA
2020-11-29,280,NA,NA,NA,280,NA,NA,NA
2020-12-06,289,NA,NA,NA,289,NA,NA,NA
2020-12-13,301,NA,NA,NA,301,NA,NA,NA
2020-12-20,314,NA,NA,NA,314,NA,NA,NA
2020-12-27,336,NA,NA,NA,336,NA,NA,NA
2021-01-03,352,NA,NA,NA,352,NA,NA,NA
2021-01-10,361,NA,NA,NA,361,NA,NA,NA
2021-01-17,386,NA,NA,NA,386,NA,NA,NA
2021-01-24,400,NA,NA,NA,400,NA,NA,NA
2021-01-31,411,NA,NA,NA,411,NA,NA,NA
2021-02-07,430,NA,NA,NA,430,NA,NA,NA
2021-02-14,448,NA,NA,NA,448,NA,NA,NA
2021-02-21,482,NA,NA,NA,482,NA,NA,NA
2021-02-28,522,NA,NA,NA,522,NA,NA,NA
2021-03-07,581,NA,NA,NA,581,NA,NA,NA
2021-03-14,659,NA,NA,NA,659,NA,NA,NA
2021-03-21,729,NA,NA,NA,729,NA,NA,NA
2021-03-28,779,NA,NA,NA,779,NA,NA,NA
2021-04-04,819,NA,NA,NA,819,NA,NA,NA
2021-04-11,854,NA,NA,NA,854,NA,NA,NA
2021-04-18,895,NA,NA,NA,895,NA,NA,NA
2021-04-25,933,NA,NA,NA,933,NA,NA,NA
2021-05-02,975,NA,NA,NA,975,NA,NA,NA
2021-05-09,1027,NA,NA,NA,1027,NA,NA,NA
2021-05-16,1107,NA,NA,NA,1107,NA,NA,NA
2021-05-23,1161,NA,NA,NA,1161,NA,NA,NA
2021-05-30,1206,NA,NA,NA,1206,NA,NA,NA
2021-06-06,1248,NA,NA,NA,1248,NA,NA,NA
2021-06-13,1287,NA,NA,NA,1287,NA,NA,NA
2021-06-20,1314,NA,NA,NA,1314,NA,NA,NA
2021-06-27,1331,NA,NA,NA,1331,NA,NA,NA
2021-07-04,1345,NA,NA,NA,1345,NA,NA,NA
2021-07-11,1357,NA,NA,NA,1357,NA,NA,NA
2021-07-18,1368,NA,NA,NA,1368,NA,NA,NA
2021-07-25,1387,NA,NA,NA,1387,NA,NA,NA
2021-08-01,1400,NA,NA,NA,1400,NA,NA,NA
2021-08-08,1411,NA,NA,NA,1411,NA,NA,NA
2021-08-15,1431,NA,NA,NA,1431,NA,NA,NA
2021-08-22,1452,NA,NA,NA,1452,NA,NA,NA
2021-08-29,1463,NA,NA,NA,1463,NA,NA,NA
2021-09-05,1467,NA,NA,NA,1467,NA,NA,NA
2021-09-12,1478,NA,NA,NA,1478,NA,NA,NA
2021-09-19,1484,NA,NA,NA,1484,NA,NA,NA
2021-09-26,1494,NA,NA,NA,1494,NA,NA,NA
2021-10-03,1504,NA,NA,NA,1504,NA,NA,NA
2021-10-10,1508,NA,NA,NA,1508,NA,NA,NA
2021-10-17,1515,NA,NA,NA,1514,NA,NA,NA
2021-10-24,1522,1522,1516,1544,1515,1515,1515,1515
2021-10-31,NA,1529,1521,1557,NA,1516,1516,1517
