"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
64,71,4.30354050133808,4.41476533331874,0.105434411589791,0.21622840763494,1.20273498805295,2.93367677613042,5.91272080594043,13.0948944020631,16.2322407294925,2020-04-05
71,78,7.21398701479779,3.83572257014397,2.03267144827984,2.49391048602251,4.48594714112977,6.4542258915621,9.10786084284833,14.5281940427279,16.809719832888,2020-04-12
78,85,0.858588993943195,0.387857971684636,0.278595897381522,0.338096709393193,0.576462250673517,0.798026401275032,1.07727854750087,1.58454182819774,1.77277200699748,2020-04-19
85,92,1.75302907777418,0.62229850632694,0.752343123424676,0.871199376247816,1.30266744727281,1.68321821160313,2.12153662791163,2.88543354958238,3.1661330856074,2020-04-26
92,99,1.15033597840926,0.38630504141623,0.520979315239749,0.594277672220447,0.872772740868229,1.10765124001372,1.38114343016765,1.8540394168167,2.02691979323511,2020-05-03
99,106,1.10450208899894,0.366963431143649,0.511790950285747,0.579431921415891,0.837781966956282,1.06455454113167,1.3240309833418,1.77033378062398,1.93664084065663,2020-05-10
106,113,1.1014109597389,0.366754834301089,0.501523411138144,0.576769734913555,0.834660205344886,1.06170580005442,1.32380816151659,1.763075722337,1.93091300774022,2020-05-17
113,120,1.09644650664003,0.366087757458474,0.498333415110103,0.572236886404167,0.834076381327008,1.05423317570725,1.31364499238777,1.76313571025109,1.92392452072738,2020-05-24
120,127,1.09701123341919,0.364930244760946,0.500429964632481,0.572645869976763,0.833236133186926,1.05719892041339,1.31738696766666,1.7555258829907,1.91730252814356,2020-05-31
127,134,1.09882898485477,0.366772259214436,0.498698096864141,0.570612802847976,0.833221086196686,1.05806266451784,1.3204390541647,1.76148449901464,1.92728352050454,2020-06-07
134,141,1.0948556747387,0.36551892807185,0.494488994249624,0.567357191708563,0.831020285719457,1.05552911295545,1.31828734607904,1.752814540177,1.918682214023,2020-06-14
141,148,1.09558357799343,0.362280990966864,0.501567982055584,0.570552974712045,0.834842680830327,1.05665563246917,1.31608505617431,1.74698298000134,1.90530761361931,2020-06-21
148,155,1.42922945420823,0.412106009649883,0.733990250480063,0.824952397352401,1.13400597811143,1.38840913549706,1.68575933097064,2.16759931082238,2.3430105294658,2020-06-28
155,162,1.25178410681789,0.307095688192276,0.727280968022734,0.795362181210792,1.03402720561946,1.22370175497553,1.44208567461307,1.79836520942248,1.92584147204165,2020-07-05
162,169,1.25898503507625,0.274532993224657,0.779382841900098,0.844044530548475,1.06355432076487,1.24020577253426,1.4325110677641,1.74115280161483,1.84696850713797,2020-07-12
169,176,0.960654575954235,0.209205471526897,0.59570360672767,0.645039363655665,0.813231777503714,0.946181042704261,1.09100729991015,1.3305103198629,1.41421567273223,2020-07-19
176,183,0.947049148498314,0.230923493201015,0.551940188425927,0.605455946816552,0.783263492299818,0.927922260108219,1.08985521834552,1.35766568863663,1.45032579975625,2020-07-26
183,190,0.828929533382575,0.229747204814569,0.442328381098398,0.491536570264611,0.663805320087435,0.807600729708911,0.969801531492852,1.24147409172094,1.33711333909704,2020-08-02
190,197,0.902906525712245,0.301836104364851,0.413213383686713,0.471056224211066,0.685078767069777,0.868966301321696,1.08372430895927,1.45032627168446,1.58834583660781,2020-08-09
197,204,1.09059548066684,0.364994316391621,0.49741072636678,0.567393368822882,0.827190333986033,1.05132021213102,1.31080318504403,1.75043376342767,1.91580298305473,2020-08-16
204,211,0.653853507120624,0.292766689162397,0.211546974195186,0.25657526399875,0.439893813813455,0.609574070208236,0.820643459570103,1.20085773036121,1.33435081174606,2020-08-23
211,218,1.73954288538467,0.619148009289248,0.744804622793202,0.858674187789977,1.29171390145304,1.66676649058723,2.10973780069992,2.86914927227894,3.14751256348691,2020-08-30
218,225,1.14673601595885,0.380568218607485,0.530687593274376,0.599735673551878,0.872598028474285,1.10653606634594,1.37682493905083,1.83453718032547,1.99639399431719,2020-09-06
225,232,1.21803684341078,0.384902740453143,0.584189332751939,0.661861115523301,0.939804856908809,1.17834185288667,1.45267935608439,1.90913374600913,2.07729863118973,2020-09-13
232,239,1.09868786187893,0.349776230409091,0.5209603642309,0.591904379653139,0.847670765920453,1.06116206626842,1.3106763978609,1.73233810543643,1.88510205750719,2020-09-20
239,246,1.07507910821371,0.357593663779321,0.492951010666603,0.563233243842408,0.816321607936533,1.03456077366466,1.29182591892197,1.72241019742781,1.88018762970618,2020-09-27
246,253,1.09742422863453,0.366480665059977,0.497931571456295,0.568722487217564,0.83385991079407,1.05650129390772,1.31795766812242,1.76107352859428,1.92159309916909,2020-10-04
253,260,1.09886299008115,0.365439794257151,0.50493069638341,0.572875066049433,0.835401625669141,1.05951865314221,1.31753842317867,1.75957638015966,1.91851270582214,2020-10-11
260,267,1.099615279084,0.36539866042565,0.501935552184765,0.572455967245672,0.838733152037961,1.05873315580059,1.31894394561967,1.75767345825292,1.92266070764079,2020-10-18
267,274,1.09406664955148,0.36244394762689,0.50141390210055,0.574833335880634,0.834083510047417,1.05445977909527,1.31068002694786,1.75447042205762,1.91200053306837,2020-10-25
274,281,1.09826785206162,0.367033602267787,0.501614999834086,0.570454680918118,0.833215251721115,1.05805847599305,1.31841876275543,1.76184909480192,1.93054962248929,2020-11-01
281,288,1.09733430111013,0.367088382454481,0.499816594900274,0.571186538688733,0.831543763065059,1.05697867983428,1.32112263837886,1.76075328407399,1.92377939330773,2020-11-08
288,295,1.09776010558972,0.363430248521114,0.505154984654577,0.575095580189585,0.837885815671699,1.05768646608258,1.31594249956307,1.75471641523404,1.92227235809324,2020-11-15
295,302,1.48033562917325,0.373065346771631,0.845149660033358,0.925721112144594,1.21449005480483,1.44937206585314,1.7134794149598,2.14007185138123,2.29056461759312,2020-11-22
302,309,0.813709475059741,0.23437877928983,0.419997239588075,0.469812276959686,0.645873032480132,0.792409474535713,0.956836814203974,1.23449638381599,1.33296863344338,2020-11-29
309,316,0.965402524161986,0.326317918361606,0.435537659291002,0.498909409299928,0.729009808690159,0.928301763742798,1.16242552073101,1.5560000215406,1.69907380358928,2020-12-06
316,323,1.4846645712888,0.410792816087695,0.788659150146227,0.876821294032159,1.19114177385478,1.44795954115057,1.73659148731693,2.21629386116698,2.38741951239673,2020-12-13
323,330,1.18151917027469,0.290553606090011,0.684432564621946,0.74792219278476,0.974078258219603,1.15973642282678,1.36147899644178,1.69613118501952,1.81852051808604,2020-12-20
330,337,1.25867732528101,0.276166614149514,0.779816529423787,0.84205851887648,1.06381720818106,1.23884821797218,1.43001128197523,1.74489343750113,1.85929869454131,2020-12-27
337,344,1.02677005214643,0.216095910932676,0.649620804466657,0.699398985630494,0.874448472560386,1.01163785803507,1.16330045010886,1.40694336275044,1.4901521249555,2021-01-03
344,351,0.764843268445507,0.197554064179948,0.427532834161128,0.471085400389989,0.625234872600744,0.74780778556796,0.886776730996752,1.11707584280683,1.1990967796102,2021-01-10
351,358,1.39698665283422,0.306906805458919,0.863524770649995,0.930163088041939,1.17999095233117,1.37566983629339,1.58837944862862,1.93721089226855,2.06102257873277,2021-01-17
358,365,1.00834414622918,0.210807448804713,0.639593089430393,0.689591302751157,0.860314220370988,0.992906490460286,1.1405387589907,1.37929894725489,1.46235361462261,2021-01-24
365,372,0.899034937529089,0.219348325242335,0.522831745399844,0.572158991297138,0.741973212049283,0.880794855026836,1.03658893591755,1.28796817018954,1.37712850892712,2021-01-31
372,379,1.16469627799928,0.26788999649047,0.697272770792227,0.762433301107248,0.974708350775308,1.14431112695404,1.33120414209226,1.63681459421823,1.74487822533472,2021-02-07
379,386,1.21167123023457,0.24543336269851,0.777814768638332,0.838368851769811,1.03838701277127,1.19621509041943,1.36567496087913,1.64275078968308,1.73994039504304,2021-02-14
386,393,1.27166996211936,0.224236863529821,0.868296994248448,0.925594752628048,1.11528979175039,1.25850252296352,1.41500738302973,1.66224366948365,1.74712784500182,2021-02-21
