"dt_evoluca","n.casos"
2020-03-29,1
2020-04-05,1
2020-04-12,2
2020-04-19,2
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,3
2020-05-24,1
2020-05-31,2
2020-06-07,2
2020-06-14,2
2020-06-21,5
2020-06-28,6
2020-07-05,5
2020-07-12,11
2020-07-19,12
2020-07-26,9
2020-08-02,20
2020-08-09,17
2020-08-16,13
2020-08-23,14
2020-08-30,13
2020-09-06,12
2020-09-13,13
2020-09-20,9
2020-09-27,16
2020-10-04,15
2020-10-11,9
2020-10-18,15
2020-10-25,12
2020-11-01,6
2020-11-08,4
2020-11-15,5
2020-11-22,8
2020-11-29,4
2020-12-06,5
2020-12-13,5
2020-12-20,7
2020-12-27,9
2021-01-03,9
2021-01-10,14
2021-01-17,11
2021-01-24,14
2021-01-31,14
2021-02-07,18
2021-02-14,18
2021-02-21,9
2021-02-28,16
2021-03-07,25
2021-03-14,32
2021-03-21,39
2021-03-28,58
2021-04-04,54
2021-04-11,44
2021-04-18,37
2021-04-25,36
2021-05-02,29
2021-05-09,30
2021-05-16,29
2021-05-23,32
2021-05-30,31
2021-06-06,41
2021-06-13,42
2021-06-20,51
2021-06-27,34
2021-07-04,37
2021-07-11,22
2021-07-18,23
2021-07-25,21
2021-08-01,24
2021-08-08,12
2021-08-15,10
2021-08-22,4
2021-08-29,5
2021-09-05,3
2021-09-12,1
