"dt_sin_pri","n.casos"
2020-01-19,1
2020-01-26,1
2020-02-16,3
2020-02-23,1
2020-03-01,3
2020-03-08,1
2020-03-15,9
2020-03-22,24
2020-03-29,25
2020-04-05,27
2020-04-12,28
2020-04-19,33
2020-04-26,33
2020-05-03,34
2020-05-10,33
2020-05-17,45
2020-05-24,26
2020-05-31,49
2020-06-07,57
2020-06-14,56
2020-06-21,60
2020-06-28,76
2020-07-05,72
2020-07-12,85
2020-07-19,92
2020-07-26,96
2020-08-02,99
2020-08-09,74
2020-08-16,86
2020-08-23,70
2020-08-30,85
2020-09-06,91
2020-09-13,92
2020-09-20,93
2020-09-27,68
2020-10-04,77
2020-10-11,69
2020-10-18,58
2020-10-25,51
2020-11-01,47
2020-11-08,42
2020-11-15,61
2020-11-22,49
2020-11-29,67
2020-12-06,52
2020-12-13,51
2020-12-20,58
2020-12-27,91
2021-01-03,123
2021-01-10,113
2021-01-17,85
2021-01-24,75
2021-01-31,74
2021-02-07,75
2021-02-14,95
2021-02-21,119
2021-02-28,78
2021-03-07,111
2021-03-14,175
2021-03-21,188
2021-03-28,149
2021-04-04,124
2021-04-11,131
2021-04-18,124
2021-04-25,104
2021-05-02,132
2021-05-09,145
2021-05-16,167
2021-05-23,194
2021-05-30,234
2021-06-06,229
2021-06-13,177
2021-06-20,146
2021-06-27,135
2021-07-04,122
2021-07-11,73
2021-07-18,92
2021-07-25,62
2021-08-01,57
2021-08-08,34
2021-08-15,33
2021-08-22,25
2021-08-29,23
2021-09-05,19
2021-09-12,14
2021-09-19,7
