"dt_notific","n.notific"
2020-03-22,2
2020-03-29,1
2020-04-05,1
2020-04-12,2
2020-04-19,1
2020-04-26,2
2020-05-03,3
2020-05-10,2
2020-05-31,3
2020-06-14,8
2020-06-21,7
2020-06-28,10
2020-07-05,13
2020-07-12,14
2020-07-19,11
2020-07-26,16
2020-08-02,24
2020-08-09,9
2020-08-16,16
2020-08-23,15
2020-08-30,9
2020-09-06,10
2020-09-13,9
2020-09-20,18
2020-09-27,15
2020-10-04,10
2020-10-11,14
2020-10-18,11
2020-10-25,5
2020-11-01,5
2020-11-08,3
2020-11-15,2
2020-11-22,7
2020-11-29,5
2020-12-06,11
2020-12-13,5
2020-12-20,8
2020-12-27,8
2021-01-03,13
2021-01-10,16
2021-01-17,27
2021-01-24,17
2021-01-31,15
2021-02-07,13
2021-02-14,17
2021-02-21,14
2021-02-28,22
2021-03-07,44
2021-03-14,28
2021-03-21,54
2021-03-28,64
2021-04-04,55
2021-04-11,36
2021-04-18,29
2021-04-25,32
2021-05-02,24
2021-05-09,27
2021-05-16,23
2021-05-23,36
2021-05-30,34
2021-06-06,52
2021-06-13,61
2021-06-20,35
2021-06-27,37
2021-07-04,21
2021-07-11,18
2021-07-18,17
2021-07-25,9
2021-08-01,9
2021-08-08,11
2021-08-15,4
2021-08-22,3
2021-09-12,1
2021-09-19,2
2021-10-10,2
