"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
2.15314161823324,1.43389901219066,0.00254112316682247,0.0441891352137024,0.00694006886164087,0.151783283450716,0.0208590205756579,0.00921648268059265,0.00366452699183186,0.00454359693462643,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,8.13312202714585,16.0539211679468
2.54193879289685,1.69282108214262,0.00299997896124231,0.0521684575102141,0.00819325125453472,0.179191100598957,0.0246255764758316,0.0108807217609235,0.00432623810680806,0.00536404350257793,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,8.29912112791523,3.52238891823558
1.27727830534666,0.850612001003426,0.00150743521220839,0.0262137071071086,0.0041169606864315,0.0900402896976936,0.0123739071440777,0.0054673660477492,0.00217385646461321,0.00269533492070063,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,7.61092552391041,3.46747740971546
2.07657144851825,1.38290659729893,0.00245075557070032,0.0426176781603348,0.00669326565739757,0.146385555927686,0.0201172306571308,0.00888872549218842,0.00353420883193304,0.00438201722920681,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,8.09691222540745,10.9432120796603
2.66550923147945,1.77511363936185,0.00314581595661575,0.0547045056608338,0.00859154709618496,0.187902058924541,0.0258226915652944,0.0114096627267129,0.00453654810395074,0.00562480399375965,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,8.34658915435792,15.5388331633563
2.53451532043272,1.68787737117479,0.00299121782927721,0.0520161048615564,0.008169323701578,0.178667791302592,0.0245536599964133,0.0108489457250064,0.00431360377054909,0.00534837836172203,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,8.2961964574307,25.4092583772531
2.55086212772068,1.69876363644606,0.00301051022061426,0.0523515919802128,0.00822201320759365,0.179820140996217,0.0247120231930923,0.0109189179297962,0.00434142512518259,0.00538287367910179,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,8.3026254250965,32.0301783168828
3.28652100210251,2.18868056729381,0.0038787298457145,0.0674495907351174,0.0105932103474624,0.23167958141006,0.0318388760983774,0.0140678920693272,0.00559347551477328,0.00693527384556864,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,8.55602359288042,12.4671179462302
2.05995030335492,1.371837634891,0.0024311394076593,0.0422765607787332,0.00663969189754079,0.145213867095777,0.0199562097535278,0.00881757898922166,0.0035059205695306,0.0043469429992655,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,8.08887589168874,13.1430915933755
2.10009829665076,1.39857445862839,0.00247852179765241,0.0431005219568023,0.00676909808047384,0.148044054480943,0.0203451520372763,0.00898943172837187,0.00357425021578082,0.00443166399380003,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,8.1081781853261,7.8719756989852
1.87079260250066,1.24586680319729,0.0022078967692034,0.0383944588542809,0.00602999327924212,0.131879408887122,0.018123704013659,0.00800789296622125,0.0031839847086363,0.00394777912519224,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,7.99255622643465,15.2978661727148
2.54809480280233,1.69692071797138,0.00300724424247302,0.0522947979012903,0.00821309348520603,0.179625061555587,0.0246852141402541,0.0109070724469141,0.00433671529245604,0.00537703402187272,-7.36619403376324,-7.77272471130419,-14.1082711311731,-11.2523983569052,-13.1035656092319,-10.0184235694259,-12.0030908099272,-12.8198838293497,-13.7421780400102,-13.5271583314105,8.30153997753231,6.55410333795031
2.30826544984886,1.26278470017443,0.0037485590780724,0.0397831521851107,0.00832109677751823,0.123124836030922,0.0293737473008437,0.0102305138783636,0.00629791661973203,0.0070414798548084,-7.29155670397017,-7.89473369710175,-13.7144368176239,-11.3523648271808,-12.9170142675515,-10.2226095701546,-11.6557070114401,-12.7104335267264,-13.1955894544924,-13.0839899831889,8.12805305893533,17.2386025288965
2.4584571195202,1.34495018186417,0.00399246618452509,0.0423717184402882,0.00886252472229561,0.131136187022943,0.031285005883303,0.0108961816684732,0.00670770251009849,0.00749964709741044,-7.29155670397017,-7.89473369710175,-13.7144368176239,-11.3523648271808,-12.9170142675515,-10.2226095701546,-11.6557070114401,-12.7104335267264,-13.1955894544924,-13.0839899831889,8.19109066996338,3.56747185225735
0.93249383819043,0.52616060945668,0.000878666029479803,0.0106093840979702,0.00296844796965056,0.0529448113287395,0.0168682463174243,0.00322172321926001,0.00253975972106885,0.00349188937603146,-7.35945084838741,-7.93170688474189,-14.3266637892477,-11.8355744903056,-13.1092741449583,-10.2280633167019,-11.3718804536217,-13.0273970143754,-13.2652439134935,-12.9468704338272,7.28955811306273,4.18641732344676
1.48596687248434,0.838458339602595,0.001400190069157,0.0169064852349474,0.00473034261990838,0.0843697110718861,0.0268802368423583,0.00513394703542945,0.00404721045331741,0.00556446779877073,-7.35945084838741,-7.93170688474189,-14.3266637892477,-11.8355744903056,-13.1092741449583,-10.2280633167019,-11.3718804536217,-13.0273970143754,-13.2652439134935,-12.9468704338272,7.7555165013553,11.8333042900199
1.18414715945108,0.668156255393871,0.00111579277020615,0.0134725523414893,0.00376954687235391,0.067233096214623,0.021420501823863,0.00409117384199299,0.00322516797025502,0.004434250089812,-7.35945084838741,-7.93170688474189,-14.3266637892477,-11.8355744903056,-13.1092741449583,-10.2280633167019,-11.3718804536217,-13.0273970143754,-13.2652439134935,-12.9468704338272,7.52847366720277,4.10288123144222
1.90148447247863,1.01749965841639,0.00257528944425601,0.0167687693426527,0.00560503518383272,0.0686928106940775,0.0353073117648941,0.00618288587990375,0.00533759945961512,0.00670661920719525,-7.33397606758253,-7.95926264737663,-13.9384042956496,-12.0648480402995,-13.1607008952576,-10.6547216830623,-11.3202761543443,-13.0625810956538,-13.2095902164836,-12.9812712489082,7.97661095000248,4.76140019017196
1.37144268720842,0.733870029426658,0.00185742346408229,0.0120944485328814,0.00404262281689482,0.0495445817484813,0.0254653431178603,0.004459396723227,0.00384973522113211,0.00483713856238332,-7.33397606758253,-7.95926264737663,-13.9384042956496,-12.0648480402995,-13.1607008952576,-10.6547216830623,-11.3202761543443,-13.0625810956538,-13.2095902164836,-12.9812712489082,7.64983930970417,4.79168296563394
1.6363202397506,0.875608141483139,0.00221616232046278,0.0144303448533159,0.00482340647455526,0.0591135179334676,0.0303836658612157,0.00532067521548925,0.00459326497474107,0.00577137331798909,-7.33397606758253,-7.95926264737663,-13.9384042956496,-12.0648480402995,-13.1607008952576,-10.6547216830623,-11.3202761543443,-13.0625810956538,-13.2095902164836,-12.9812712489082,7.82642603217624,8.43349718339851
1.77150922499583,1.19183946036354,0.002401979127905,0.0115924520830938,0.00475375501199215,0.0516917454721837,0.0195376824447075,0.00421332608963701,0.0046926818783998,0.00248715023965473,-7.27781558703272,-7.67414956112171,-13.8811096846186,-12.307048514939,-13.19846788419,-10.8121046120533,-11.7850576848888,-13.3191503379562,-13.2113984706643,-13.8462651457831,7.84964743979151,10.4148021847749
1.78445073143526,1.20054627251751,0.00241952644175048,0.011677139078321,0.00478848288708935,0.0520693721011929,0.0196804121802359,0.00424410593879111,0.00472696359248326,0.00250531975883541,-7.27781558703272,-7.67414956112171,-13.8811096846186,-12.307048514939,-13.19846788419,-10.8121046120533,-11.7850576848888,-13.3191503379562,-13.2113984706643,-13.8462651457831,7.85692624142917,5.43741852012314
2.11418284425829,1.36046617424936,0.00211889827051844,0.01682618280365,0.00504805351527897,0.0918434226581725,0.016725890264355,0.0042802763481926,0.0043843125016729,0.00443177350879979,-7.21660190797674,-7.65744286756779,-14.1221292928634,-12.0500893893219,-13.2540228362811,-10.3529403632509,-12.0560677285918,-13.4190079879032,-13.3949927333261,-13.3842257182183,7.96527028376511,8.10040486722276
1.66072623387511,1.06866909454478,0.00166443028062556,0.0132172499998709,0.00396533106187908,0.0721445554397247,0.0131384685210023,0.00336222916526996,0.00344395131613567,0.00348123273663145,-7.21660190797674,-7.65744286756779,-14.1221292928634,-12.0500893893219,-13.2540228362811,-10.3529403632509,-12.0560677285918,-13.4190079879032,-13.3949927333261,-13.3842257182183,7.72385690496043,10.25689429003
1.89050269151643,1.21652910538009,0.00189471922655297,0.0150459757842788,0.00451397038977579,0.082126405577882,0.0149562941770369,0.00382742390454458,0.00392045305228536,0.00396289269366223,-7.21660190797674,-7.65744286756779,-14.1221292928634,-12.0500893893219,-13.2540228362811,-10.3529403632509,-12.0560677285918,-13.4190079879032,-13.3949927333261,-13.3842257182183,7.8534446760307,22.7868356265138
1.95303368822427,1.25676749161719,0.00195738969100114,0.0155436422866619,0.00466327621665928,0.0848428502673616,0.0154509943359642,0.00395402125489407,0.00405012747063227,0.00409397086196789,-7.21660190797674,-7.65744286756779,-14.1221292928634,-12.0500893893219,-13.2540228362811,-10.3529403632509,-12.0560677285918,-13.4190079879032,-13.3949927333261,-13.3842257182183,7.8859858091973,4.94472307663392
1.74827456520632,1.12500601152978,0.00175217387780226,0.0139140223869585,0.00417437100510518,0.0759477924299913,0.0138310877931007,0.00353947544883451,0.00362550573778774,0.00366475251903202,-7.21660190797674,-7.65744286756779,-14.1221292928634,-12.0500893893219,-13.2540228362811,-10.3529403632509,-12.0560677285918,-13.4190079879032,-13.3949927333261,-13.3842257182183,7.77523124679192,6.03717783686506
3.31733239473913,2.13468694254187,0.00332473129892108,0.0264017095049,0.00792082458813377,0.144110128438092,0.0262443419950568,0.00671611702216627,0.00687935858053078,0.00695382893055588,-7.21660190797674,-7.65744286756779,-14.1221292928634,-12.0500893893219,-13.2540228362811,-10.3529403632509,-12.0560677285918,-13.4190079879032,-13.3949927333261,-13.3842257182183,8.41576287236905,2.2221774551059
