"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.0642895878893655,2.17091092184396,2.7184577168353,1.19488289237958,0.44451455889697,0.0571252850160031,0.0151122687867771,0.0143445432663454,0.0791882824853398,0.013397543451274,-4.65718707319375,-1.137682623041,-0.912764778537895,-1.7347812995895,-2.72360195330269,-4.77533792260313,-6.10507784478924,-6.15721515144087,-4.44875642168677,-6.2255133955252,1.91282948216214,0.402004506506764
0.259630868861454,8.76713488705382,10.9783802036445,4.82548564582593,1.79515384896528,0.230698124993214,0.0610302788428327,0.057929850757031,0.319798637077839,0.054105430771298,-4.65718707319375,-1.137682623041,-0.912764778537895,-1.7347812995895,-2.72360195330269,-4.77533792260313,-6.10507784478924,-6.15721515144087,-4.44875642168677,-6.2255133955252,3.30869268130003,0.50832744412405
0.0917864029258393,3.09941486841349,3.88114877581252,1.70593724753501,0.634634530237331,0.0815579100733293,0.0215758233568667,0.0204797397410243,0.113057305884627,0.019127705773309,-4.65718707319375,-1.137682623041,-0.912764778537895,-1.7347812995895,-2.72360195330269,-4.77533792260313,-6.10507784478924,-6.15721515144087,-4.44875642168677,-6.2255133955252,2.2688959645915,2.79948824135425
0.127177399005445,4.29448707911685,5.37764190257909,2.36371243552604,0.879336876724956,0.113005004453944,0.0298950281137422,0.0283763166389286,0.15664993553116,0.0265029654899576,-4.65718707319375,-1.137682623041,-0.912764778537895,-1.7347812995895,-2.72360195330269,-4.77533792260313,-6.10507784478924,-6.15721515144087,-4.44875642168677,-6.2255133955252,2.59501474855573,5.08778725620131
0.164436574747544,5.55264340291572,6.9531302070513,3.05620951226906,1.13695629245936,0.146112092298271,0.0386533775926244,0.0366897290599363,0.202543683347894,0.0342675420310682,-4.65718707319375,-1.137682623041,-0.912764778537895,-1.7347812995895,-2.72360195330269,-4.77533792260313,-6.10507784478924,-6.15721515144087,-4.44875642168677,-6.2255133955252,2.85195672622347,2.26792485154536
0.0354311187297809,1.19642705994628,1.49818969586229,0.658520905452683,0.244979764693747,0.0314827458430384,0.00832863621061152,0.0079055292198946,0.0436420504603921,0.00738362102314871,-4.65718707319375,-1.137682623041,-0.912764778537895,-1.7347812995895,-2.72360195330269,-4.77533792260313,-6.10507784478924,-6.15721515144087,-4.44875642168677,-6.2255133955252,1.31702228836754,3.44923460406979
0.0251779774006127,0.850202154398507,1.06464000168715,0.467956561060618,0.174086938267691,0.0223721940419283,0.00591847567354525,0.00561780838918549,0.0310128101962686,0.00524693122656805,-4.65718707319375,-1.137682623041,-0.912764778537895,-1.7347812995895,-2.72360195330269,-4.77533792260313,-6.10507784478924,-6.15721515144087,-4.44875642168677,-6.2255133955252,0.975401493970588,3.4329439878
0.0241132995564233,0.81425044221498,1.01962055458071,0.44816851475821,0.16672548491553,0.0214261617636656,0.00566820656651031,0.00538025332152856,0.0297014001740635,0.00502505909847659,-4.65718707319375,-1.137682623041,-0.912764778537895,-1.7347812995895,-2.72360195330269,-4.77533792260313,-6.10507784478924,-6.15721515144087,-4.44875642168677,-6.2255133955252,0.932195331309906,7.28234364536664
0.0387706149055804,2.31526972599641,2.47379567363958,1.14360544178638,0.265158316907708,0.0427180960478403,0.0144079604542621,0.011249530857803,0.070885418570859,0.0131431730374062,-5.10467104729502,-1.01505218715444,-0.948824699130182,-1.7203924402903,-3.1820065893034,-5.00771103370699,-6.09455279603428,-6.34200723294493,-4.50126890871652,-6.18643119603751,1.85457838021507,8.48506587384687
0.0292152795954044,1.7446525557691,1.86410848637016,0.861754522335578,0.199807879869105,0.0321898717072285,0.0108570006974589,0.00847699192102676,0.0534151270963422,0.00990393048946291,-5.10467104729502,-1.01505218715444,-0.948824699130182,-1.7203924402903,-3.1820065893034,-5.00771103370699,-6.09455279603428,-6.34200723294493,-4.50126890871652,-6.18643119603751,1.57160761454234,1.6209178526088
0.0550194207548348,3.28560172506299,3.51056606558684,1.62289169600215,0.376286448902548,0.0606212954327758,0.0204463519699805,0.0159642211780055,0.100593572715591,0.0186514908045621,-5.10467104729502,-1.01505218715444,-0.948824699130182,-1.7203924402903,-3.1820065893034,-5.00771103370699,-6.09455279603428,-6.34200723294493,-4.50126890871652,-6.18643119603751,2.20460199585195,1.75216923791781
0.00942829430052817,0.563030646146792,0.601581215754465,0.278103628098393,0.0644815836459368,0.0103882484835002,0.00350374869637682,0.00273567721142782,0.0172380187812288,0.00319617586002219,-5.10467104729502,-1.01505218715444,-0.948824699130182,-1.7203924402903,-3.1820065893034,-5.00771103370699,-6.09455279603428,-6.34200723294493,-4.50126890871652,-6.18643119603751,0.440630968483811,3.59960224848058
0.00929175731782336,0.489480200245909,0.396323519397638,0.215259692916782,0.0514809491977099,0.0100902602897226,0.00243897142821795,0.001794724026152,0.0127925481475881,0.00258028898199639,-4.85386822119688,-0.889651906223109,-1.10076507254628,-1.71115074517351,-3.14178409769786,-4.77142528760592,-6.19141951382238,-6.49814465419595,-4.5341330930141,-6.13509451725299,0.175240639457622,0.72675067472031
0.00700186908408078,0.368851247847093,0.29865237573967,0.162210455711279,0.0387938313794681,0.00760358661514065,0.00183790407519985,0.00135242691380519,0.00963991463804121,0.00194439491186227,-4.85386822119688,-0.889651906223109,-1.10076507254628,-1.71115074517351,-3.14178409769786,-4.77142528760592,-6.19141951382238,-6.49814465419595,-4.5341330930141,-6.13509451725299,-0.107709932359768,1.24394014750608
0.00581769180751047,0.306470009224938,0.248143382683985,0.134776932837775,0.0322329012850864,0.00631764504982991,0.00152707217928283,0.00112370038374319,0.00800958311864741,0.00161555296356862,-4.85386822119688,-0.889651906223109,-1.10076507254628,-1.71115074517351,-3.14178409769786,-4.77142528760592,-6.19141951382238,-6.49814465419595,-4.5341330930141,-6.13509451725299,-0.292983471354848,1.63872662942942
0.00184452226487264,0.0971675321132255,0.0786748438015465,0.0427315611819772,0.0102195692121453,0.00200303442353718,0.000484164291947962,0.000356273664098958,0.0025394700997431,0.000512217475586504,-4.85386822119688,-0.889651906223109,-1.10076507254628,-1.71115074517351,-3.14178409769786,-4.77142528760592,-6.19141951382238,-6.49814465419595,-4.5341330930141,-6.13509451725299,-1.44166674885061,0.984969190156613
0.0065737661200014,0.346299224864154,0.280392398903744,0.152292707170029,0.0364219283915495,0.00713869389457026,0.00172553233947639,0.00126973785413439,0.00905051829537031,0.00182551219424597,-4.85386822119688,-0.889651906223109,-1.10076507254628,-1.71115074517351,-3.14178409769786,-4.77142528760592,-6.19141951382238,-6.49814465419595,-4.5341330930141,-6.13509451725299,-0.170800159689415,2.88603722391091
0.00672871686897996,0.354461870641911,0.287001549796082,0.155882410333969,0.0372804324789314,0.00730696059975874,0.00176620499553196,0.00129966694316996,0.0092638487611812,0.00186854148318085,-4.85386822119688,-0.889651906223109,-1.10076507254628,-1.71115074517351,-3.14178409769786,-4.77142528760592,-6.19141951382238,-6.49814465419595,-4.5341330930141,-6.13509451725299,-0.147502590704469,2.73409705561022
0.00747510705582187,0.49072337047739,0.426498763001483,0.185667851624769,0.0384055901826522,0.00781207126016264,0.00277677065537175,0.00174407894735439,0.0114977081998003,0.00194901318206779,-5.05706220982645,-0.87276008207447,-1.01303118427041,-1.84468131743083,-3.4204376241782,-5.01297051599227,-6.04735203312615,-6.51241405840906,-4.62649292231469,-6.40131746684394,0.160885371867582,4.08719107444584
0.0350313607453376,2.29972725326692,1.99874488921316,0.870114292746269,0.179984055650178,0.0366105106508006,0.0130130650717082,0.0081734560210125,0.0538828889919552,0.00913386034053637,-5.05706220982645,-0.87276008207447,-1.01303118427041,-1.84468131743083,-3.4204376241782,-5.01297051599227,-6.04735203312615,-6.51241405840906,-4.62649292231469,-6.40131746684394,1.70555061244163,2.93093780731159
