"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,5,NA,NA,NA,5,NA,NA,NA
2020-03-29,11,NA,NA,NA,11,NA,NA,NA
2020-04-05,15,NA,NA,NA,15,NA,NA,NA
2020-04-12,22,NA,NA,NA,22,NA,NA,NA
2020-04-19,30,NA,NA,NA,30,NA,NA,NA
2020-04-26,46,NA,NA,NA,46,NA,NA,NA
2020-05-03,57,NA,NA,NA,57,NA,NA,NA
2020-05-10,68,NA,NA,NA,68,NA,NA,NA
2020-05-17,87,NA,NA,NA,87,NA,NA,NA
2020-05-24,95,NA,NA,NA,95,NA,NA,NA
2020-05-31,118,NA,NA,NA,118,NA,NA,NA
2020-06-07,148,NA,NA,NA,148,NA,NA,NA
2020-06-14,174,NA,NA,NA,174,NA,NA,NA
2020-06-21,203,NA,NA,NA,203,NA,NA,NA
2020-06-28,250,NA,NA,NA,250,NA,NA,NA
2020-07-05,288,NA,NA,NA,288,NA,NA,NA
2020-07-12,343,NA,NA,NA,343,NA,NA,NA
2020-07-19,404,NA,NA,NA,404,NA,NA,NA
2020-07-26,469,NA,NA,NA,469,NA,NA,NA
2020-08-02,528,NA,NA,NA,528,NA,NA,NA
2020-08-09,568,NA,NA,NA,568,NA,NA,NA
2020-08-16,622,NA,NA,NA,622,NA,NA,NA
2020-08-23,666,NA,NA,NA,666,NA,NA,NA
2020-08-30,717,NA,NA,NA,717,NA,NA,NA
2020-09-06,781,NA,NA,NA,781,NA,NA,NA
2020-09-13,837,NA,NA,NA,837,NA,NA,NA
2020-09-20,903,NA,NA,NA,903,NA,NA,NA
2020-09-27,952,NA,NA,NA,952,NA,NA,NA
2020-10-04,1002,NA,NA,NA,1002,NA,NA,NA
2020-10-11,1046,NA,NA,NA,1046,NA,NA,NA
2020-10-18,1082,NA,NA,NA,1082,NA,NA,NA
2020-10-25,1107,NA,NA,NA,1107,NA,NA,NA
2020-11-01,1133,NA,NA,NA,1133,NA,NA,NA
2020-11-08,1152,NA,NA,NA,1152,NA,NA,NA
2020-11-15,1195,NA,NA,NA,1195,NA,NA,NA
2020-11-22,1224,NA,NA,NA,1224,NA,NA,NA
2020-11-29,1263,NA,NA,NA,1263,NA,NA,NA
2020-12-06,1297,NA,NA,NA,1297,NA,NA,NA
2020-12-13,1331,NA,NA,NA,1331,NA,NA,NA
2020-12-20,1371,NA,NA,NA,1371,NA,NA,NA
2020-12-27,1435,NA,NA,NA,1435,NA,NA,NA
2021-01-03,1517,NA,NA,NA,1517,NA,NA,NA
2021-01-10,1596,NA,NA,NA,1596,NA,NA,NA
2021-01-17,1651,NA,NA,NA,1651,NA,NA,NA
2021-01-24,1713,NA,NA,NA,1713,NA,NA,NA
2021-01-31,1770,NA,NA,NA,1770,NA,NA,NA
2021-02-07,1826,NA,NA,NA,1826,NA,NA,NA
2021-02-14,1897,NA,NA,NA,1897,NA,NA,NA
2021-02-21,1994,NA,NA,NA,1994,NA,NA,NA
2021-02-28,2058,NA,NA,NA,2058,NA,NA,NA
2021-03-07,2151,NA,NA,NA,2151,NA,NA,NA
2021-03-14,2310,NA,NA,NA,2310,NA,NA,NA
2021-03-21,2476,NA,NA,NA,2476,NA,NA,NA
2021-03-28,2597,NA,NA,NA,2597,NA,NA,NA
2021-04-04,2706,NA,NA,NA,2706,NA,NA,NA
2021-04-11,2821,NA,NA,NA,2821,NA,NA,NA
2021-04-18,2924,NA,NA,NA,2924,NA,NA,NA
2021-04-25,3008,NA,NA,NA,3008,NA,NA,NA
2021-05-02,3122,NA,NA,NA,3122,NA,NA,NA
2021-05-09,3242,NA,NA,NA,3242,NA,NA,NA
2021-05-16,3373,NA,NA,NA,3373,NA,NA,NA
2021-05-23,3529,NA,NA,NA,3529,NA,NA,NA
2021-05-30,3722,NA,NA,NA,3722,NA,NA,NA
2021-06-06,3927,NA,NA,NA,3927,NA,NA,NA
2021-06-13,4081,NA,NA,NA,4081,NA,NA,NA
2021-06-20,4206,NA,NA,NA,4206,NA,NA,NA
2021-06-27,4312,NA,NA,NA,4312,NA,NA,NA
2021-07-04,4397,NA,NA,NA,4397,NA,NA,NA
2021-07-11,4443,NA,NA,NA,4443,NA,NA,NA
2021-07-18,4507,NA,NA,NA,4507,NA,NA,NA
2021-07-25,4540,NA,NA,NA,4540,NA,NA,NA
2021-08-01,4570,NA,NA,NA,4570,NA,NA,NA
2021-08-08,4583,NA,NA,NA,4583,NA,NA,NA
2021-08-15,4597,NA,NA,NA,4597,NA,NA,NA
2021-08-22,4601,NA,NA,NA,4601,NA,NA,NA
2021-08-29,4605,NA,NA,NA,4605,NA,NA,NA
2021-09-05,4608,NA,NA,NA,4608,NA,NA,NA
2021-09-12,4612,NA,NA,NA,4612,NA,NA,NA
2021-09-19,4617,NA,NA,NA,4617,NA,NA,NA
2021-09-26,4618,NA,NA,NA,4618,NA,NA,NA
2021-10-03,4622,NA,NA,NA,4621,NA,NA,NA
2021-10-10,4626,NA,NA,NA,4623,NA,NA,NA
2021-10-17,4630,4630,4622,4667,4624,4624,4624,4624
2021-10-24,NA,4634,4623,4680,NA,4624,4624,4624
