"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,1,NA,1,NA,NA,NA
2020-03-22,1,NA,1,NA,NA,NA
2020-03-29,9,NA,9,NA,NA,NA
2020-04-05,7,NA,7,NA,NA,NA
2020-04-12,13,NA,13,NA,NA,NA
2020-04-19,5,NA,5,NA,NA,NA
2020-04-26,9,NA,9,NA,NA,NA
2020-05-03,6,NA,6,NA,NA,NA
2020-05-10,5,NA,5,NA,NA,NA
2020-05-17,11,NA,11,NA,NA,NA
2020-05-24,4,NA,4,NA,NA,NA
2020-05-31,4,NA,4,NA,NA,NA
2020-06-07,10,NA,10,NA,NA,NA
2020-06-14,8,NA,8,NA,NA,NA
2020-06-21,10,NA,10,NA,NA,NA
2020-06-28,10,NA,10,NA,NA,NA
2020-07-05,7,NA,7,NA,NA,NA
2020-07-12,21,NA,21,NA,NA,NA
2020-07-19,16,NA,16,NA,NA,NA
2020-07-26,20,NA,20,NA,NA,NA
2020-08-02,25,NA,25,NA,NA,NA
2020-08-09,23,NA,23,NA,NA,NA
2020-08-16,22,NA,22,NA,NA,NA
2020-08-23,18,NA,18,NA,NA,NA
2020-08-30,20,NA,20,NA,NA,NA
2020-09-06,17,NA,17,NA,NA,NA
2020-09-13,19,NA,19,NA,NA,NA
2020-09-20,15,NA,15,NA,NA,NA
2020-09-27,21,NA,21,NA,NA,NA
2020-10-04,20,NA,20,NA,NA,NA
2020-10-11,20,NA,20,NA,NA,NA
2020-10-18,20,NA,20,NA,NA,NA
2020-10-25,16,NA,16,NA,NA,NA
2020-11-01,8,NA,8,NA,NA,NA
2020-11-08,8,NA,8,NA,NA,NA
2020-11-15,10,NA,10,NA,NA,NA
2020-11-22,13,NA,13,NA,NA,NA
2020-11-29,8,NA,8,NA,NA,NA
2020-12-06,12,NA,12,NA,NA,NA
2020-12-13,8,NA,8,NA,NA,NA
2020-12-20,11,NA,11,NA,NA,NA
2020-12-27,17,NA,17,NA,NA,NA
2021-01-03,15,NA,15,NA,NA,NA
2021-01-10,24,NA,24,NA,NA,NA
2021-01-17,21,NA,21,NA,NA,NA
2021-01-24,20,NA,20,NA,NA,NA
2021-01-31,23,NA,23,NA,NA,NA
2021-02-07,29,NA,29,NA,NA,NA
2021-02-14,21,NA,21,NA,NA,NA
2021-02-21,11,NA,11,NA,NA,NA
2021-02-28,27,NA,27,NA,NA,NA
2021-03-07,30,NA,30,NA,NA,NA
2021-03-14,37,NA,37,NA,NA,NA
2021-03-21,47,NA,47,NA,NA,NA
2021-03-28,63,NA,63,NA,NA,NA
2021-04-04,58,NA,58,NA,NA,NA
2021-04-11,46,NA,46,NA,NA,NA
2021-04-18,43,NA,43,NA,NA,NA
2021-04-25,43,NA,43,NA,NA,NA
2021-05-02,32,NA,32,NA,NA,NA
2021-05-09,35,NA,35,NA,NA,NA
2021-05-16,36,NA,36,NA,NA,NA
2021-05-23,38,NA,38,NA,NA,NA
2021-05-30,37,NA,37,NA,NA,NA
2021-06-06,45,NA,45,NA,NA,NA
2021-06-13,50,NA,50,NA,NA,NA
2021-06-20,61,NA,61,NA,NA,NA
2021-06-27,46,NA,46,NA,NA,NA
2021-07-04,51,NA,51,NA,NA,NA
2021-07-11,28,NA,28,NA,NA,NA
2021-07-18,29,NA,29,NA,NA,NA
2021-07-25,30,NA,30,NA,NA,NA
2021-08-01,NA,28,28,NA,28,30
2021-08-08,NA,19,19,NA,19,21
2021-08-15,NA,17,17,NA,17,19
2021-08-22,NA,9,9,NA,9,10
2021-08-29,NA,10,10,NA,10,12
2021-09-05,NA,9,9,NA,9,11
2021-09-12,NA,7,7,NA,7,9
2021-09-19,NA,2,2,NA,2,5
2021-09-26,NA,6,6,NA,3,11
