"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
64,71,1.28902668090432,0.24353717169512,0.859741917674788,0.916935045545758,1.11722774547384,1.27369334233675,1.4433023735653,1.71503331569505,1.81070782059909,2020-03-29
71,78,1.08771603183674,0.190407976914104,0.746815864987539,0.794114548745344,0.954192651547906,1.07633895351551,1.20996976090792,1.42094189312301,1.49231847368771,2020-04-05
78,85,1.02665927041667,0.179680244023421,0.704377068568315,0.750500321183452,0.900405715673659,1.01608559860927,1.14087165640133,1.33891732910214,1.40785798455521,2020-04-12
85,92,1.11256562771583,0.186274548367511,0.777398082756897,0.824998950853415,0.981015865571573,1.10187346561906,1.23278357370565,1.43358852198075,1.50235889137691,2020-04-19
92,99,1.09061676357381,0.171338177910851,0.781943770346685,0.82399085558294,0.970885535774045,1.08101461984803,1.20027438499369,1.38823287455199,1.44850608758849,2020-04-26
99,106,1.02176372524374,0.159707819808324,0.733182070812363,0.772862884590125,0.911453049522786,1.01336186579921,1.12320768298532,1.2994024937011,1.36119120280698,2020-05-03
106,113,1.01945930384696,0.159126037306641,0.730743450629749,0.772728286020856,0.907131692847182,1.01146665056674,1.1219325088902,1.29424311520849,1.3526655899166,2020-05-10
113,120,1.10559167244397,0.16430777627372,0.80856564101777,0.85119705201957,0.990217827094004,1.09669360081328,1.21173303807311,1.38843110126493,1.45324062331041,2020-05-17
120,127,0.908799429586573,0.142434211506714,0.652480736602743,0.688873682975233,0.808873444015438,0.90072374783858,1.00119459691585,1.15702477918588,1.20825070613501,2020-05-24
127,134,1.1767213162364,0.175872883498831,0.859419962367903,0.903886593241765,1.05377049480819,1.16791740442378,1.28967923431688,1.48070506217208,1.54490332026203,2020-05-31
134,141,1.19979965022228,0.156547606884541,0.911393343064451,0.955246697486706,1.0905511103313,1.19257803786948,1.30185544881887,1.46830352630616,1.5247263435893,2020-06-07
141,148,1.04441984120842,0.129861649333517,0.806200084266007,0.839933310581585,0.953489229461833,1.04012676663022,1.12885621471776,1.26614105005295,1.31413632495422,2020-06-14
148,155,1.02824023764225,0.12746954688423,0.792201298094345,0.825740987631884,0.939723239894025,1.02321431886445,1.11125796391155,1.24511742027748,1.29042979471035,2020-06-21
155,162,1.16257065498861,0.131004499120883,0.919248864713913,0.955131803291823,1.07207222763906,1.1582976278125,1.24767851949502,1.38643362687571,1.43232214240206,2020-06-28
162,169,1.03480847640525,0.112142192016954,0.82799147534796,0.858714337208853,0.957185743877777,1.03048797568192,1.10802275817227,1.22629377087999,1.2664175332627,2020-07-05
169,176,1.06577715135279,0.11128796660771,0.857681080429293,0.889482898045425,0.989015858061995,1.06155430070941,1.13880931046034,1.25458789197308,1.29442857176371,2020-07-12
176,183,1.08071291195356,0.107528622666266,0.879419060099702,0.909862821259276,1.00621237816216,1.07741837919143,1.15106267783087,1.26325206659845,1.30118546290028,2020-07-19
183,190,1.04685902545794,0.100663183450118,0.85844211404447,0.886536764994016,0.977813985322012,1.04338647790084,1.11249955046179,1.21764356544462,1.25261750090779,2020-07-26
190,197,1.03137123379221,0.0969646566319387,0.851960221147772,0.877839728862774,0.964826816383842,1.02752146879106,1.09560148008208,1.19562712448948,1.22915539127416,2020-08-02
197,204,0.920136429901916,0.091835192835733,0.750044412467606,0.774355972031048,0.856625528573454,0.916666930237584,0.980174928781323,1.07698990222885,1.10897211789051,2020-08-09
204,211,0.981604763411926,0.102511007716237,0.7905019989852,0.818957574391085,0.910922232989866,0.97804581962909,1.04819513438352,1.15556333979545,1.19128072594923,2020-08-16
211,218,0.963199189846974,0.101456624231771,0.774323399970569,0.802381493867479,0.893382355470342,0.959546362535031,1.0298327556816,1.13482758590635,1.17213696946301,2020-08-23
218,225,1.03707031652078,0.10974188996889,0.832519548703953,0.862998320541382,0.9617777022357,1.03314405746493,1.10784772706795,1.22514223626689,1.26280466817157,2020-08-30
225,232,1.08238357472281,0.107904787640261,0.88007431111187,0.911289316560331,1.00810887957306,1.07908068169306,1.15288467605855,1.26604221244019,1.30328659354547,2020-09-06
232,239,1.02041199880018,0.0997783756287733,0.834683633535959,0.862190036807348,0.951474881258564,1.0169078499572,1.08541561286676,1.190439790586,1.22496890517043,2020-09-13
239,246,1.00776261955227,0.0985946434668132,0.823207542395233,0.851088630217278,0.939812875907617,1.00490549656597,1.07224078645215,1.17569648785597,1.20816495716765,2020-09-20
246,253,0.913306982899563,0.0946942795560901,0.738275531624301,0.763825826507239,0.847324950095037,0.910023528336565,0.974861566758049,1.07397371890201,1.10819531832432,2020-09-27
253,260,0.973108401300055,0.106733867112348,0.775611521300571,0.804277199255901,0.899132953515001,0.969023387880393,1.04241688958785,1.15572441877559,1.19387559623559,2020-10-04
260,267,0.996914185773384,0.108118095550598,0.79655753747212,0.826985592390017,0.922908610050628,0.992940502001972,1.06791893521501,1.18020815626053,1.21949337121385,2020-10-11
267,274,0.923426258682602,0.107503553088841,0.724890514438769,0.753270194920408,0.848551984298181,0.91920553515546,0.993401357889612,1.10714754498196,1.14620161447032,2020-10-18
274,281,0.908397870062381,0.115468607328518,0.69622507233466,0.726974400252038,0.828201308423508,0.903781829223418,0.982729961821579,1.1063687013015,1.14984677195287,2020-10-25
281,288,0.94992519050258,0.126653944090634,0.718491080597473,0.751708546014658,0.860904731594896,0.944626727877982,1.03267493212447,1.1676813104928,1.21226604524342,2020-11-01
288,295,0.940821065111612,0.130434306396045,0.701666017411716,0.737962302050832,0.850307897898525,0.934136404604753,1.02529503285631,1.16513102925241,1.21381905433487,2020-11-08
295,302,1.16082266871688,0.150318648567219,0.88551350615008,0.926133050908458,1.05679554095002,1.15366368254069,1.25719304740611,1.41950071764908,1.47583596651641,2020-11-15
302,309,1.00868639433925,0.127070278741999,0.776430769237881,0.809504549435221,0.919666514610219,1.00342643645002,1.09106345728065,1.22607422396447,1.27311512216163,2020-11-22
309,316,1.10049812108297,0.134163285775898,0.853916756890196,0.890099417168957,1.00698950110153,1.09451045171658,1.18760079036465,1.33146592386999,1.38012142183776,2020-11-29
316,323,0.994951612325216,0.119703546407881,0.775016485364649,0.807597502899261,0.911444702871242,0.990103329456108,1.07323623346766,1.20035415912112,1.24436430470425,2020-12-06
323,330,0.911121794336899,0.121889002502289,0.688717789941013,0.720551581356462,0.825923475465809,0.905879899154292,0.990741294965795,1.12061916236604,1.16379406121008,2020-12-13
330,337,1.08120322783668,0.136285862868327,0.830763791558307,0.866763155976612,0.986553210752511,1.0753256438326,1.1702724935106,1.31413208093375,1.36436096299732,2020-12-20
337,344,1.25258283541763,0.136891063451388,0.99877701448768,1.03580845895548,1.15793234713224,1.24761261034704,1.34290768420429,1.48524797072267,1.53572152323103,2020-12-27
344,351,1.26013179325383,0.117752219591756,1.04085329355485,1.07300347672243,1.17861796069652,1.25575978794891,1.33713273546503,1.46136084474751,1.50155567301431,2021-01-03
351,358,1.04685148500695,0.090822720896148,0.876109413022671,0.90302538747871,0.984350322734088,1.04412633887497,1.10597259961945,1.20093648292785,1.23299500685309,2021-01-10
358,365,0.886120932497198,0.0833087005139542,0.730631290704541,0.753717525394306,0.829259839237557,0.883326698610599,0.940318744856573,1.02747629967662,1.05644098438305,2021-01-17
365,372,0.889185873593051,0.0930021002235233,0.71501465696025,0.74189708293454,0.825274490790971,0.885558614926466,0.949439169050605,1.04714194432688,1.08242769312093,2021-01-24
372,379,0.985952016235349,0.104856366487804,0.792440697724327,0.820896617749479,0.913113622557305,0.982285002767091,1.05459226313898,1.16532103719014,1.20278059389227,2021-01-31
379,386,1.00774811506896,0.107228909120063,0.808465677903934,0.838020877111226,0.933337000270101,1.00387372922629,1.07818089963355,1.18914058218526,1.22758274448241,2021-02-07
386,393,1.08409173101457,0.110849020105573,0.877923059193987,0.908382226026535,1.00726897073934,1.08033521607698,1.15635502034736,1.27234398120058,1.31159291948752,2021-02-14
393,400,1.15936478627563,0.10580036775907,0.962899810141157,0.991945264874917,1.08604583924299,1.15552491078241,1.22887925777945,1.33854861051819,1.37611786638401,2021-02-21
400,407,0.927065559130672,0.0871229035128218,0.764705380305241,0.788199667082791,0.866718647167335,0.92447142574701,0.984582221006206,1.07430081031634,1.10501836991555,2021-02-28
407,414,1.03673788631171,0.0996975691489959,0.850249809394903,0.878241987476493,0.967962571179943,1.03350972206821,1.10203782631671,1.20610957486079,1.24100589998256,2021-03-07
414,421,1.3056042855049,0.106573957750788,1.10656407450827,1.13642899301538,1.23217742323909,1.30251763496038,1.37571423295388,1.4864354073193,1.52431838889074,2021-03-14
421,428,1.14620263913508,0.0830317050010128,0.989199486411119,1.01336601150834,1.08899011953574,1.14398808162738,1.2012011454598,1.28637455545651,1.31583001607464,2021-03-21
428,435,0.938844844028307,0.0675165348794823,0.811336500266503,0.831200119956326,0.892594116525868,0.93722057428823,0.983079494581344,1.05293185025086,1.07645345327693,2021-03-28
435,442,0.879465788014484,0.0713010519496653,0.745820538948261,0.766216036939617,0.830342739734523,0.87726459267584,0.926237612434488,1.00006411961495,1.02502599219061,2021-04-04
