"dt_evoluca","n.casos"
2020-04-12,2
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,2
2020-06-07,2
2020-06-14,1
2020-06-21,4
2020-06-28,1
2020-07-05,2
2020-07-12,1
2020-07-19,2
2020-07-26,4
2020-08-02,2
2020-08-09,1
2020-08-16,2
2020-08-23,1
2020-08-30,2
2020-09-06,5
2020-09-13,2
2020-09-20,2
2020-09-27,1
2020-10-04,2
2020-10-11,3
2020-10-25,3
2020-11-01,1
2020-11-08,1
2020-11-29,1
2020-12-06,2
2020-12-13,1
2020-12-20,1
2020-12-27,1
2021-01-03,1
2021-01-10,5
2021-01-17,4
2021-01-24,3
2021-01-31,8
2021-02-07,8
2021-02-14,5
2021-02-21,7
2021-02-28,5
2021-03-07,5
2021-03-14,9
2021-03-21,14
2021-03-28,19
2021-04-04,13
2021-04-11,10
2021-04-18,11
2021-04-25,9
2021-05-02,9
2021-05-09,5
2021-05-16,4
2021-05-23,9
2021-05-30,12
2021-06-06,15
2021-06-13,9
2021-06-20,7
2021-06-27,7
2021-07-04,5
2021-07-11,7
2021-07-18,4
2021-07-25,7
2021-08-01,3
2021-08-08,1
2021-08-15,5
2021-08-22,3
2021-09-05,4
2021-09-12,6
2021-09-19,7
2021-09-26,4
2021-10-03,2
2021-10-10,2
