"dt_notific","n.notific"
2020-04-05,1
2020-04-12,2
2020-04-26,1
2020-05-10,2
2020-05-17,1
2020-05-31,1
2020-06-07,2
2020-06-14,3
2020-06-21,3
2020-06-28,1
2020-07-05,3
2020-07-12,1
2020-07-19,4
2020-07-26,2
2020-08-02,1
2020-08-09,2
2020-08-16,4
2020-08-23,2
2020-08-30,6
2020-09-13,1
2020-09-20,3
2020-10-04,2
2020-10-11,1
2020-10-18,2
2020-10-25,1
2020-11-22,1
2020-11-29,2
2020-12-06,1
2020-12-13,2
2020-12-20,1
2021-01-03,5
2021-01-10,4
2021-01-17,4
2021-01-24,3
2021-01-31,12
2021-02-07,11
2021-02-14,5
2021-02-21,1
2021-02-28,9
2021-03-07,11
2021-03-14,21
2021-03-21,13
2021-03-28,8
2021-04-04,15
2021-04-11,7
2021-04-18,12
2021-04-25,6
2021-05-02,9
2021-05-09,11
2021-05-16,7
2021-05-23,14
2021-05-30,9
2021-06-06,8
2021-06-13,6
2021-06-20,9
2021-06-27,8
2021-07-04,2
2021-07-11,3
2021-07-18,8
2021-07-25,2
2021-08-01,1
2021-08-08,2
2021-08-15,2
2021-08-22,3
2021-08-29,3
2021-09-05,5
2021-09-12,8
2021-09-19,3
2021-09-26,2
