"dt_notific","n.notific"
2020-03-08,1
2020-03-29,9
2020-04-05,22
2020-04-12,22
2020-04-19,23
2020-04-26,34
2020-05-03,19
2020-05-10,22
2020-05-17,19
2020-05-24,25
2020-05-31,22
2020-06-07,21
2020-06-14,23
2020-06-21,19
2020-06-28,24
2020-07-05,29
2020-07-12,24
2020-07-19,33
2020-07-26,27
2020-08-02,22
2020-08-09,29
2020-08-16,27
2020-08-23,25
2020-08-30,45
2020-09-06,23
2020-09-13,24
2020-09-20,32
2020-09-27,19
2020-10-04,26
2020-10-11,33
2020-10-18,7
2020-10-25,25
2020-11-01,11
2020-11-08,23
2020-11-15,17
2020-11-22,25
2020-11-29,24
2020-12-06,33
2020-12-13,31
2020-12-20,22
2020-12-27,22
2021-01-03,32
2021-01-10,54
2021-01-17,27
2021-01-24,44
2021-01-31,55
2021-02-07,47
2021-02-14,35
2021-02-21,38
2021-02-28,40
2021-03-07,61
2021-03-14,69
2021-03-21,59
2021-03-28,54
2021-04-04,49
2021-04-11,64
2021-04-18,54
2021-04-25,41
2021-05-02,47
2021-05-09,56
2021-05-16,50
2021-05-23,76
2021-05-30,61
2021-06-06,74
2021-06-13,81
2021-06-20,54
2021-06-27,41
2021-07-04,43
2021-07-11,25
2021-07-18,42
2021-07-25,38
2021-08-01,36
2021-08-08,29
2021-08-15,45
2021-08-22,52
2021-08-29,49
2021-09-05,45
2021-09-12,44
2021-09-19,37
2021-09-26,44
2021-10-03,34
2021-10-10,31
2021-10-17,27
2021-10-24,44
2021-10-31,23
