"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.79065590438774,1.97859347128529,0.00100436398354842,7.04126668882822e-08,9.31201614019689e-05,0.00043676662053475,9.36484274126068e-06,0.0195538575956908,4.04524768208052e-06,0.00195586964664161,-2.89986923888527,-2.80006499441442,-10.3858520086494,-19.9513438812292,-12.7640710593663,-11.2185627732955,-15.0609992330386,-7.41703391119521,-15.9004189963167,-9.71937157106371,3.4824512186522,8.34642546139
1.33445503217292,1.47451222086352,0.000748484713727115,5.2473809975184e-08,6.93961735893085e-05,0.000325492694174006,6.97898546055743e-06,0.014572170791174,3.01465016953323e-06,0.00145757768750528,-2.89986923888527,-2.80006499441442,-10.3858520086494,-19.9513438812292,-12.7640710593663,-11.2185627732955,-15.0609992330386,-7.41703391119521,-15.9004189963167,-9.71937157106371,3.188392231794,28.2646839400178
1.58459199026635,1.7509022023212,0.00088878445029169,6.23097646460526e-08,8.24041411464377e-05,0.000386504680669906,8.28716157110013e-06,0.0173036517228221,3.57973134869818e-06,0.00173079337491871,-2.89986923888527,-2.80006499441442,-10.3858520086494,-19.9513438812292,-12.7640710593663,-11.2185627732955,-15.0609992330386,-7.41703391119521,-15.9004189963167,-9.71937157106371,3.36019619368614,32.4171005676832
1.57464458118399,1.73991076693804,0.000883205031382974,6.19186098739932e-08,8.18868422410417e-05,0.0003840783651297,8.23513821948298e-06,0.0171950265982708,3.55725928500659e-06,0.00171992817438563,-2.89986923888527,-2.80006499441442,-10.3858520086494,-19.9513438812292,-12.7640710593663,-11.2185627732955,-15.0609992330386,-7.41703391119521,-15.9004189963167,-9.71937157106371,3.35389882295687,39.3860437195169
1.57742849139144,1.74298686131642,0.000884766503432935,6.20280795613875e-08,8.20316149844879e-05,0.000384757400699963,8.2496976226797e-06,0.0172254267346803,3.56354838068725e-06,0.00172296894031971,-2.89986923888527,-2.80006499441442,-10.3858520086494,-19.9513438812292,-12.7640710593663,-11.2185627732955,-15.0609992330386,-7.41703391119521,-15.9004189963167,-9.71937157106371,3.35566522295282,59.4274989870576
1.54338920848864,1.70537499923076,0.000865674153144078,6.06895774615272e-08,8.0261457183568e-05,0.000376454732095431,8.07167764093512e-06,0.0168537197590912,3.48665067525718e-06,0.00168578904436099,-2.89986923888527,-2.80006499441442,-10.3858520086494,-19.9513438812292,-12.7640710593663,-11.2185627732955,-15.0609992330386,-7.41703391119521,-15.9004189963167,-9.71937157106371,3.33385002186425,49.9904420271337
2.13712499632884,2.36142608677386,0.0011986956116997,8.40366203782612e-08,0.000111137725627063,0.000521275394127743,1.11768204376932e-05,0.0233372797867014,4.82795154363928e-06,0.00233430549172307,-2.89986923888527,-2.80006499441442,-10.3858520086494,-19.9513438812292,-12.7640710593663,-11.2185627732955,-15.0609992330386,-7.41703391119521,-15.9004189963167,-9.71937157106371,3.65933070500861,50.8866392976552
2.19565526230842,2.4260993731691,0.00123152475042666,8.63381636905211e-08,0.000114181497354262,0.000535551764260196,1.14829243268658e-05,0.0239764268630315,4.96017651338656e-06,0.00239823601592865,-2.89986923888527,-2.80006499441442,-10.3858520086494,-19.9513438812292,-12.7640710593663,-11.2185627732955,-15.0609992330386,-7.41703391119521,-15.9004189963167,-9.71937157106371,3.68634976583236,98.2098430323523
1.82036178944606,2.01141712550669,0.0010210257670764,7.15807699191926e-08,9.46649678633558e-05,0.000444012311342863,9.52019974836597e-06,0.019878244120629,4.11235586427334e-06,0.00198831632652568,-2.89986923888527,-2.80006499441442,-10.3858520086494,-19.9513438812292,-12.7640710593663,-11.2185627732955,-15.0609992330386,-7.41703391119521,-15.9004189963167,-9.71937157106371,3.49890450562869,54.5149579755415
1.77238040343042,1.95839987250955,0.000994113407266366,6.96940325834051e-08,9.21697735610234e-05,0.000432308964112794,9.26926480690508e-06,0.0193542901956484,4.00396173333665e-06,0.00193590796806785,-2.89986923888527,-2.80006499441442,-10.3858520086494,-19.9513438812292,-12.7640710593663,-11.2185627732955,-15.0609992330386,-7.41703391119521,-15.9004189963167,-9.71937157106371,3.472192742651,25.151158867007
