"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
2.45357953804753,2.61228740193324,1.70969024458016e-06,0.0219306477554784,0.0116426710430084,0.0670186556067246,0.00218251255571284,0.424527847612805,1.63052673834184e-06,0.0199471093117231,-1.73704966121254,-1.6743714187032,-15.9137960028109,-6.45446783500743,-7.08767604738685,-5.33738191188989,-8.76187617279552,-3.49137532984232,-15.9612050984235,-6.54926869823267,2.63459765543239,8.54379601105527
3.23213879408629,3.44120715149515,2.25220176468204e-06,0.0288895861294676,0.0153370731053772,0.08828472578736,0.00287505800831439,0.559237189649533,2.14791843674381e-06,0.0262766398384642,-1.73704966121254,-1.6743714187032,-15.9137960028109,-6.45446783500743,-7.08767604738685,-5.33738191188989,-8.76187617279552,-3.49137532984232,-15.9612050984235,-6.54926869823267,2.91019374466415,5.54262944065228
4.07366288646112,5.34595983086635,3.05408132197073e-06,0.0224893927901831,0.0133564437326059,0.105887365516441,0.00434764475684702,0.457363974299347,1.72128512087726e-06,0.0304824458320065,-1.58720821713482,-1.31540968013934,-15.6907825074638,-6.78646229643868,-7.30750711794778,-5.23713012324675,-8.42987179967881,-3.77402654637265,-16.2641901667864,-6.48235509151153,2.99175078396071,28.2700300926339
3.14187723401411,4.12315646991209,2.35550875066724e-06,0.0173453015587307,0.0103013694702951,0.0816673132652976,0.00335319010527771,0.352749232953263,1.3275685016807e-06,0.0235100707314171,-1.58720821713482,-1.31540968013934,-15.6907825074638,-6.78646229643868,-7.30750711794778,-5.23713012324675,-8.42987179967881,-3.77402654637265,-16.2641901667864,-6.48235509151153,2.73202868364414,16.9208333295639
4.17128291634397,5.00446222691891,3.9058424976646e-06,0.0312649929992461,0.00963207750778658,0.148719538214594,0.00389905344174412,0.678540665966704,1.526365890281e-06,0.043150848235075,-1.56489789905717,-1.3827915815264,-15.446158590853,-6.45837778323122,-7.63577788489497,-4.89881458199138,-8.54014300390147,-3.38093240775292,-16.3857424243678,-6.13617474517429,2.99312154135167,14.450195501832
2.19788610909111,2.63689570633506,2.05802318904778e-06,0.0164738031900512,0.00507522740140775,0.078361648861447,0.00205444597503455,0.357529118520875,8.0425577811909e-07,0.022736566143659,-1.56489789905717,-1.3827915815264,-15.446158590853,-6.45837778323122,-7.63577788489497,-4.89881458199138,-8.54014300390147,-3.38093240775292,-16.3857424243678,-6.13617474517429,2.35239393799599,9.36516039519885
3.1739132360388,2.72292007703689,3.55154739222147e-06,0.0179075484239261,0.00856098651631886,0.119412886237083,0.00248408522028144,0.37322076767063,7.52836979156855e-07,0.0366002045832358,-1.61248287637822,-1.76574330007616,-15.3155753265817,-6.78998111763228,-7.52798801050265,-4.89261632118064,-8.76529897008488,-3.75303332626112,-16.8668652899958,-6.07514961115176,2.76744816226722,15.4843121452465
3.50540969781393,2.32006449963153,3.60963141467879e-06,0.0145543498145822,0.0107470071552753,0.0902580601109372,0.00206946558766152,0.299478312257628,1.1448394731519e-06,0.0344134523660655,-1.57872818710569,-1.99144060343734,-15.3649404823236,-7.06290096400892,-7.36616355762495,-5.2381179673429,-9.01350046554277,-4.03874886750618,-16.5132817192018,-6.20234332418705,2.83303559029441,11.7029309531533
5.00524802413074,3.31273638567226,5.15406245307886e-06,0.0207816309452716,0.0153452637398723,0.128876227310569,0.00295491524146494,0.427614276194962,1.63467497522869e-06,0.0491377269156827,-1.57872818710569,-1.99144060343734,-15.3649404823236,-7.06290096400892,-7.36616355762495,-5.2381179673429,-9.01350046554277,-4.03874886750618,-16.5132817192018,-6.20234332418705,3.18921515391593,12.7770813309398
4.19273637339573,2.77497344241832,4.31739346653653e-06,0.0174081083579986,0.0128542372188812,0.1079554985699,0.00247523810078185,0.358198818708344,1.36931500582559e-06,0.0411611040955655,-1.57872818710569,-1.99144060343734,-15.3649404823236,-7.06290096400892,-7.36616355762495,-5.2381179673429,-9.01350046554277,-4.03874886750618,-16.5132817192018,-6.20234332418705,3.01208178029023,10.8755706411052
1.99698951431526,1.81345714130233,2.33040285910857e-06,0.0180208589476293,0.0107788121235243,0.137694764192692,0.00269723225267047,0.208378398580103,2.23143870464782e-06,0.0249739760505927,-1.92890684911973,-2.02531260649867,-15.5900170572485,-6.63677301440899,-7.15072056501709,-4.60326355008361,-8.53607677616229,-4.18894728094285,-15.6334116743041,-6.31046860708444,2.62054765282118,6.31199220394466
