"dt_evoluca","n.casos"
2020-04-05,2
2020-06-21,1
2020-06-28,1
2020-07-19,2
2020-07-26,2
2020-08-09,3
2020-08-16,2
2020-08-23,1
2020-08-30,4
2020-09-06,1
2020-09-13,2
2020-09-20,2
2020-09-27,1
2020-10-04,1
2020-10-11,3
2020-10-25,2
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-13,1
2020-12-20,1
2021-01-10,1
2021-01-17,2
2021-01-24,2
2021-01-31,3
2021-02-07,3
2021-02-14,5
2021-02-21,14
2021-02-28,17
2021-03-07,14
2021-03-14,28
2021-03-21,16
2021-03-28,22
2021-04-04,13
2021-04-11,9
2021-04-18,3
2021-04-25,8
2021-05-02,3
2021-05-09,2
2021-05-16,2
2021-05-23,4
2021-05-30,2
2021-06-06,2
2021-06-13,6
2021-06-20,5
2021-06-27,3
2021-07-04,12
2021-07-11,4
2021-07-18,7
2021-07-25,2
2021-08-08,5
2021-08-15,3
2021-08-29,1
2021-09-12,2
2021-09-19,1
2021-09-26,1
2021-10-03,1
2021-10-10,2
