"dt_sin_pri","n.casos"
2020-01-05,1
2020-02-09,1
2020-03-01,1
2020-03-22,1
2020-04-05,2
2020-04-12,1
2020-04-19,2
2020-05-03,2
2020-05-17,6
2020-05-31,2
2020-06-07,1
2020-06-14,5
2020-06-21,2
2020-06-28,7
2020-07-05,6
2020-07-12,10
2020-07-19,8
2020-07-26,16
2020-08-02,7
2020-08-09,10
2020-08-16,11
2020-08-23,17
2020-08-30,12
2020-09-06,9
2020-09-13,8
2020-09-20,11
2020-09-27,7
2020-10-04,10
2020-10-11,7
2020-10-18,7
2020-10-25,3
2020-11-01,6
2020-11-08,9
2020-11-15,3
2020-11-22,2
2020-11-29,3
2020-12-06,12
2020-12-13,3
2020-12-20,3
2020-12-27,9
2021-01-03,12
2021-01-10,16
2021-01-17,16
2021-01-24,16
2021-01-31,25
2021-02-07,35
2021-02-14,40
2021-02-21,46
2021-02-28,44
2021-03-07,28
2021-03-14,31
2021-03-21,20
2021-03-28,20
2021-04-04,14
2021-04-11,8
2021-04-18,17
2021-04-25,16
2021-05-02,8
2021-05-09,14
2021-05-16,16
2021-05-23,13
2021-05-30,22
2021-06-06,27
2021-06-13,15
2021-06-20,14
2021-06-27,11
2021-07-04,12
2021-07-11,14
2021-07-18,15
2021-07-25,10
2021-08-01,7
2021-08-08,6
2021-08-15,8
2021-08-22,3
2021-08-29,3
2021-09-05,3
2021-09-12,4
2021-09-26,3
2021-10-17,1
