"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.00658096494329516,0.0240229803526023,0.0352603145128427,0.0105301578776367,0.0114996377511112,0.0134051561863694,0.0224609160132251,4.4509477301337e-07,0.000374863986628648,0.000105349334769928,-2.9380401232113,-1.64321061879903,-1.25946340896432,-2.46797818655258,-2.37990597074427,-2.22658208274223,-1.71044477303117,-12.5394448311238,-5.80341352684169,-7.07269495894208,-2.08553377326817,2.57542464385132
0.0158024984940353,0.0576850225028179,0.0846685967467577,0.0252854718779263,0.0276134290046674,0.032189042529885,0.0539341258511432,1.06878087649027e-06,0.000900139665719167,0.000252969392542583,-2.9380401232113,-1.64321061879903,-1.25946340896432,-2.46797818655258,-2.37990597074427,-2.22658208274223,-1.71044477303117,-12.5394448311238,-5.80341352684169,-7.07269495894208,-1.20954709570567,2.74474120248306
0.0107871390982382,0.140237847640675,0.141066219047054,0.0371110150581212,0.0828508241146912,0.0539690986271995,0.0495911237268733,3.78083286673764e-06,0.00114355850892999,0.000634788458317055,-3.87045276936168,-1.30546747684973,-1.29957795089602,-2.63489354227716,-1.83176567876768,-2.26039573453643,-2.34499550906342,-11.8266183281652,-6.11466246995577,-6.70327084176039,-0.658947909322064,0.978197773190108
0.016979582400976,0.220742503463152,0.222046408087459,0.0584148894739054,0.130412001016463,0.0849504904777393,0.0780593041407025,5.95125015265399e-06,0.00180002739891296,0.000999193839721907,-3.87045276936168,-1.30546747684973,-1.29957795089602,-2.63489354227716,-1.83176567876768,-2.26039573453643,-2.34499550906342,-11.8266183281652,-6.11466246995577,-6.70327084176039,-0.205290922621785,2.11638183232781
0.0201185396136057,0.2615504136353,0.263095366639266,0.0692138499140954,0.154520820746951,0.100654996542989,0.0924898602026252,7.05143737455902e-06,0.0021327922957943,0.00118391138082174,-3.87045276936168,-1.30546747684973,-1.29957795089602,-2.63489354227716,-1.83176567876768,-2.26039573453643,-2.34499550906342,-11.8266183281652,-6.11466246995577,-6.70327084176039,-0.0356607508400677,1.55980528524649
0.00882148068489558,0.114683369982277,0.115360793559998,0.0303485566979991,0.0677535478127651,0.0441347197607586,0.0405545099692214,3.09188041453843e-06,0.00093517652889277,0.00051911577973006,-3.87045276936168,-1.30546747684973,-1.29957795089602,-2.63489354227716,-1.83176567876768,-2.26039573453643,-2.34499550906342,-11.8266183281652,-6.11466246995577,-6.70327084176039,-0.860112775585639,0.75743923326923
0.00461262630807118,0.059966296858108,0.0603205119754918,0.0158688270186738,0.035427362850936,0.0230774148626086,0.0212053742763684,1.61670012676322e-06,0.000488990455677968,0.000271438229935444,-3.87045276936168,-1.30546747684973,-1.29957795089602,-2.63489354227716,-1.83176567876768,-2.26039573453643,-2.34499550906342,-11.8266183281652,-6.11466246995577,-6.70327084176039,-1.50850511676508,0.887684700590527
0.013131906675642,0.170720921538039,0.171729353514514,0.0451777233929601,0.100859855459901,0.0657001972521752,0.0603705952793243,4.60266099380395e-06,0.001392130339717,0.000772770492479852,-3.87045276936168,-1.30546747684973,-1.29957795089602,-2.63489354227716,-1.83176567876768,-2.26039573453643,-2.34499550906342,-11.8266183281652,-6.11466246995577,-6.70327084176039,-0.46225761664344,1.31323870610035
0.0157256511719726,0.204440811694518,0.205648423801762,0.0541009874932594,0.120781158699518,0.0786769514463512,0.0722946747838182,5.511754160244e-06,0.00166709653434534,0.000925404017930818,-3.87045276936168,-1.30546747684973,-1.29957795089602,-2.63489354227716,-1.83176567876768,-2.26039573453643,-2.34499550906342,-11.8266183281652,-6.11466246995577,-6.70327084176039,-0.28200929790897,1.49898711333674
0.0183953111662796,0.192992461468049,0.233978721020944,0.0318881236028473,0.193750261708984,0.185657413716337,0.0852905657039912,9.09708563466855e-06,0.00195190635626656,0.000556767414750677,-3.93852878561862,-1.58797346144884,-1.39539441442497,-3.38839095022138,-1.58405457085124,-1.62672147617978,-2.40456074281898,-11.5504257665199,-6.18181807622378,-7.43623228387295,-0.0571306891423109,2.00052613321109
