"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-05,2,NA,NA,NA,2,NA,NA,NA
2020-06-21,3,NA,NA,NA,3,NA,NA,NA
2020-06-28,4,NA,NA,NA,4,NA,NA,NA
2020-07-19,6,NA,NA,NA,6,NA,NA,NA
2020-07-26,8,NA,NA,NA,8,NA,NA,NA
2020-08-09,11,NA,NA,NA,11,NA,NA,NA
2020-08-16,13,NA,NA,NA,13,NA,NA,NA
2020-08-23,14,NA,NA,NA,14,NA,NA,NA
2020-08-30,18,NA,NA,NA,18,NA,NA,NA
2020-09-06,19,NA,NA,NA,19,NA,NA,NA
2020-09-13,21,NA,NA,NA,21,NA,NA,NA
2020-09-20,23,NA,NA,NA,23,NA,NA,NA
2020-09-27,24,NA,NA,NA,24,NA,NA,NA
2020-10-04,25,NA,NA,NA,25,NA,NA,NA
2020-10-11,28,NA,NA,NA,28,NA,NA,NA
2020-10-25,30,NA,NA,NA,30,NA,NA,NA
2020-11-15,31,NA,NA,NA,31,NA,NA,NA
2020-11-22,32,NA,NA,NA,32,NA,NA,NA
2020-11-29,33,NA,NA,NA,33,NA,NA,NA
2020-12-13,34,NA,NA,NA,34,NA,NA,NA
2020-12-20,35,NA,NA,NA,35,NA,NA,NA
2021-01-10,36,NA,NA,NA,36,NA,NA,NA
2021-01-17,38,NA,NA,NA,38,NA,NA,NA
2021-01-24,40,NA,NA,NA,40,NA,NA,NA
2021-01-31,43,NA,NA,NA,43,NA,NA,NA
2021-02-07,46,NA,NA,NA,46,NA,NA,NA
2021-02-14,51,NA,NA,NA,51,NA,NA,NA
2021-02-21,65,NA,NA,NA,65,NA,NA,NA
2021-02-28,82,NA,NA,NA,82,NA,NA,NA
2021-03-07,96,NA,NA,NA,96,NA,NA,NA
2021-03-14,124,NA,NA,NA,124,NA,NA,NA
2021-03-21,140,NA,NA,NA,140,NA,NA,NA
2021-03-28,162,NA,NA,NA,162,NA,NA,NA
2021-04-04,175,NA,NA,NA,175,NA,NA,NA
2021-04-11,184,NA,NA,NA,184,NA,NA,NA
2021-04-18,187,NA,NA,NA,187,NA,NA,NA
2021-04-25,195,NA,NA,NA,195,NA,NA,NA
2021-05-02,198,NA,NA,NA,198,NA,NA,NA
2021-05-09,200,NA,NA,NA,200,NA,NA,NA
2021-05-16,202,NA,NA,NA,202,NA,NA,NA
2021-05-23,206,NA,NA,NA,206,NA,NA,NA
2021-05-30,208,NA,NA,NA,208,NA,NA,NA
2021-06-06,210,NA,NA,NA,210,NA,NA,NA
2021-06-13,216,NA,NA,NA,216,NA,NA,NA
2021-06-20,221,NA,NA,NA,221,NA,NA,NA
2021-06-27,224,NA,NA,NA,224,NA,NA,NA
2021-07-04,236,NA,NA,NA,236,NA,NA,NA
2021-07-11,240,NA,NA,NA,240,NA,NA,NA
2021-07-18,247,NA,NA,NA,247,NA,NA,NA
2021-07-25,249,NA,NA,NA,249,NA,NA,NA
2021-08-08,254,NA,NA,NA,254,NA,NA,NA
2021-08-15,257,NA,NA,NA,257,NA,NA,NA
2021-08-22,257,NA,NA,NA,257,NA,NA,NA
2021-08-29,258,NA,NA,NA,258,NA,NA,NA
2021-09-05,258,NA,NA,NA,258,NA,NA,NA
2021-09-12,260,NA,NA,NA,260,NA,NA,NA
2021-09-19,261,NA,NA,NA,261,NA,NA,NA
2021-09-26,262,NA,NA,NA,262,NA,NA,NA
2021-10-03,262,NA,NA,NA,263,NA,NA,NA
2021-10-10,262,262,262,272,265,265,265,265
2021-10-17,NA,262,262,273,NA,265,265,265
