"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,4,NA,NA,NA,4,NA,NA,NA
2020-04-05,6,NA,NA,NA,6,NA,NA,NA
2020-04-12,7,NA,NA,NA,7,NA,NA,NA
2020-04-19,9,NA,NA,NA,9,NA,NA,NA
2020-05-03,11,NA,NA,NA,11,NA,NA,NA
2020-05-17,17,NA,NA,NA,17,NA,NA,NA
2020-05-31,19,NA,NA,NA,19,NA,NA,NA
2020-06-07,20,NA,NA,NA,20,NA,NA,NA
2020-06-14,25,NA,NA,NA,25,NA,NA,NA
2020-06-21,27,NA,NA,NA,27,NA,NA,NA
2020-06-28,34,NA,NA,NA,34,NA,NA,NA
2020-07-05,40,NA,NA,NA,40,NA,NA,NA
2020-07-12,50,NA,NA,NA,50,NA,NA,NA
2020-07-19,58,NA,NA,NA,58,NA,NA,NA
2020-07-26,74,NA,NA,NA,74,NA,NA,NA
2020-08-02,81,NA,NA,NA,81,NA,NA,NA
2020-08-09,91,NA,NA,NA,91,NA,NA,NA
2020-08-16,102,NA,NA,NA,102,NA,NA,NA
2020-08-23,119,NA,NA,NA,119,NA,NA,NA
2020-08-30,131,NA,NA,NA,131,NA,NA,NA
2020-09-06,140,NA,NA,NA,140,NA,NA,NA
2020-09-13,148,NA,NA,NA,148,NA,NA,NA
2020-09-20,159,NA,NA,NA,159,NA,NA,NA
2020-09-27,166,NA,NA,NA,166,NA,NA,NA
2020-10-04,176,NA,NA,NA,176,NA,NA,NA
2020-10-11,183,NA,NA,NA,183,NA,NA,NA
2020-10-18,190,NA,NA,NA,190,NA,NA,NA
2020-10-25,193,NA,NA,NA,193,NA,NA,NA
2020-11-01,199,NA,NA,NA,199,NA,NA,NA
2020-11-08,208,NA,NA,NA,208,NA,NA,NA
2020-11-15,211,NA,NA,NA,211,NA,NA,NA
2020-11-22,213,NA,NA,NA,213,NA,NA,NA
2020-11-29,216,NA,NA,NA,216,NA,NA,NA
2020-12-06,228,NA,NA,NA,228,NA,NA,NA
2020-12-13,231,NA,NA,NA,231,NA,NA,NA
2020-12-20,234,NA,NA,NA,234,NA,NA,NA
2020-12-27,243,NA,NA,NA,243,NA,NA,NA
2021-01-03,255,NA,NA,NA,255,NA,NA,NA
2021-01-10,271,NA,NA,NA,271,NA,NA,NA
2021-01-17,287,NA,NA,NA,287,NA,NA,NA
2021-01-24,303,NA,NA,NA,303,NA,NA,NA
2021-01-31,328,NA,NA,NA,328,NA,NA,NA
2021-02-07,363,NA,NA,NA,363,NA,NA,NA
2021-02-14,403,NA,NA,NA,403,NA,NA,NA
2021-02-21,449,NA,NA,NA,449,NA,NA,NA
2021-02-28,493,NA,NA,NA,493,NA,NA,NA
2021-03-07,521,NA,NA,NA,521,NA,NA,NA
2021-03-14,552,NA,NA,NA,552,NA,NA,NA
2021-03-21,572,NA,NA,NA,572,NA,NA,NA
2021-03-28,592,NA,NA,NA,592,NA,NA,NA
2021-04-04,606,NA,NA,NA,606,NA,NA,NA
2021-04-11,614,NA,NA,NA,614,NA,NA,NA
2021-04-18,631,NA,NA,NA,631,NA,NA,NA
2021-04-25,647,NA,NA,NA,647,NA,NA,NA
2021-05-02,655,NA,NA,NA,655,NA,NA,NA
2021-05-09,669,NA,NA,NA,669,NA,NA,NA
2021-05-16,685,NA,NA,NA,685,NA,NA,NA
2021-05-23,698,NA,NA,NA,698,NA,NA,NA
2021-05-30,720,NA,NA,NA,720,NA,NA,NA
2021-06-06,747,NA,NA,NA,747,NA,NA,NA
2021-06-13,762,NA,NA,NA,762,NA,NA,NA
2021-06-20,776,NA,NA,NA,776,NA,NA,NA
2021-06-27,787,NA,NA,NA,787,NA,NA,NA
2021-07-04,799,NA,NA,NA,799,NA,NA,NA
2021-07-11,813,NA,NA,NA,813,NA,NA,NA
2021-07-18,828,NA,NA,NA,828,NA,NA,NA
2021-07-25,838,NA,NA,NA,838,NA,NA,NA
2021-08-01,845,NA,NA,NA,845,NA,NA,NA
2021-08-08,851,NA,NA,NA,851,NA,NA,NA
2021-08-15,859,NA,NA,NA,859,NA,NA,NA
2021-08-22,862,NA,NA,NA,862,NA,NA,NA
2021-08-29,865,NA,NA,NA,865,NA,NA,NA
2021-09-05,868,NA,NA,NA,868,NA,NA,NA
2021-09-12,872,NA,NA,NA,872,NA,NA,NA
2021-09-19,872,NA,NA,NA,872,NA,NA,NA
2021-09-26,874,NA,NA,NA,875,NA,NA,NA
2021-10-03,874,NA,NA,NA,875,NA,NA,NA
2021-10-10,875,NA,NA,NA,875,NA,NA,NA
2021-10-17,876,876,874,901,876,876,876,876
2021-10-24,NA,877,874,906,NA,876,876,876
