"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-05,2,NA,2,NA,NA,NA
2020-04-26,1,NA,1,NA,NA,NA
2020-05-24,1,NA,1,NA,NA,NA
2020-06-21,2,NA,2,NA,NA,NA
2020-06-28,1,NA,1,NA,NA,NA
2020-07-19,2,NA,2,NA,NA,NA
2020-07-26,2,NA,2,NA,NA,NA
2020-08-09,3,NA,3,NA,NA,NA
2020-08-16,2,NA,2,NA,NA,NA
2020-08-23,1,NA,1,NA,NA,NA
2020-08-30,4,NA,4,NA,NA,NA
2020-09-06,1,NA,1,NA,NA,NA
2020-09-13,2,NA,2,NA,NA,NA
2020-09-20,2,NA,2,NA,NA,NA
2020-09-27,1,NA,1,NA,NA,NA
2020-10-04,1,NA,1,NA,NA,NA
2020-10-11,3,NA,3,NA,NA,NA
2020-10-25,2,NA,2,NA,NA,NA
2020-11-15,1,NA,1,NA,NA,NA
2020-11-22,1,NA,1,NA,NA,NA
2020-11-29,1,NA,1,NA,NA,NA
2020-12-13,1,NA,1,NA,NA,NA
2020-12-20,1,NA,1,NA,NA,NA
2021-01-10,1,NA,1,NA,NA,NA
2021-01-17,2,NA,2,NA,NA,NA
2021-01-24,2,NA,2,NA,NA,NA
2021-01-31,3,NA,3,NA,NA,NA
2021-02-07,3,NA,3,NA,NA,NA
2021-02-14,5,NA,5,NA,NA,NA
2021-02-21,14,NA,14,NA,NA,NA
2021-02-28,18,NA,18,NA,NA,NA
2021-03-07,15,NA,15,NA,NA,NA
2021-03-14,28,NA,28,NA,NA,NA
2021-03-21,17,NA,17,NA,NA,NA
2021-03-28,22,NA,22,NA,NA,NA
2021-04-04,13,NA,13,NA,NA,NA
2021-04-11,9,NA,9,NA,NA,NA
2021-04-18,3,NA,3,NA,NA,NA
2021-04-25,8,NA,8,NA,NA,NA
2021-05-02,3,NA,3,NA,NA,NA
2021-05-09,2,NA,2,NA,NA,NA
2021-05-16,2,NA,2,NA,NA,NA
2021-05-23,4,NA,4,NA,NA,NA
2021-05-30,2,NA,2,NA,NA,NA
2021-06-06,2,NA,2,NA,NA,NA
2021-06-13,6,NA,6,NA,NA,NA
2021-06-20,5,NA,5,NA,NA,NA
2021-06-27,3,NA,3,NA,NA,NA
2021-07-04,12,NA,12,NA,NA,NA
2021-07-11,4,NA,4,NA,NA,NA
2021-07-18,7,NA,7,NA,NA,NA
2021-07-25,3,NA,3,NA,NA,NA
2021-08-08,5,NA,5,NA,NA,NA
2021-08-15,NA,3,3,NA,3,4
2021-08-22,NA,0,0,NA,0,1
2021-08-29,NA,1,1,NA,1,2
2021-09-05,NA,0,0,NA,0,1
2021-09-12,NA,2,2,NA,2,3
2021-09-19,NA,1,1,NA,1,2
2021-09-26,NA,1,1,NA,1,2
2021-10-03,NA,0,0,NA,0,1
2021-10-10,NA,0,0,NA,0,2
