"dt_evoluca","n.casos"
2020-04-26,1
2020-05-10,1
2020-06-07,3
2020-06-14,3
2020-06-21,1
2020-06-28,1
2020-07-05,5
2020-07-12,2
2020-07-19,5
2020-07-26,7
2020-08-02,14
2020-08-09,9
2020-08-16,7
2020-08-23,10
2020-08-30,18
2020-09-06,10
2020-09-13,17
2020-09-20,10
2020-09-27,16
2020-10-04,22
2020-10-11,15
2020-10-18,9
2020-10-25,6
2020-11-01,8
2020-11-08,5
2020-11-15,3
2020-11-22,8
2020-11-29,3
2020-12-06,4
2020-12-13,3
2020-12-20,4
2020-12-27,3
2021-01-03,9
2021-01-10,6
2021-01-17,14
2021-01-24,27
2021-01-31,28
2021-02-07,31
2021-02-14,14
2021-02-21,21
2021-02-28,17
2021-03-07,17
2021-03-14,16
2021-03-21,20
2021-03-28,12
2021-04-04,11
2021-04-11,14
2021-04-18,13
2021-04-25,10
2021-05-02,14
2021-05-09,18
2021-05-16,28
2021-05-23,39
2021-05-30,55
2021-06-06,39
2021-06-13,35
2021-06-20,42
2021-06-27,22
2021-07-04,27
2021-07-11,15
2021-07-18,12
2021-07-25,15
2021-08-01,9
2021-08-08,7
2021-08-15,8
2021-08-22,9
2021-08-29,6
2021-09-05,5
2021-09-12,9
2021-09-19,1
2021-09-26,7
2021-10-03,12
2021-10-10,3
