"dt_sin_pri","n.casos"
2020-01-05,2
2020-01-12,1
2020-01-19,1
2020-02-02,1
2020-02-09,3
2020-02-16,3
2020-02-23,1
2020-03-01,1
2020-03-08,6
2020-03-15,11
2020-03-22,12
2020-03-29,9
2020-04-05,13
2020-04-12,9
2020-04-19,5
2020-04-26,10
2020-05-03,15
2020-05-10,9
2020-05-17,9
2020-05-24,5
2020-05-31,10
2020-06-07,12
2020-06-14,7
2020-06-21,14
2020-06-28,19
2020-07-05,28
2020-07-12,28
2020-07-19,24
2020-07-26,39
2020-08-02,38
2020-08-09,29
2020-08-16,29
2020-08-23,30
2020-08-30,29
2020-09-06,56
2020-09-13,35
2020-09-20,41
2020-09-27,35
2020-10-04,36
2020-10-11,27
2020-10-18,17
2020-10-25,12
2020-11-01,16
2020-11-08,9
2020-11-15,20
2020-11-22,13
2020-11-29,13
2020-12-06,10
2020-12-13,15
2020-12-20,22
2020-12-27,34
2021-01-03,78
2021-01-10,74
2021-01-17,74
2021-01-24,62
2021-01-31,50
2021-02-07,54
2021-02-14,47
2021-02-21,46
2021-02-28,41
2021-03-07,41
2021-03-14,15
2021-03-21,22
2021-03-28,38
2021-04-04,46
2021-04-11,50
2021-04-18,51
2021-04-25,59
2021-05-02,91
2021-05-09,68
2021-05-16,81
2021-05-23,90
2021-05-30,87
2021-06-06,86
2021-06-13,70
2021-06-20,34
2021-06-27,23
2021-07-04,44
2021-07-11,40
2021-07-18,36
2021-07-25,36
2021-08-01,33
2021-08-08,25
2021-08-15,20
2021-08-22,16
2021-08-29,24
2021-09-05,21
2021-09-12,23
2021-09-19,10
