"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.97136538437679,2.47545583780792,0.366943119054025,0.18188883067978,0.0850505731932415,4.84855201789299e-06,0.074567869186615,0.000120067444445647,5.72055217440019e-05,0.0261612958761278,-4.83228744612103,-4.60458928135788,-6.51356226920535,-7.21537343628506,-7.97552305798962,-17.7478442879146,-8.1070594098201,-14.538470773331,-15.2798739675637,-9.15448805438295,5.51101383731214,75.5635169701034
2.24682256737819,3.21677607746638,0.324143291010012,0.328387586535277,0.0879719762105935,6.18416796166503e-06,0.092362990010232,0.000108898029132195,0.000100684112066799,0.044173127393926,-4.92198233907621,-4.56311972510845,-6.85806896968542,-6.84506006688287,-8.16223633230583,-17.7250174512977,-8.11352828652018,-14.8565979910817,-14.9350219105281,-8.85113801723764,5.7314993649329,74.8779689521257
3.01131792282933,4.31130414855436,0.434435062187549,0.440123505667948,0.117904988367106,8.28836958072722e-06,0.123790071927429,0.000145951260970833,0.000134942507527287,0.0592033087792831,-4.92198233907621,-4.56311972510845,-6.85806896968542,-6.84506006688287,-8.16223633230583,-17.7250174512977,-8.11352828652018,-14.8565979910817,-14.9350219105281,-8.85113801723764,6.02436017012554,61.9797959623927
3.47656279034465,5.05243110700124,0.398389319266939,0.313643201275992,0.081200021101168,9.56143206418767e-06,0.0740171108783809,0.000101610832977294,0.000164892914109141,0.0546046087869721,-4.82891443656585,-4.45508900355242,-6.99528410102733,-7.23445777915025,-8.58579831027527,-17.6327315829377,-8.67841752274817,-15.2693189430389,-14.7851728384853,-8.98259552810313,6.07495853832734,207.643473439007
3.20962784302157,4.66449897036718,0.367800476675646,0.28956127425216,0.074965379398314,8.82729305439458e-06,0.0683339822295328,9.3809022975882e-05,0.000152232224803049,0.0504119969317716,-4.82891443656585,-4.45508900355242,-6.99528410102733,-7.23445777915025,-8.58579831027527,-17.6327315829377,-8.67841752274817,-15.2693189430389,-14.7851728384853,-8.98259552810313,5.99506943023319,52.3489777173204
2.56370529067188,3.7257904260346,0.2937823554887,0.231288425662179,0.0598789483330734,7.05084172143705e-06,0.0545820887475875,7.49303970050375e-05,0.000121596203431148,0.0402668189485945,-4.82891443656585,-4.45508900355242,-6.99528410102733,-7.23445777915025,-8.58579831027527,-17.6327315829377,-8.67841752274817,-15.2693189430389,-14.7851728384853,-8.98259552810313,5.77036802778241,130.231140409819
2.78113107361478,4.04177171429315,0.318697800680219,0.250903810947768,0.0649572337625597,7.64881793472021e-06,0.0592111517774856,8.12851836859876e-05,0.000131908679607758,0.0436818154649155,-4.82891443656585,-4.45508900355242,-6.99528410102733,-7.23445777915025,-8.58579831027527,-17.6327315829377,-8.67841752274817,-15.2693189430389,-14.7851728384853,-8.98259552810313,5.85177214253541,83.7008412625597
2.95243188635382,4.29072034750667,0.338327653006347,0.26635796452666,0.0689582055406872,8.11993874637165e-06,0.0628581997425836,8.62918581865724e-05,0.000140033454537827,0.0463723504641635,-4.82891443656585,-4.45508900355242,-6.99528410102733,-7.23445777915025,-8.58579831027527,-17.6327315829377,-8.67841752274817,-15.2693189430389,-14.7851728384853,-8.98259552810313,5.91154363556823,65.0087991227885
2.70816070747943,3.9357250900885,0.310335916760831,0.244320682549645,0.0632529080744384,7.44813086516982e-06,0.0576575898236854,7.91524508309203e-05,0.000128447704776788,0.0425357069272157,-4.82891443656585,-4.45508900355242,-6.99528410102733,-7.23445777915025,-8.58579831027527,-17.6327315829377,-8.67841752274817,-15.2693189430389,-14.7851728384853,-8.98259552810313,5.82518413530531,104.637494042386
2.79595047247765,4.0633085011476,0.320395998176124,0.252240764709466,0.0653033616978046,7.6895750514485e-06,0.0595266614216173,8.17183159357085e-05,0.000132611561739106,0.0439145762479545,-4.82891443656585,-4.45508900355242,-6.99528410102733,-7.23445777915025,-8.58579831027527,-17.6327315829377,-8.67841752274817,-15.2693189430389,-14.7851728384853,-8.98259552810313,5.85708654707439,20.3118196048401
