"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.71587644348226,2.82923661855872,0.0777143411699133,0.0297739981097626,4.79415784327028e-05,9.89747897159507e-07,3.65520903046457e-05,2.52202295124839e-06,7.4097073628573e-05,0.181883585585148,-4.21216752759304,-3.71208459425899,-7.30680699103211,-8.26621133644724,-14.6976189277627,-18.577907099014,-14.96886370656,-17.642540743481,-14.2622260420679,-6.45647995963788,4.75209152343379,53.8857662602975
2.01615293211458,3.3243499121515,0.0913142653203475,0.0349844150013196,5.63313018804164e-05,1.16295268956701e-06,4.29486658684292e-05,2.96337419126779e-06,8.70639799414566e-05,0.213713012830227,-4.21216752759304,-3.71208459425899,-7.30680699103211,-8.26621133644724,-14.6976189277627,-18.577907099014,-14.96886370656,-17.642540743481,-14.2622260420679,-6.45647995963788,4.91335873410882,35.0560030903271
3.15034299242683,3.46520873502147,0.112465792614171,0.0481114166847806,0.000106708939079537,1.88024540704808e-06,4.80008372292891e-05,2.03313459767456e-06,0.000119999857254768,0.318299405719182,-3.81700721255119,-3.72174567413085,-7.14962471517254,-7.99875432286601,-14.1099241714213,-18.1486267999233,-14.9088106508774,-18.0704503650242,-13.9925385506723,-6.10928135768781,4.96451854594574,60.2243985109432
3.53577831461912,3.88916696701629,0.126225655942088,0.0539977088871229,0.000119764468085042,2.11028797574879e-06,5.38736003561759e-05,2.28188271513313e-06,0.000134681491526086,0.357242414239813,-3.81700721255119,-3.72174567413085,-7.14962471517254,-7.99875432286601,-14.1099241714213,-18.1486267999233,-14.9088106508774,-18.0704503650242,-13.9925385506723,-6.10928135768781,5.07994066153181,56.3509556159448
3.40128625662704,3.00539877788479,0.168705481621369,0.0561996925793745,0.000123663573935357,4.57939516229866e-06,6.91797214985762e-05,3.22114403016129e-06,0.000181228533496584,0.28743124090029,-3.75796616923703,-3.8817095761207,-6.7617206367386,-7.86096383230567,-13.980065633037,-17.2760634692828,-14.5609226203042,-17.6278938127285,-13.5978715472148,-6.22889144952481,4.98211984009032,18.890812491171
2.4992654218736,2.93051034098303,0.126549280410648,0.0663232421234618,0.000108451993118859,3.30977312566824e-06,7.06776058685134e-05,2.10731363792975e-06,0.000100769377526957,0.263006413915795,-3.88857466071759,-3.72939493249264,-6.87169499637736,-7.51778640145487,-13.9337744607963,-17.4232024311829,-14.3619533020789,-17.8746680971733,-14.0072475610216,-6.14014837775354,4.80457151816433,20.9023422876755
1.65621389190217,1.89998412080549,0.0941884895611102,0.0392588202023333,5.57798855483219e-05,1.80693330163513e-06,6.06033810731898e-05,1.20289297700862e-06,9.93143738605194e-05,0.28816436841765,-4.03677736005621,-3.8994660407886,-6.90376886581673,-7.77889071092364,-14.3354087970631,-17.7651910275947,-14.2524714426137,-18.1720926578021,-13.7585318149757,-5.78553580742989,4.54131156945528,54.5588049341483
1.62833135144298,1.86799768210987,0.0926028161261644,0.038597893707257,5.48408251267096e-05,1.77651338357006e-06,5.95831165813879e-05,1.18264214330683e-06,9.76424056075757e-05,0.283313090028678,-4.03677736005621,-3.8994660407886,-6.90376886581673,-7.77889071092364,-14.3354087970631,-17.7651910275947,-14.2524714426137,-18.1720926578021,-13.7585318149757,-5.78553580742989,4.52433313975394,45.845139154118
1.69015768715725,1.93892394150128,0.0961188651126498,0.0400634224106711,5.69230839139809e-05,1.84396606312214e-06,6.18454360812853e-05,1.22754604454114e-06,0.000101349803456112,0.294070243479564,-4.03677736005621,-3.8994660407886,-6.90376886581673,-7.77889071092364,-14.3354087970631,-17.7651910275947,-14.2524714426137,-18.1720926578021,-13.7585318149757,-5.78553580742989,4.56159919064866,39.2505507297094
1.93734729858505,2.22249621368014,0.110176479439771,0.0459227939316906,6.52482213262393e-05,2.11365051806543e-06,7.08904792921517e-05,1.40707759480153e-06,0.000116172455049489,0.337078721191755,-4.03677736005621,-3.8994660407886,-6.90376886581673,-7.77889071092364,-14.3354087970631,-17.7651910275947,-14.2524714426137,-18.1720926578021,-13.7585318149757,-5.78553580742989,4.69809702556209,43.0747054403703
