"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.287291897732829,5.96682880119688,8.86061853225919,1.65483138379976,0.2572739704194,0.454234591024938,7.63212669181164e-07,0.00768836044732532,0.000169245297321402,0.524760407202805,-4.13838898066256,-1.10491686865641,-0.709515891903107,-2.38743334511261,-4.2487461949868,-3.68027395992629,-16.9768615827207,-7.7591801898564,-11.5752938978066,-3.53594595364126,2.89113246585077,23.5999044834909
0.362913660256007,7.53743386935717,11.1929348827819,2.09042064652927,0.32499433165473,0.573799467874493,9.64107604537719e-07,0.00971211180449347,0.000213794509405712,0.66288928312384,-4.13838898066256,-1.10491686865641,-0.709515891903107,-2.38743334511261,-4.2487461949868,-3.68027395992629,-16.9768615827207,-7.7591801898564,-11.5752938978066,-3.53594595364126,3.12479865711994,80.6030274003168
0.381168778001225,7.91657843692414,11.7559567983957,2.19557203436215,0.34134204859297,0.602662467522407,1.01260370641352e-06,0.0102006460316721,0.000224548703501711,0.696233638106048,-4.13838898066256,-1.10491686865641,-0.709515891903107,-2.38743334511261,-4.2487461949868,-3.68027395992629,-16.9768615827207,-7.7591801898564,-11.5752938978066,-3.53594595364126,3.17387596559726,161.254209942938
0.390817837993113,8.11698189249813,12.0535518244221,2.2511516292785,0.349982918713283,0.617918507994756,1.03823716454309e-06,0.0104588692944266,0.000230233019836722,0.713858376883665,-4.13838898066256,-1.10491686865641,-0.709515891903107,-2.38743334511261,-4.2487461949868,-3.68027395992629,-16.9768615827207,-7.7591801898564,-11.5752938978066,-3.53594595364126,3.19887526562085,163.851046460806
0.395605083109845,9.47541402571104,12.8903522647755,3.16919090037398,0.317271880281638,0.63133974089966,1.07193054629894e-06,0.00819679215108865,0.000297576439276111,0.750081826352024,-4.24652146406943,-1.07048218720939,-0.762703488758646,-2.16570631503244,-4.46717884005519,-3.77909377856362,-17.065231920183,-8.12319503620596,-11.4390220611066,-3.60675561046843,3.31918263386817,163.056384297458
0.348985668873446,8.35879983042945,11.3713104285062,2.79572294031307,0.279883510303834,0.556940573241014,9.45610697783032e-07,0.00723085499553607,0.00026250904534742,0.661689697770122,-4.24652146406943,-1.07048218720939,-0.762703488758646,-2.16570631503244,-4.46717884005519,-3.77909377856362,-17.065231920183,-8.12319503620596,-11.4390220611066,-3.60675561046843,3.19379704304673,84.9385109556685
0.309372574350694,7.71681187814777,11.6613990662367,3.02507174765201,0.259453714338868,0.815034208370841,8.34298088029245e-07,0.00631035503754656,0.000262136896552021,0.654039821142867,-4.36974743250324,-1.15313713674111,-0.740254284078391,-2.08960363689711,-4.54571540339858,-3.40106363949169,-17.1932135250782,-8.26210178448735,-11.4431821310688,-3.62112548711163,3.19653844633071,118.756519680554
0.22787301757614,5.68393372435016,8.58937868025338,2.22816204367356,0.191104531265647,0.600325691050797,6.14514791029026e-07,0.00464798680814064,0.00019308086943622,0.481742856397607,-4.36974743250324,-1.15313713674111,-0.740254284078391,-2.08960363689711,-4.54571540339858,-3.40106363949169,-17.1932135250782,-8.26210178448735,-11.4431821310688,-3.62112548711163,2.89078068687107,78.3033371518073
0.232019118478577,5.78735168490814,8.74566059145275,2.26870297633121,0.194581637409973,0.611248488826053,6.25695756448922e-07,0.00473255593573955,0.000196593934631599,0.490508064814549,-4.36974743250324,-1.15313713674111,-0.740254284078391,-2.08960363689711,-4.54571540339858,-3.40106363949169,-17.1932135250782,-8.26210178448735,-11.4431821310688,-3.62112548711163,2.90881192902737,127.986058111209
0.214129857461158,5.34113222864173,8.07134803429724,2.09378023728834,0.179578900895632,0.564119683946459,5.77453030685614e-07,0.00436766390025068,0.000181436044910581,0.452688652086167,-4.36974743250324,-1.15313713674111,-0.740254284078391,-2.08960363689711,-4.54571540339858,-3.40106363949169,-17.1932135250782,-8.26210178448735,-11.4431821310688,-3.62112548711163,2.82857479507402,75.7875799017918
