"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,3,NA,NA,NA,3,NA,NA,NA
2020-04-05,4,NA,NA,NA,4,NA,NA,NA
2020-04-19,6,NA,NA,NA,6,NA,NA,NA
2020-04-26,10,NA,NA,NA,10,NA,NA,NA
2020-05-03,17,NA,NA,NA,17,NA,NA,NA
2020-05-10,21,NA,NA,NA,21,NA,NA,NA
2020-05-17,26,NA,NA,NA,26,NA,NA,NA
2020-05-24,28,NA,NA,NA,28,NA,NA,NA
2020-05-31,33,NA,NA,NA,33,NA,NA,NA
2020-06-07,41,NA,NA,NA,41,NA,NA,NA
2020-06-14,44,NA,NA,NA,44,NA,NA,NA
2020-06-21,53,NA,NA,NA,53,NA,NA,NA
2020-06-28,68,NA,NA,NA,68,NA,NA,NA
2020-07-05,86,NA,NA,NA,86,NA,NA,NA
2020-07-12,107,NA,NA,NA,107,NA,NA,NA
2020-07-19,123,NA,NA,NA,123,NA,NA,NA
2020-07-26,150,NA,NA,NA,150,NA,NA,NA
2020-08-02,176,NA,NA,NA,176,NA,NA,NA
2020-08-09,197,NA,NA,NA,197,NA,NA,NA
2020-08-16,225,NA,NA,NA,225,NA,NA,NA
2020-08-23,250,NA,NA,NA,250,NA,NA,NA
2020-08-30,274,NA,NA,NA,274,NA,NA,NA
2020-09-06,322,NA,NA,NA,322,NA,NA,NA
2020-09-13,354,NA,NA,NA,354,NA,NA,NA
2020-09-20,390,NA,NA,NA,390,NA,NA,NA
2020-09-27,421,NA,NA,NA,421,NA,NA,NA
2020-10-04,454,NA,NA,NA,454,NA,NA,NA
2020-10-11,476,NA,NA,NA,476,NA,NA,NA
2020-10-18,491,NA,NA,NA,491,NA,NA,NA
2020-10-25,497,NA,NA,NA,497,NA,NA,NA
2020-11-01,508,NA,NA,NA,508,NA,NA,NA
2020-11-08,515,NA,NA,NA,515,NA,NA,NA
2020-11-15,531,NA,NA,NA,531,NA,NA,NA
2020-11-22,540,NA,NA,NA,540,NA,NA,NA
2020-11-29,547,NA,NA,NA,547,NA,NA,NA
2020-12-06,555,NA,NA,NA,555,NA,NA,NA
2020-12-13,567,NA,NA,NA,567,NA,NA,NA
2020-12-20,583,NA,NA,NA,583,NA,NA,NA
2020-12-27,612,NA,NA,NA,612,NA,NA,NA
2021-01-03,689,NA,NA,NA,689,NA,NA,NA
2021-01-10,762,NA,NA,NA,762,NA,NA,NA
2021-01-17,829,NA,NA,NA,829,NA,NA,NA
2021-01-24,888,NA,NA,NA,888,NA,NA,NA
2021-01-31,936,NA,NA,NA,936,NA,NA,NA
2021-02-07,986,NA,NA,NA,986,NA,NA,NA
2021-02-14,1028,NA,NA,NA,1028,NA,NA,NA
2021-02-21,1071,NA,NA,NA,1071,NA,NA,NA
2021-02-28,1106,NA,NA,NA,1106,NA,NA,NA
2021-03-07,1147,NA,NA,NA,1147,NA,NA,NA
2021-03-14,1162,NA,NA,NA,1162,NA,NA,NA
2021-03-21,1182,NA,NA,NA,1182,NA,NA,NA
2021-03-28,1217,NA,NA,NA,1217,NA,NA,NA
2021-04-04,1262,NA,NA,NA,1262,NA,NA,NA
2021-04-11,1307,NA,NA,NA,1307,NA,NA,NA
2021-04-18,1357,NA,NA,NA,1357,NA,NA,NA
2021-04-25,1413,NA,NA,NA,1413,NA,NA,NA
2021-05-02,1501,NA,NA,NA,1501,NA,NA,NA
2021-05-09,1567,NA,NA,NA,1567,NA,NA,NA
2021-05-16,1646,NA,NA,NA,1646,NA,NA,NA
2021-05-23,1732,NA,NA,NA,1732,NA,NA,NA
2021-05-30,1815,NA,NA,NA,1815,NA,NA,NA
2021-06-06,1899,NA,NA,NA,1899,NA,NA,NA
2021-06-13,1968,NA,NA,NA,1968,NA,NA,NA
2021-06-20,2002,NA,NA,NA,2002,NA,NA,NA
2021-06-27,2025,NA,NA,NA,2025,NA,NA,NA
2021-07-04,2068,NA,NA,NA,2068,NA,NA,NA
2021-07-11,2105,NA,NA,NA,2105,NA,NA,NA
2021-07-18,2141,NA,NA,NA,2141,NA,NA,NA
2021-07-25,2177,NA,NA,NA,2177,NA,NA,NA
2021-08-01,2209,NA,NA,NA,2209,NA,NA,NA
2021-08-08,2232,NA,NA,NA,2232,NA,NA,NA
2021-08-15,2252,NA,NA,NA,2252,NA,NA,NA
2021-08-22,2266,NA,NA,NA,2265,NA,NA,NA
2021-08-29,2290,NA,NA,NA,2288,NA,NA,NA
2021-09-05,2311,NA,NA,NA,2306,NA,NA,NA
2021-09-12,2332,NA,NA,NA,2325,NA,NA,NA
2021-09-19,2353,2353,2327,2400,2334,2334,2334,2334
2021-09-26,NA,2374,2338,2435,NA,2334,2334,2335
