"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-26,1,NA,NA,NA,1,NA,NA,NA
2020-05-10,2,NA,NA,NA,2,NA,NA,NA
2020-06-07,5,NA,NA,NA,5,NA,NA,NA
2020-06-14,8,NA,NA,NA,8,NA,NA,NA
2020-06-21,9,NA,NA,NA,9,NA,NA,NA
2020-06-28,10,NA,NA,NA,10,NA,NA,NA
2020-07-05,15,NA,NA,NA,15,NA,NA,NA
2020-07-12,17,NA,NA,NA,17,NA,NA,NA
2020-07-19,22,NA,NA,NA,22,NA,NA,NA
2020-07-26,29,NA,NA,NA,29,NA,NA,NA
2020-08-02,43,NA,NA,NA,43,NA,NA,NA
2020-08-09,52,NA,NA,NA,52,NA,NA,NA
2020-08-16,59,NA,NA,NA,59,NA,NA,NA
2020-08-23,69,NA,NA,NA,69,NA,NA,NA
2020-08-30,87,NA,NA,NA,87,NA,NA,NA
2020-09-06,97,NA,NA,NA,97,NA,NA,NA
2020-09-13,114,NA,NA,NA,114,NA,NA,NA
2020-09-20,124,NA,NA,NA,124,NA,NA,NA
2020-09-27,140,NA,NA,NA,140,NA,NA,NA
2020-10-04,162,NA,NA,NA,162,NA,NA,NA
2020-10-11,177,NA,NA,NA,177,NA,NA,NA
2020-10-18,186,NA,NA,NA,186,NA,NA,NA
2020-10-25,192,NA,NA,NA,192,NA,NA,NA
2020-11-01,200,NA,NA,NA,200,NA,NA,NA
2020-11-08,205,NA,NA,NA,205,NA,NA,NA
2020-11-15,208,NA,NA,NA,208,NA,NA,NA
2020-11-22,216,NA,NA,NA,216,NA,NA,NA
2020-11-29,219,NA,NA,NA,219,NA,NA,NA
2020-12-06,223,NA,NA,NA,223,NA,NA,NA
2020-12-13,226,NA,NA,NA,226,NA,NA,NA
2020-12-20,230,NA,NA,NA,230,NA,NA,NA
2020-12-27,233,NA,NA,NA,233,NA,NA,NA
2021-01-03,242,NA,NA,NA,242,NA,NA,NA
2021-01-10,248,NA,NA,NA,248,NA,NA,NA
2021-01-17,262,NA,NA,NA,262,NA,NA,NA
2021-01-24,289,NA,NA,NA,289,NA,NA,NA
2021-01-31,317,NA,NA,NA,317,NA,NA,NA
2021-02-07,348,NA,NA,NA,348,NA,NA,NA
2021-02-14,361,NA,NA,NA,361,NA,NA,NA
2021-02-21,382,NA,NA,NA,382,NA,NA,NA
2021-02-28,399,NA,NA,NA,399,NA,NA,NA
2021-03-07,416,NA,NA,NA,416,NA,NA,NA
2021-03-14,431,NA,NA,NA,431,NA,NA,NA
2021-03-21,450,NA,NA,NA,450,NA,NA,NA
2021-03-28,460,NA,NA,NA,460,NA,NA,NA
2021-04-04,464,NA,NA,NA,464,NA,NA,NA
2021-04-11,476,NA,NA,NA,476,NA,NA,NA
2021-04-18,489,NA,NA,NA,489,NA,NA,NA
2021-04-25,499,NA,NA,NA,499,NA,NA,NA
2021-05-02,512,NA,NA,NA,512,NA,NA,NA
2021-05-09,530,NA,NA,NA,530,NA,NA,NA
2021-05-16,558,NA,NA,NA,558,NA,NA,NA
2021-05-23,597,NA,NA,NA,597,NA,NA,NA
2021-05-30,652,NA,NA,NA,652,NA,NA,NA
2021-06-06,690,NA,NA,NA,690,NA,NA,NA
2021-06-13,725,NA,NA,NA,725,NA,NA,NA
2021-06-20,767,NA,NA,NA,767,NA,NA,NA
2021-06-27,789,NA,NA,NA,789,NA,NA,NA
2021-07-04,816,NA,NA,NA,816,NA,NA,NA
2021-07-11,831,NA,NA,NA,831,NA,NA,NA
2021-07-18,843,NA,NA,NA,843,NA,NA,NA
2021-07-25,860,NA,NA,NA,858,NA,NA,NA
2021-08-01,870,NA,NA,NA,867,NA,NA,NA
2021-08-08,878,NA,NA,NA,874,NA,NA,NA
2021-08-15,887,NA,NA,NA,882,NA,NA,NA
2021-08-22,897,NA,NA,NA,891,NA,NA,NA
2021-08-29,904,NA,NA,NA,897,NA,NA,NA
2021-09-05,911,NA,NA,NA,902,NA,NA,NA
2021-09-12,922,NA,NA,NA,911,NA,NA,NA
2021-09-19,927,927,912,981,912,912,912,912
2021-09-26,NA,936,918,997,NA,912,912,912
