"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-26,2,NA,NA,NA,2,NA,NA,NA
2020-05-10,3,NA,NA,NA,3,NA,NA,NA
2020-05-17,4,NA,NA,NA,4,NA,NA,NA
2020-05-31,5,NA,NA,NA,5,NA,NA,NA
2020-06-07,9,NA,NA,NA,9,NA,NA,NA
2020-06-14,12,NA,NA,NA,12,NA,NA,NA
2020-06-21,13,NA,NA,NA,13,NA,NA,NA
2020-06-28,15,NA,NA,NA,15,NA,NA,NA
2020-07-05,20,NA,NA,NA,20,NA,NA,NA
2020-07-12,22,NA,NA,NA,22,NA,NA,NA
2020-07-19,27,NA,NA,NA,27,NA,NA,NA
2020-07-26,34,NA,NA,NA,34,NA,NA,NA
2020-08-02,51,NA,NA,NA,51,NA,NA,NA
2020-08-09,60,NA,NA,NA,60,NA,NA,NA
2020-08-16,67,NA,NA,NA,67,NA,NA,NA
2020-08-23,77,NA,NA,NA,77,NA,NA,NA
2020-08-30,96,NA,NA,NA,96,NA,NA,NA
2020-09-06,106,NA,NA,NA,106,NA,NA,NA
2020-09-13,124,NA,NA,NA,124,NA,NA,NA
2020-09-20,134,NA,NA,NA,134,NA,NA,NA
2020-09-27,150,NA,NA,NA,150,NA,NA,NA
2020-10-04,172,NA,NA,NA,172,NA,NA,NA
2020-10-11,188,NA,NA,NA,188,NA,NA,NA
2020-10-18,198,NA,NA,NA,198,NA,NA,NA
2020-10-25,204,NA,NA,NA,204,NA,NA,NA
2020-11-01,214,NA,NA,NA,214,NA,NA,NA
2020-11-08,219,NA,NA,NA,219,NA,NA,NA
2020-11-15,222,NA,NA,NA,222,NA,NA,NA
2020-11-22,230,NA,NA,NA,230,NA,NA,NA
2020-11-29,233,NA,NA,NA,233,NA,NA,NA
2020-12-06,237,NA,NA,NA,237,NA,NA,NA
2020-12-13,240,NA,NA,NA,240,NA,NA,NA
2020-12-20,244,NA,NA,NA,244,NA,NA,NA
2020-12-27,247,NA,NA,NA,247,NA,NA,NA
2021-01-03,256,NA,NA,NA,256,NA,NA,NA
2021-01-10,262,NA,NA,NA,262,NA,NA,NA
2021-01-17,276,NA,NA,NA,276,NA,NA,NA
2021-01-24,303,NA,NA,NA,303,NA,NA,NA
2021-01-31,331,NA,NA,NA,331,NA,NA,NA
2021-02-07,362,NA,NA,NA,362,NA,NA,NA
2021-02-14,375,NA,NA,NA,375,NA,NA,NA
2021-02-21,396,NA,NA,NA,396,NA,NA,NA
2021-02-28,414,NA,NA,NA,414,NA,NA,NA
2021-03-07,430,NA,NA,NA,430,NA,NA,NA
2021-03-14,445,NA,NA,NA,445,NA,NA,NA
2021-03-21,461,NA,NA,NA,461,NA,NA,NA
2021-03-28,469,NA,NA,NA,469,NA,NA,NA
2021-04-04,471,NA,NA,NA,471,NA,NA,NA
2021-04-11,483,NA,NA,NA,483,NA,NA,NA
2021-04-18,496,NA,NA,NA,496,NA,NA,NA
2021-04-25,506,NA,NA,NA,506,NA,NA,NA
2021-05-02,519,NA,NA,NA,519,NA,NA,NA
2021-05-09,537,NA,NA,NA,537,NA,NA,NA
2021-05-16,565,NA,NA,NA,565,NA,NA,NA
2021-05-23,604,NA,NA,NA,604,NA,NA,NA
2021-05-30,660,NA,NA,NA,660,NA,NA,NA
2021-06-06,698,NA,NA,NA,698,NA,NA,NA
2021-06-13,733,NA,NA,NA,733,NA,NA,NA
2021-06-20,775,NA,NA,NA,775,NA,NA,NA
2021-06-27,797,NA,NA,NA,797,NA,NA,NA
2021-07-04,824,NA,NA,NA,824,NA,NA,NA
2021-07-11,839,NA,NA,NA,839,NA,NA,NA
2021-07-18,849,NA,NA,NA,851,NA,NA,NA
2021-07-25,864,NA,NA,NA,866,NA,NA,NA
2021-08-01,873,NA,NA,NA,875,NA,NA,NA
2021-08-08,880,NA,NA,NA,882,NA,NA,NA
2021-08-15,888,NA,NA,NA,890,NA,NA,NA
2021-08-22,897,NA,NA,NA,899,NA,NA,NA
2021-08-29,901,NA,NA,NA,905,NA,NA,NA
2021-09-05,907,NA,NA,NA,910,NA,NA,NA
2021-09-12,918,918,913,937,919,919,919,919
2021-09-19,NA,926,919,949,NA,919,919,920
