"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,30,NA,NA,NA,30,NA,NA,NA
2020-03-22,42,NA,NA,NA,42,NA,NA,NA
2020-03-29,51,NA,NA,NA,51,NA,NA,NA
2020-04-05,64,NA,NA,NA,64,NA,NA,NA
2020-04-12,73,NA,NA,NA,73,NA,NA,NA
2020-04-19,78,NA,NA,NA,78,NA,NA,NA
2020-04-26,88,NA,NA,NA,88,NA,NA,NA
2020-05-03,103,NA,NA,NA,103,NA,NA,NA
2020-05-10,112,NA,NA,NA,112,NA,NA,NA
2020-05-17,121,NA,NA,NA,121,NA,NA,NA
2020-05-24,126,NA,NA,NA,126,NA,NA,NA
2020-05-31,136,NA,NA,NA,136,NA,NA,NA
2020-06-07,148,NA,NA,NA,148,NA,NA,NA
2020-06-14,155,NA,NA,NA,155,NA,NA,NA
2020-06-21,169,NA,NA,NA,169,NA,NA,NA
2020-06-28,188,NA,NA,NA,188,NA,NA,NA
2020-07-05,216,NA,NA,NA,216,NA,NA,NA
2020-07-12,244,NA,NA,NA,244,NA,NA,NA
2020-07-19,268,NA,NA,NA,268,NA,NA,NA
2020-07-26,307,NA,NA,NA,307,NA,NA,NA
2020-08-02,345,NA,NA,NA,345,NA,NA,NA
2020-08-09,374,NA,NA,NA,374,NA,NA,NA
2020-08-16,403,NA,NA,NA,403,NA,NA,NA
2020-08-23,433,NA,NA,NA,433,NA,NA,NA
2020-08-30,462,NA,NA,NA,462,NA,NA,NA
2020-09-06,518,NA,NA,NA,518,NA,NA,NA
2020-09-13,553,NA,NA,NA,553,NA,NA,NA
2020-09-20,594,NA,NA,NA,594,NA,NA,NA
2020-09-27,629,NA,NA,NA,629,NA,NA,NA
2020-10-04,665,NA,NA,NA,665,NA,NA,NA
2020-10-11,692,NA,NA,NA,692,NA,NA,NA
2020-10-18,709,NA,NA,NA,709,NA,NA,NA
2020-10-25,721,NA,NA,NA,721,NA,NA,NA
2020-11-01,737,NA,NA,NA,737,NA,NA,NA
2020-11-08,746,NA,NA,NA,746,NA,NA,NA
2020-11-15,766,NA,NA,NA,766,NA,NA,NA
2020-11-22,779,NA,NA,NA,779,NA,NA,NA
2020-11-29,792,NA,NA,NA,792,NA,NA,NA
2020-12-06,802,NA,NA,NA,802,NA,NA,NA
2020-12-13,817,NA,NA,NA,817,NA,NA,NA
2020-12-20,839,NA,NA,NA,839,NA,NA,NA
2020-12-27,873,NA,NA,NA,873,NA,NA,NA
2021-01-03,951,NA,NA,NA,951,NA,NA,NA
2021-01-10,1025,NA,NA,NA,1025,NA,NA,NA
2021-01-17,1098,NA,NA,NA,1098,NA,NA,NA
2021-01-24,1160,NA,NA,NA,1160,NA,NA,NA
2021-01-31,1210,NA,NA,NA,1210,NA,NA,NA
2021-02-07,1263,NA,NA,NA,1263,NA,NA,NA
2021-02-14,1305,NA,NA,NA,1305,NA,NA,NA
2021-02-21,1343,NA,NA,NA,1343,NA,NA,NA
2021-02-28,1379,NA,NA,NA,1379,NA,NA,NA
2021-03-07,1410,NA,NA,NA,1410,NA,NA,NA
2021-03-14,1425,NA,NA,NA,1425,NA,NA,NA
2021-03-21,1447,NA,NA,NA,1447,NA,NA,NA
2021-03-28,1485,NA,NA,NA,1485,NA,NA,NA
2021-04-04,1531,NA,NA,NA,1531,NA,NA,NA
2021-04-11,1581,NA,NA,NA,1581,NA,NA,NA
2021-04-18,1632,NA,NA,NA,1632,NA,NA,NA
2021-04-25,1691,NA,NA,NA,1691,NA,NA,NA
2021-05-02,1782,NA,NA,NA,1782,NA,NA,NA
2021-05-09,1850,NA,NA,NA,1850,NA,NA,NA
2021-05-16,1931,NA,NA,NA,1931,NA,NA,NA
2021-05-23,2021,NA,NA,NA,2021,NA,NA,NA
2021-05-30,2108,NA,NA,NA,2108,NA,NA,NA
2021-06-06,2194,NA,NA,NA,2194,NA,NA,NA
2021-06-13,2264,NA,NA,NA,2264,NA,NA,NA
2021-06-20,2298,NA,NA,NA,2298,NA,NA,NA
2021-06-27,2321,NA,NA,NA,2321,NA,NA,NA
2021-07-04,2365,NA,NA,NA,2365,NA,NA,NA
2021-07-11,2405,NA,NA,NA,2405,NA,NA,NA
2021-07-18,2441,NA,NA,NA,2441,NA,NA,NA
2021-07-25,2477,NA,NA,NA,2477,NA,NA,NA
2021-08-01,2510,NA,NA,NA,2510,NA,NA,NA
2021-08-08,2535,NA,NA,NA,2535,NA,NA,NA
2021-08-15,2554,NA,NA,NA,2555,NA,NA,NA
2021-08-22,2571,NA,NA,NA,2571,NA,NA,NA
2021-08-29,2599,NA,NA,NA,2595,NA,NA,NA
2021-09-05,2624,NA,NA,NA,2617,NA,NA,NA
2021-09-12,2648,2648,2621,2703,2625,2625,2625,2625
2021-09-19,NA,2673,2636,2743,NA,2625,2625,2626
