"dt_notific","n.notific"
2020-02-16,1
2020-03-22,1
2020-03-29,3
2020-04-05,1
2020-04-12,3
2020-04-26,1
2020-05-03,2
2020-05-10,3
2020-05-17,1
2020-05-24,3
2020-05-31,2
2020-06-07,2
2020-06-14,2
2020-06-21,2
2020-06-28,1
2020-07-05,6
2020-07-12,6
2020-07-19,7
2020-07-26,7
2020-08-02,6
2020-08-09,3
2020-08-16,10
2020-08-23,3
2020-08-30,2
2020-09-06,2
2020-09-13,3
2020-09-20,2
2020-11-08,1
2020-11-22,1
2020-11-29,3
2020-12-06,3
2020-12-20,6
2020-12-27,2
2021-01-03,5
2021-01-10,4
2021-01-17,8
2021-01-24,12
2021-01-31,8
2021-02-07,7
2021-02-14,4
2021-02-21,4
2021-02-28,3
2021-03-07,6
2021-03-14,10
2021-03-21,5
2021-03-28,2
2021-04-04,8
2021-04-11,2
2021-04-18,9
2021-04-25,7
2021-05-02,17
2021-05-09,17
2021-05-16,13
2021-05-23,10
2021-05-30,4
2021-06-06,9
2021-06-13,9
2021-06-20,8
2021-06-27,5
2021-07-04,8
2021-07-11,4
2021-07-18,7
2021-07-25,2
2021-08-01,2
2021-08-08,4
2021-08-15,1
2021-08-22,1
2021-08-29,2
2021-09-05,3
