"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.480904599692987,2.19671165265946,3.91515669350836,1.69593037161721,0.410054870734251,0.000367091804469809,9.02183942505749e-07,5.30442870399512e-08,0.185825684387309,1.20723785443473,-3.04384820099264,-1.52480029616392,-0.946906482481705,-1.7835303529522,-3.20322613218739,-10.2216604277807,-16.2302092452924,-19.0639005027982,-3.99470806041892,-2.12342684980934,2.31176183500818,566.903498588071
0.357786322279237,3.69594088212089,3.12377686457418,1.46691096512463,0.612643466569001,0.000673374477794366,1.97866481210847e-06,6.84939455969152e-08,0.19432462523659,1.16789954826569,-3.39055440594324,-1.05549991147075,-1.22369226679128,-1.97957626450933,-2.85270720288312,-9.66594402249391,-15.4958233480696,-18.8592555510561,-4.00096026243217,-2.20752819251474,2.3627350700251,271.551418681615
0.389103266411215,3.00480949086351,4.01853362005105,3.08363926579438,0.472870693207248,0.000499257833000612,2.58663296410761e-06,4.67197369035043e-08,0.172723349801943,0.592431654566843,-3.40645337449047,-1.36232870165528,-1.07162580529539,-1.33643239097674,-3.21147617399697,-10.0649307665055,-15.3276964121115,-19.3416420000381,-4.21860696880642,-2.98606263381789,2.46254287024957,222.411344471032
0.376622081207947,2.90842483672809,3.88963194615862,2.98472600523137,0.457702517536165,0.000483243242490139,2.50366207214962e-06,4.52211175413005e-08,0.167182938543794,0.573428346604085,-3.40645337449047,-1.36232870165528,-1.07162580529539,-1.33643239097674,-3.21147617399697,-10.0649307665055,-15.3276964121115,-19.3416420000381,-4.21860696880642,-2.98606263381789,2.42994034306604,240.984165043211
0.353921331803577,2.7331206613376,3.65518589402652,2.80482280659747,0.430114676379817,0.000454115944074868,2.35275481490436e-06,4.24954322766497e-08,0.157106051972522,0.538865176128601,-3.40645337449047,-1.36232870165528,-1.07162580529539,-1.33643239097674,-3.21147617399697,-10.0649307665055,-15.3276964121115,-19.3416420000381,-4.21860696880642,-2.98606263381789,2.36777275740257,479.494978229887
0.360282079804095,2.7822408759717,3.72087765735842,2.85523166714272,0.437844787062422,0.000462277410546974,2.39503901520489e-06,4.32591690497552e-08,0.159929594709721,0.548549773477232,-3.40645337449047,-1.36232870165528,-1.07162580529539,-1.33643239097674,-3.21147617399697,-10.0649307665055,-15.3276964121115,-19.3416420000381,-4.21860696880642,-2.98606263381789,2.3855853751509,433.233822216799
0.342755129040665,2.64689082228134,3.5398649366238,2.71633076794893,0.416544576879777,0.000439788605613605,2.27852550190771e-06,4.11547032200525e-08,0.152149362804718,0.521864003049089,-3.40645337449047,-1.36232870165528,-1.07162580529539,-1.33643239097674,-3.21147617399697,-10.0649307665055,-15.3276964121115,-19.3416420000381,-4.21860696880642,-2.98606263381789,2.33571437821711,326.543040330111
0.383256349588723,2.95965728404049,3.95814854016844,3.03730251189363,0.465765032963175,0.000491755662562785,2.54776454768196e-06,4.60176959821753e-08,0.170127897265888,0.583529394148389,-3.40645337449047,-1.36232870165528,-1.07162580529539,-1.33643239097674,-3.21147617399697,-10.0649307665055,-15.3276964121115,-19.3416420000381,-4.21860696880642,-2.98606263381789,2.4474021808692,585.401094386547
0.606338936646472,4.27248474736102,4.10000422217124,1.9909325643566,0.615012254624071,0.000573355187963203,3.07368174597125e-06,4.39456948369579e-08,0.196405468153637,0.679709964279988,-3.02295720089972,-1.07044548698821,-1.11165304952539,-1.8340378987623,-3.00875413818913,-9.98664621204389,-15.2152755021543,-19.4629522265744,-4.15021509455954,-2.90873014794949,2.52264105303299,421.052103239576
0.561837326268719,3.95891020995207,3.79908871202549,1.84481015671872,0.5698740751692,0.000531274385229469,2.84809209764527e-06,4.07203466509579e-08,0.18199049479208,0.629823364274451,-3.02295720089972,-1.07044548698821,-1.11165304952539,-1.8340378987623,-3.00875413818913,-9.98664621204389,-15.2152755021543,-19.4629522265744,-4.15021509455954,-2.90873014794949,2.44641427487321,161.519214780873
