"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.982319178635859,0.534803247552397,0.0272844226039408,0.0270108967726548,0.0237067943504053,2.93380485948494e-05,0.0465182024845265,0.470809782708314,0.0281494187163808,0.660720788132366,-3.93818481004928,-4.54620217708313,-7.52178515600577,-7.53186072599542,-7.66233940624645,-14.3569711132928,-6.98825740747757,-4.67364694067906,-7.49057438988836,-4.33476975241354,3.92034581577182,749.868555614989
0.849946457473361,0.462735672466097,0.023607701896475,0.023371035122187,0.0205121780317452,2.53845908892889e-05,0.0402496278904561,0.407365666536653,0.0243561351933975,0.571685156378572,-3.93818481004928,-4.54620217708313,-7.52178515600577,-7.53186072599542,-7.66233940624645,-14.3569711132928,-6.98825740747757,-4.67364694067906,-7.49057438988836,-4.33476975241354,3.77560288735966,1026.54974291746
0.887285475313632,0.483064124191049,0.0246448124044718,0.0243977486165488,0.0214132990079382,2.64997619494764e-05,0.0420178352412269,0.425261657227105,0.0254261251421877,0.596799870447142,-3.93818481004928,-4.54620217708313,-7.52178515600577,-7.53186072599542,-7.66233940624645,-14.3569711132928,-6.98825740747757,-4.67364694067906,-7.49057438988836,-4.33476975241354,3.81859630524175,2579.3787675735
0.987247650098143,0.652148323404527,0.0497207300324626,0.0202866314660007,0.0250342200790027,2.2204860089753e-05,0.0320462035176128,0.474203931463666,0.040331523888941,0.554569521704775,-3.87210543275629,-4.28675432673117,-6.86060440326211,-7.75706423203359,-7.54678266059891,-14.5744704437724,-7.29984763130852,-4.60538888834429,-7.06989295900554,-4.44883417645338,3.85927107368803,727.888781931793
0.880956454010631,0.581935317261396,0.0443675890399575,0.0181024881835189,0.0223389316221999,1.98141923199577e-05,0.0285959757033331,0.423149160090279,0.0359892639567331,0.494862255984953,-3.87210543275629,-4.28675432673117,-6.86060440326211,-7.75706423203359,-7.54678266059891,-14.5744704437724,-7.29984763130852,-4.60538888834429,-7.06989295900554,-4.44883417645338,3.74535835057798,970.360134212795
0.889122736464484,0.697301333654269,0.0698732256640211,0.0206075464159554,0.0240021423321943,4.43090122498902e-05,0.0217881549302496,0.316634094049261,0.0233884812938845,0.843527387786594,-3.92549940432956,-4.16851704475609,-6.4690521534274,-7.69007735199439,-7.53759160137318,-13.8323018774082,-7.63436822127624,-4.95798786183991,-7.5634910428092,-3.97814232090043,3.80797941259664,816.969641913514
0.913427372055788,0.716362430752278,0.0717832468767345,0.0211708644883987,0.0246582534615917,4.55202223022014e-05,0.022383745554658,0.325289452815871,0.0240278176774554,0.866585650645736,-3.92549940432956,-4.16851704475609,-6.4690521534274,-7.69007735199439,-7.53759160137318,-13.8323018774082,-7.63436822127624,-4.95798786183991,-7.5634910428092,-3.97814232090043,3.83494799286607,964.801931344823
0.912040578137609,0.715274826972743,0.0716742633130257,0.0211387222217957,0.024620816532308,4.54511120813189e-05,0.0223497618542009,0.324795588225632,0.023991337895437,0.865269973289591,-3.92549940432956,-4.16851704475609,-6.4690521534274,-7.69007735199439,-7.53759160137318,-13.8323018774082,-7.63436822127624,-4.95798786183991,-7.5634910428092,-3.97814232090043,3.83342860800389,1223.61170120158
1.1337174356471,0.704257823979514,0.0799356931177631,0.0280177580633133,0.0424029433559597,4.65494048611836e-05,0.0203669576398466,0.207597834116788,0.0167320677388191,0.794417872953143,-3.65609726582097,-4.13221002778823,-6.30813206874856,-7.35651601845328,-6.94213676554389,-13.7565956044228,-7.67544068000217,-5.35375182587121,-7.87202744211413,-4.01174493298499,3.78159926516293,1253.87281976975
1.69520322481662,1.04927834161778,0.0661573854435218,0.0203955802682528,0.0398134888339925,4.38920050811933e-05,0.0251756443716294,0.309260843232658,0.0157216716659429,0.568501179705037,-3.2694535142534,-3.74915351036827,-6.51297489228255,-7.68969319966751,-7.02080565322942,-13.8310345156157,-7.47913438955552,-4.97082634987029,-7.94997130210784,-4.36200803522066,3.79725614454576,1071.00154517692
