"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
1.1207669907461,0.3370428774559,4.05936577704738e-06,0.010673813341639,3.59505819105946e-07,0.00391323879853637,7.71291296850138e-14,2.82117279483702e-05,0.00400220972141907,0.0831771120870563,-2.35631169292289,-3.55787008093487,-14.8848087661215,-7.01028684544069,-17.3088604302702,-8.01371486766374,-32.6636203257885,-12.9460977388008,-7.99123359705947,-4.95710802112658,2.47032495701851,14.1755497422788
2.04989885477645,0.616456243101408,7.42463806143027e-06,0.0195225572539014,6.57541284634158e-07,0.00715736972789179,1.41070281259766e-13,5.15996538889234e-05,0.00732009881826608,0.152132127568607,-2.35631169292289,-3.55787008093487,-14.8848087661215,-7.01028684544069,-17.3088604302702,-8.01371486766374,-32.6636203257885,-12.9460977388008,-7.99123359705947,-4.95710802112658,3.07410214572255,11.1187273675554
1.2995563266796,0.390809336264026,4.70693241452154e-06,0.0123765437173431,4.16855658272242e-07,0.00453749466252625,8.94330840228665e-14,3.27121782177593e-05,0.00464065859104788,0.0964458653227415,-2.35631169292289,-3.55787008093487,-14.8848087661215,-7.01028684544069,-17.3088604302702,-8.01371486766374,-32.6636203257885,-12.9460977388008,-7.99123359705947,-4.95710802112658,2.61833461196912,13.7417476470894
1.144268981156,0.402569638587819,2.29289789825618e-06,0.0113921633808075,5.30697347665459e-07,0.0077801783999119,6.70839414179306e-14,5.25146615423878e-05,0.00580312892215013,0.0726524472814852,-2.54389996785072,-3.58855313852315,-15.6643600392204,-7.15349553926048,-17.1277399014882,-7.53484196703406,-33.0114976592654,-12.5330841164398,-7.82802399411407,-5.30073416018076,2.67866595655926,14.6294847352277
1.36269133079037,0.47941363925537,2.73057483843057e-06,0.0135667422027736,6.31998845417073e-07,0.00926528799797732,7.98891754569028e-14,6.2538856861179e-05,0.00691085190973532,0.0865206185797034,-2.54389996785072,-3.58855313852315,-15.6643600392204,-7.15349553926048,-17.1277399014882,-7.53484196703406,-33.0114976592654,-12.5330841164398,-7.82802399411407,-5.30073416018076,2.85336163181529,14.1648301373026
1.63551608780445,0.575397158548197,3.27726387942675e-06,0.0162829429015758,7.58531485302651e-07,0.0111202935224108,9.58838063682505e-14,7.50597763398358e-05,0.00829447522224315,0.103842932303549,-2.54389996785072,-3.58855313852315,-15.6643600392204,-7.15349553926048,-17.1277399014882,-7.53484196703406,-33.0114976592654,-12.5330841164398,-7.82802399411407,-5.30073416018076,3.03585837242625,5.39998926014957
1.23406872925464,0.434162430783258,2.4728395527711e-06,0.0122861956570837,5.72345324602518e-07,0.00839074992809296,7.23485436574394e-14,5.66358982932327e-05,0.00625854589488548,0.078354053784911,-2.54389996785072,-3.58855313852315,-15.6643600392204,-7.15349553926048,-17.1277399014882,-7.53484196703406,-33.0114976592654,-12.5330841164398,-7.82802399411407,-5.30073416018076,2.7542165880995,3.40967506574367
0.837521928275533,0.294651786885491,1.67823501354236e-06,0.00833823759889467,3.88431979951479e-07,0.00569452648208554,4.9100581155235e-14,3.84369246409919e-05,0.00424746961155988,0.053176323699393,-2.54389996785072,-3.58855313852315,-15.6643600392204,-7.15349553926048,-17.1277399014882,-7.53484196703406,-33.0114976592654,-12.5330841164398,-7.82802399411407,-5.30073416018076,2.36659213524059,9.15494608061027
2.7368264070725,0.725577678225159,2.48012585661019e-06,0.0116817245125923,1.03931969847414e-06,0.0114302572533322,1.75564401015005e-13,0.000153447898745918,0.0100845195214151,0.143467179034244,-2.0923648289267,-3.41995097629804,-16.0063650828898,-7.54889349830258,-16.8761080273818,-7.57065512702336,-32.4699342944146,-11.8813133028522,-7.69591758405269,-5.04081281992158,3.09916383244788,3.56309354766978
1.75218112927391,0.522145642167865,1.50566992640189e-06,0.0107229223269788,9.91717959526706e-07,0.00481876520151258,1.60687256733395e-13,0.000147259822326826,0.00357342460086267,0.116439379287796,-2.22936145297793,-3.44003154646768,-16.1964954494214,-7.325594379798,-16.6140499095171,-8.12546039043582,-32.249539248234,-11.6135348569886,-8.42445369548467,-4.94060731530323,2.79022282443711,4.95944816902012
1.37969087701449,0.41114446842057,1.18558465591546e-06,0.0084433725842021,7.80891997106157e-07,0.00379436022676311,1.26527297014905e-13,0.000115954355414893,0.00281376236688066,0.0916859259836764,-2.22936145297793,-3.44003154646768,-16.1964954494214,-7.325594379798,-16.6140499095171,-8.12546039043582,-32.249539248234,-11.6135348569886,-8.42445369548467,-4.94060731530323,2.5512209248914,1.59200559363175
1.33053000354876,0.396494649736624,1.14334013707187e-06,0.00814251999602371,7.53067407337756e-07,0.00365916033083068,1.22018901299503e-13,0.000111822692671217,0.00271350294066762,0.0884189911354698,-2.22936145297793,-3.44003154646768,-16.1964954494214,-7.325594379798,-16.6140499095171,-8.12546039043582,-32.249539248234,-11.6135348569886,-8.42445369548467,-4.94060731530323,2.51493881474084,5.07166432951839
0.978451672741619,0.291576178089309,8.40795071623204e-07,0.00598788624772977,5.53794399548703e-07,0.00269089125159277,8.97308574509106e-14,8.22327195950483e-05,0.00199546908690829,0.0650219908967698,-2.22936145297793,-3.44003154646768,-16.1964954494214,-7.325594379798,-16.6140499095171,-8.12546039043582,-32.249539248234,-11.6135348569886,-8.42445369548467,-4.94060731530323,2.20757757048769,6.94006486139328
0.688848419956615,0.205275125148514,5.91935578148782e-07,0.00421558478107669,3.89881695476119e-07,0.00189443816038551,6.31722149375226e-14,5.78933845583429e-05,0.00140484784878285,0.0457767071583321,-2.22936145297793,-3.44003154646768,-16.1964954494214,-7.325594379798,-16.6140499095171,-8.12546039043582,-32.249539248234,-11.6135348569886,-8.42445369548467,-4.94060731530323,1.85662742074292,4.66605898110443
0.659794663458049,0.196617177581975,5.66969342251114e-07,0.00403778285806991,3.7343754388131e-07,0.00181453590116729,6.05077823902497e-14,5.54515987472614e-05,0.00134559517993207,0.0438459699096815,-2.22936145297793,-3.44003154646768,-16.1964954494214,-7.325594379798,-16.6140499095171,-8.12546039043582,-32.249539248234,-11.6135348569886,-8.42445369548467,-4.94060731530323,1.813534844637,7.25896574893709
0.689663685169084,0.205518072165115,5.92636145168908e-07,0.0042205740058795,3.90343127881408e-07,0.00189668026399581,6.3246980455946e-14,5.79619024805666e-05,0.00140651051294342,0.045830884762296,-2.22936145297793,-3.44003154646768,-16.1964954494214,-7.325594379798,-16.6140499095171,-8.12546039043582,-32.249539248234,-11.6135348569886,-8.42445369548467,-4.94060731530323,1.85781023996444,8.12456923397992
0.959468803991516,0.285919330159541,8.24482868440359e-07,0.00587171570819488,5.43050275240838e-07,0.0026386854688517,8.79899957024177e-14,8.0637328666171e-05,0.0019567551383026,0.0637605040462182,-2.22936145297793,-3.44003154646768,-16.1964954494214,-7.325594379798,-16.6140499095171,-8.12546039043582,-32.249539248234,-11.6135348569886,-8.42445369548467,-4.94060731530323,2.18798597613909,11.3486595175473
0.872610546716979,0.260035784352271,7.49844542725629e-07,0.00534016430026621,4.93889322509858e-07,0.00239981202099531,8.00244863992371e-14,7.33374375075632e-05,0.00177961509944058,0.0579884286630883,-2.22936145297793,-3.44003154646768,-16.1964954494214,-7.325594379798,-16.6140499095171,-8.12546039043582,-32.249539248234,-11.6135348569886,-8.42445369548467,-4.94060731530323,2.09309552115476,38.5660145144854
