"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.665909671874602,2.14683560234864,2.8497526696181,1.1526102385425,0.61145015234344,1.3148979365529e-05,0.372545525752646,0.000192033212646967,0.202931545728927,4.91644649980262e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,2.0797277198352,9.43231149313073
0.705688736823162,2.2750798920273,3.01998671384358,1.22146305668867,0.647976000142595,1.39344524203297e-05,0.394800064605478,0.000203504590764453,0.215053951332285,5.21013745053053e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,2.13774794389816,22.7373284268447
0.701037407507844,2.26008440571117,3.00008140431971,1.21341216027118,0.643705066503135,1.38426077816759e-05,0.39219786193684,0.000202163253118785,0.213636489644133,5.1757964389826e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,2.13113493498381,16.8171265198352
0.719662447022285,2.32012993382641,3.07978704356745,1.24564988280969,0.660806910386028,1.42103757697397e-05,0.402617706295818,0.000207534291150965,0.219312346622285,5.31330609561769e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,2.15735596480681,16.051132573463
0.608092617346529,1.96043838313664,2.60232525949053,1.05253581129499,0.558361500395018,1.20073301463111e-05,0.340199569707294,0.000175360088354366,0.18531218271255,4.48958011331022e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,1.98890088783601,34.1183516541399
0.627283389865357,2.02230778588013,2.68445194652845,1.08575275020575,0.575982810425239,1.23862690362484e-05,0.350935915400397,0.000180894270925394,0.191160443062958,4.63126660678478e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,2.01997210228759,33.4318698460381
0.55059850260075,1.77508229405284,2.35627986639258,0.953020354303099,0.505569377521665,1.08720576606248e-05,0.308034283467568,0.000158780092554268,0.167791233448016,4.06509800839441e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,1.88957955943653,110.80294527028
0.589027868666469,1.89897527042803,2.52073788999993,1.01953700462198,0.54085590770405,1.1630879709276e-05,0.329533728497388,0.000169862248193804,0.179502327289235,4.34882406053533e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,1.95704718406447,40.1382593560104
0.595146283584847,1.91870051475395,2.5469215752412,1.0301272512822,0.546473945543044,1.17516932593856e-05,0.332956697405654,0.000171626659979228,0.181366873562159,4.39399664306461e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,1.96738091640175,26.7076228039363
0.696878293553747,2.24667577945449,2.98228252469003,1.2062132299519,0.639886093798193,1.37604823735746e-05,0.389871030896329,0.000200963859194799,0.212369027315209,5.14508947960726e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,2.1251844671221,51.2588922268236
0.588082754503776,1.89592830352178,2.51669328497017,1.01790112470234,0.539988087002282,1.16122175886488e-05,0.329004981029814,0.000169589698752572,0.179214310031,4.3418462324404e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,1.95544136325683,96.7889796221026
0.600153721372383,1.93484406420648,2.56835084681613,1.03879452900251,0.551071864340979,1.18505695768854e-05,0.335758126221036,0.000173070691213619,0.182892856939912,4.43096682238969e-05,-2.48632896529114,-1.31573277473721,-1.0324955119106,-1.93769857685708,-2.57164956403088,-13.3188941369765,-3.06712375167995,-10.6375699381952,-3.67461428980268,-12.0000671713915,1.97575951099825,59.391151923178
0.340303393153411,1.50651142824496,1.90963520200761,0.629554738665173,0.342476324873236,5.18506851719397e-06,0.25178356431231,0.00025991834107202,0.0897001373759899,2.42210774108179e-05,-2.701308663738,-1.21359427176105,-0.976478707174362,-2.08613341077351,-2.69494368540475,-13.7931184391459,-3.00257636956693,-9.87853398635785,-4.03467391569164,-12.2516782737625,1.62339093727798,61.9227745797884
0.327586489633474,1.45021413333072,1.83827344919882,0.606028711498835,0.329678220390886,4.99130607637196e-06,0.242374585854601,0.000250205371607196,0.086348104996397,2.33159524230003e-05,-2.701308663738,-1.21359427176105,-0.976478707174362,-2.08613341077351,-2.69494368540475,-13.7931184391459,-3.00257636956693,-9.87853398635785,-4.03467391569164,-12.2516782737625,1.5853054954493,27.7788731990771
0.263257240283632,1.16543075689148,1.4772855732366,0.487020836238803,0.264938210909828,4.01114668845712e-06,0.19477868167995,0.000201071709969324,0.0693916402062447,1.87373212379156e-05,-2.701308663738,-1.21359427176105,-0.976478707174362,-2.08613341077351,-2.69494368540475,-13.7931184391459,-3.00257636956693,-9.87853398635785,-4.03467391569164,-12.2516782737625,1.36668503884332,13.3726687055981
0.252641309255585,1.11843439500683,1.41771356778174,0.467381567813888,0.254254494212492,3.8493959364468e-06,0.186924170069099,0.000192963430013088,0.0665934004861943,1.7981732864742e-05,-2.701308663738,-1.21359427176105,-0.976478707174362,-2.08613341077351,-2.69494368540475,-13.7931184391459,-3.00257636956693,-9.87853398635785,-4.03467391569164,-12.2516782737625,1.32552411754704,8.55152538826525
0.461728943010433,2.97166557564324,2.04643061742719,0.915412033680586,0.94665694702343,5.0633502296382e-06,0.466831152177688,0.000331471460377501,0.0435095761590417,4.10481890680704e-05,-2.83362353334096,-0.971723674317126,-1.34474915648724,-2.14922727485445,-2.1156647735986,-14.25432846286,-2.82263391501942,-10.0728151142422,-5.19562049335006,-12.1616101081334,2.06084626982213,5.46442226857967
0.181443028774898,1.16775872665757,0.804174343030696,0.359724324156654,0.372002462221321,1.98971629420439e-06,0.183448015247511,0.000130256477601781,0.0170977137095567,1.6130476252313e-05,-2.83362353334096,-0.971723674317126,-1.34474915648724,-2.14922727485445,-2.1156647735986,-14.25432846286,-2.82263391501942,-10.0728151142422,-5.19562049335006,-12.1616101081334,1.12680996774222,3.94913911851811
0.232141740515678,1.49405323058719,1.0288762975887,0.46023829782489,0.47594718650399,2.54568173154808e-06,0.234706959210523,0.00016665267124389,0.0218751475114505,2.06376450935699e-05,-2.83362353334096,-0.971723674317126,-1.34474915648724,-2.14922727485445,-2.1156647735986,-14.25432846286,-2.82263391501942,-10.0728151142422,-5.19562049335006,-12.1616101081334,1.37321638996946,5.15145618071252
0.218645323611594,1.40719093157924,0.969058776516701,0.433480645672923,0.448276240128234,2.39767912814827e-06,0.221061403849568,0.000156963703097574,0.0206033550712068,1.9437799423926e-05,-2.83362353334096,-0.971723674317126,-1.34474915648724,-2.14922727485445,-2.1156647735986,-14.25432846286,-2.82263391501942,-10.0728151142422,-5.19562049335006,-12.1616101081334,1.31331914443629,7.13855666653737
0.356844018239252,2.29663117490955,1.58156974048311,0.707469855178138,0.73161727022668,3.91317518437631e-06,0.360787225284645,0.000256175424225178,0.0336260748292064,3.17238088498252e-05,-2.83362353334096,-0.971723674317126,-1.34474915648724,-2.14922727485445,-2.1156647735986,-14.25432846286,-2.82263391501942,-10.0728151142422,-5.19562049335006,-12.1616101081334,1.80316701695991,8.08899030756731
0.437688546939319,2.81694272685759,1.93988108588982,0.867750157181221,0.897368271720696,4.79972165098848e-06,0.442525104297054,0.000314213055171645,0.0412442049719336,3.89109725514612e-05,-2.83362353334096,-0.971723674317126,-1.34474915648724,-2.14922727485445,-2.1156647735986,-14.25432846286,-2.82263391501942,-10.0728151142422,-5.19562049335006,-12.1616101081334,2.00737583175072,2.62617485526401
0.680344870473742,4.37866731500649,3.01535910716244,1.34883439929918,1.39487291787808,7.46070699767362e-06,0.68786283504489,0.000488414060218827,0.0641101611765796,6.04833751434703e-05,-2.83362353334096,-0.971723674317126,-1.34474915648724,-2.14922727485445,-2.1156647735986,-14.25432846286,-2.82263391501942,-10.0728151142422,-5.19562049335006,-12.1616101081334,2.44846808642694,2.07531465944383
0.698627342234159,5.2090557410761,3.65922173482086,1.42932212215097,0.747991107649545,1.23256941419472e-05,0.538309174304572,0.000463723185911801,0.0594124599843394,4.63547985120774e-05,-2.87168332807656,-0.8626469196903,-1.2157950352703,-2.15584522788774,-2.80340970856038,-13.816870039101,-3.13236772976631,-10.1892682851635,-5.33629682987782,-12.4922312628554,2.51304551931299,2.66614629674885
0.710831109864878,5.30004860951475,3.72314178068998,1.45428981807938,0.761057171795284,1.25410019292356e-05,0.547712470854187,0.000471823598912739,0.0604502891848107,4.71645337677877e-05,-2.87168332807656,-0.8626469196903,-1.2157950352703,-2.15584522788774,-2.80340970856038,-13.816870039101,-3.13236772976631,-10.1892682851635,-5.33629682987782,-12.4922312628554,2.53036291181287,6.75873208355044
0.501007368420355,3.73557567965435,2.62414157162303,1.02501129250656,0.536407657975288,8.83913813945943e-06,0.386038230270801,0.000332550301146537,0.0426065205706719,3.32424659217069e-05,-2.87168332807656,-0.8626469196903,-1.2157950352703,-2.15584522788774,-2.80340970856038,-13.816870039101,-3.13236772976631,-10.1892682851635,-5.33629682987782,-12.4922312628554,2.18054885749699,3.42738937498138
0.223173397592913,1.66400969115976,1.16892211016856,0.456590595545616,0.238942432927975,3.93738817973065e-06,0.171960471802893,0.000148134309504107,0.0189790461273042,1.48078342390554e-05,-2.87168332807656,-0.8626469196903,-1.2157950352703,-2.15584522788774,-2.80340970856038,-13.816870039101,-3.13236772976631,-10.1892682851635,-5.33629682987782,-12.4922312628554,1.37187708608663,5.12513862293277
0.42072311994477,3.13696594860326,2.20363431514186,0.860757697679521,0.450450667296935,7.42270475458558e-06,0.324177285395171,0.000279260563927586,0.035779011236905,2.79155055570037e-05,-2.87168332807656,-0.8626469196903,-1.2157950352703,-2.15584522788774,-2.80340970856038,-13.816870039101,-3.13236772976631,-10.1892682851635,-5.33629682987782,-12.4922312628554,2.00590299407527,3.30914912339658
0.899829963439745,4.64296761131288,8.59883558177394,1.9018129444516,1.34289239321818,2.42525204941707e-05,0.579642752021305,0.000346211103688933,0.0852317951821847,5.75001688110473e-05,-2.99878605808019,-1.35788286185836,-0.74160979843729,-2.25042898254042,-2.59841080491657,-13.5202266031395,-3.43857990506599,-10.8616984377509,-5.35561732693433,-12.6569592693825,2.89323659506154,1.34000137963674
0.64653942573642,3.33603206727627,6.17837418726309,1.36647711114608,0.964885491719048,1.74257485414485e-05,0.416480787760773,0.000248757139967815,0.0612401433054345,4.13146123526827e-05,-2.99878605808019,-1.35788286185836,-0.74160979843729,-2.25042898254042,-2.59841080491657,-13.5202266031395,-3.43857990506599,-10.8616984377509,-5.35561732693433,-12.6569592693825,2.56266495880155,8.42073465488476
0.675205635625736,2.85075277350203,4.20256044484614,1.55759595363032,1.29931765749773,2.06221312400116e-05,0.691053827271254,0.00024169111170946,0.0436227463647657,6.52048276355061e-05,-2.81934762625364,-1.37902654666308,-0.990915667854636,-1.98346605987141,-2.16477038929805,-13.2157553639315,-2.79614719772594,-10.7544596821125,-5.55878619617484,-12.0645866854039,2.42660963712052,6.27156352798114
0.423264420680532,2.92033484083197,3.63016544571616,1.38770896302399,1.37742800081677,1.44835470569104e-05,0.522750143415081,0.000237742175870876,0.0270876679229479,2.99154711427147e-05,-3.19083565225738,-1.25937918379099,-1.04179924044429,-2.00342330573464,-2.0108594723454,-13.473574703526,-2.97972913134078,-10.6754012311555,-5.9397541778754,-12.7482122468806,2.33107746501471,7.3490586048384
0.303638487472628,2.9218722140032,2.28870699490114,0.652557614468761,0.415490707817628,5.09841404816029e-06,0.300423799374008,0.000134170374414613,0.0155428194620588,1.45510458330198e-05,-3.12320500865746,-0.859062957495338,-1.10330051043909,-2.35814338314048,-2.80958256628677,-14.117868575038,-3.13384867411136,-10.8476876522608,-6.09544405542819,-13.0691352258654,1.93128753749357,26.2037653516563
0.248214135641279,2.38853115127065,1.8709401209448,0.533443653931059,0.339649521265754,4.16778006845901e-06,0.245586237464085,0.000109679717453447,0.0127057262414771,1.18949850336257e-05,-3.12320500865746,-0.859062957495338,-1.10330051043909,-2.35814338314048,-2.80958256628677,-14.117868575038,-3.13384867411136,-10.8476876522608,-6.09544405542819,-13.0691352258654,1.7297415534481,18.8247593551211
0.371008699186868,2.46357668645027,2.32461403514494,0.548107269801661,0.39416406953488,4.67503042414113e-06,0.189214565487396,0.000135516368111162,0.00790024750664801,1.36394180138423e-05,-2.83187928746804,-0.938735287179649,-0.996795499892015,-2.44163378213845,-2.7713375549852,-14.1136244061686,-3.50522315948332,-10.7467676458331,-6.68121070880597,-13.0428960928276,1.84034951876148,12.8872137640478
0.586024829284247,3.89132953019655,3.67183180902029,0.865759940181862,0.62259977209542,7.38441958964972e-06,0.298872866541585,0.000214054162777366,0.0124787941806583,2.15440706124051e-05,-2.83187928746804,-0.938735287179649,-0.996795499892015,-2.44163378213845,-2.7713375549852,-14.1136244061686,-3.50522315948332,-10.7467676458331,-6.68121070880597,-13.0428960928276,2.29748616795753,5.35761313714748
0.33913716739727,1.58289428268302,1.90634003116417,0.618692990713133,0.447122716865014,5.12398365142151e-06,0.247643825696721,0.000133619004835838,0.00584642636262393,8.77369851661824e-06,-2.71992491697854,-1.1793192913521,-0.993389097408085,-2.1187203926948,-2.44349647480217,-13.8201526516535,-3.03433803895812,-10.5590923423429,-6.78049896971398,-13.2823264039365,1.63857428712957,20.3512541435287
0.398357330005829,1.85929942439029,2.23922529850057,0.726729216279316,0.525199325813362,6.01873413651159e-06,0.29088741276598,0.000156951567452612,0.00686732985878358,1.03057625390318e-05,-2.71992491697854,-1.1793192913521,-0.993389097408085,-2.1187203926948,-2.44349647480217,-13.8201526516535,-3.03433803895812,-10.5590923423429,-6.78049896971398,-13.2823264039365,1.79951905457184,6.45563182671211
0.802801244113642,3.27001425036632,2.73844665791422,0.575378080223841,0.516891178565682,6.05657285173765e-06,0.260204761561179,0.000148788197991626,0.00476424996994271,6.65093691714992e-06,-2.3199532279268,-0.915510772773831,-1.09291426910973,-2.65303303902308,-2.76022802854606,-14.1146715694594,-3.44659152903465,-10.9132918688669,-7.4469202738484,-14.0210579390073,2.10030511558369,9.04941464448337
0.477573309238219,1.94527791063377,1.62905705762373,0.34228299451506,0.307490094806969,3.60295597528653e-06,0.154791550174433,8.85116616490863e-05,0.00283417426276627,3.95653342137609e-06,-2.3199532279268,-0.915510772773831,-1.09291426910973,-2.65303303902308,-2.76022802854606,-14.1146715694594,-3.44659152903465,-10.9132918688669,-7.4469202738484,-14.0210579390073,1.58091562428182,7.77003567141803
0.686230927010436,2.79519361338778,2.34081200347903,0.4918306196815,0.441836276701676,5.17713149179653e-06,0.222421870977296,0.00012718348879583,0.00407245964970182,5.68519124703505e-06,-2.3199532279268,-0.915510772773831,-1.09291426910973,-2.65303303902308,-2.76022802854606,-14.1146715694594,-3.44659152903465,-10.9132918688669,-7.4469202738484,-14.0210579390073,1.94341214831906,3.35727583108965
0.988685220333705,4.02716710184885,3.37251811354787,0.708603540655158,0.636574335822054,7.45893720057531e-06,0.32045366633684,0.000183239243079178,0.00586738444390212,8.19092282127446e-06,-2.3199532279268,-0.915510772773831,-1.09291426910973,-2.65303303902308,-2.76022802854606,-14.1146715694594,-3.44659152903465,-10.9132918688669,-7.4469202738484,-14.0210579390073,2.30857394915071,7.81362579949876
0.6377035971698,2.59752942032053,2.1752797435405,0.457050452003855,0.41059149613128,4.81102679199052e-06,0.206693143122216,0.000118189613894321,0.00378447263992842,5.283158724173e-06,-2.3199532279268,-0.915510772773831,-1.09291426910973,-2.65303303902308,-2.76022802854606,-14.1146715694594,-3.44659152903465,-10.9132918688669,-7.4469202738484,-14.0210579390073,1.8700715430996,7.03087292045989
