"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,1,NA,NA,NA,1,NA,NA,NA
2020-04-05,2,NA,NA,NA,2,NA,NA,NA
2020-04-12,3,NA,NA,NA,3,NA,NA,NA
2020-05-03,6,NA,NA,NA,6,NA,NA,NA
2020-05-10,7,NA,NA,NA,7,NA,NA,NA
2020-05-17,9,NA,NA,NA,9,NA,NA,NA
2020-05-24,11,NA,NA,NA,11,NA,NA,NA
2020-05-31,16,NA,NA,NA,16,NA,NA,NA
2020-06-07,21,NA,NA,NA,21,NA,NA,NA
2020-06-14,29,NA,NA,NA,29,NA,NA,NA
2020-06-21,34,NA,NA,NA,34,NA,NA,NA
2020-06-28,40,NA,NA,NA,40,NA,NA,NA
2020-07-05,54,NA,NA,NA,54,NA,NA,NA
2020-07-12,67,NA,NA,NA,67,NA,NA,NA
2020-07-19,88,NA,NA,NA,88,NA,NA,NA
2020-07-26,111,NA,NA,NA,111,NA,NA,NA
2020-08-02,127,NA,NA,NA,127,NA,NA,NA
2020-08-09,147,NA,NA,NA,147,NA,NA,NA
2020-08-16,161,NA,NA,NA,161,NA,NA,NA
2020-08-23,173,NA,NA,NA,173,NA,NA,NA
2020-08-30,185,NA,NA,NA,185,NA,NA,NA
2020-09-06,198,NA,NA,NA,198,NA,NA,NA
2020-09-13,203,NA,NA,NA,203,NA,NA,NA
2020-09-20,206,NA,NA,NA,206,NA,NA,NA
2020-09-27,210,NA,NA,NA,210,NA,NA,NA
2020-10-04,211,NA,NA,NA,211,NA,NA,NA
2020-10-25,214,NA,NA,NA,214,NA,NA,NA
2020-11-01,215,NA,NA,NA,215,NA,NA,NA
2020-11-08,218,NA,NA,NA,218,NA,NA,NA
2020-11-15,228,NA,NA,NA,228,NA,NA,NA
2020-11-22,235,NA,NA,NA,235,NA,NA,NA
2020-11-29,238,NA,NA,NA,238,NA,NA,NA
2020-12-06,245,NA,NA,NA,245,NA,NA,NA
2020-12-13,252,NA,NA,NA,252,NA,NA,NA
2020-12-20,256,NA,NA,NA,256,NA,NA,NA
2020-12-27,263,NA,NA,NA,263,NA,NA,NA
2021-01-03,277,NA,NA,NA,277,NA,NA,NA
2021-01-10,295,NA,NA,NA,295,NA,NA,NA
2021-01-17,313,NA,NA,NA,313,NA,NA,NA
2021-01-24,323,NA,NA,NA,323,NA,NA,NA
2021-01-31,340,NA,NA,NA,340,NA,NA,NA
2021-02-07,351,NA,NA,NA,351,NA,NA,NA
2021-02-14,361,NA,NA,NA,361,NA,NA,NA
2021-02-21,369,NA,NA,NA,369,NA,NA,NA
2021-02-28,382,NA,NA,NA,382,NA,NA,NA
2021-03-07,401,NA,NA,NA,401,NA,NA,NA
2021-03-14,430,NA,NA,NA,430,NA,NA,NA
2021-03-21,450,NA,NA,NA,450,NA,NA,NA
2021-03-28,464,NA,NA,NA,464,NA,NA,NA
2021-04-04,483,NA,NA,NA,483,NA,NA,NA
2021-04-11,504,NA,NA,NA,504,NA,NA,NA
2021-04-18,532,NA,NA,NA,532,NA,NA,NA
2021-04-25,574,NA,NA,NA,574,NA,NA,NA
2021-05-02,612,NA,NA,NA,612,NA,NA,NA
2021-05-09,640,NA,NA,NA,640,NA,NA,NA
2021-05-16,674,NA,NA,NA,674,NA,NA,NA
2021-05-23,715,NA,NA,NA,715,NA,NA,NA
2021-05-30,759,NA,NA,NA,759,NA,NA,NA
2021-06-06,806,NA,NA,NA,806,NA,NA,NA
2021-06-13,852,NA,NA,NA,852,NA,NA,NA
2021-06-20,879,NA,NA,NA,879,NA,NA,NA
2021-06-27,914,NA,NA,NA,914,NA,NA,NA
2021-07-04,945,NA,NA,NA,945,NA,NA,NA
2021-07-11,960,NA,NA,NA,962,NA,NA,NA
2021-07-18,972,NA,NA,NA,974,NA,NA,NA
2021-07-25,990,NA,NA,NA,991,NA,NA,NA
2021-08-01,1004,NA,NA,NA,1001,NA,NA,NA
2021-08-08,1024,NA,NA,NA,1014,NA,NA,NA
2021-08-15,1043,NA,NA,NA,1025,NA,NA,NA
2021-08-22,1061,NA,NA,NA,1037,NA,NA,NA
2021-08-29,1082,1082,1046,1166,1043,1043,1043,1043
2021-09-05,NA,1102,1055,1208,NA,1043,1043,1043
