"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-05-17,1,NA,NA,NA,1,NA,NA,NA
2020-05-31,2,NA,NA,NA,2,NA,NA,NA
2020-06-07,3,NA,NA,NA,3,NA,NA,NA
2020-06-28,4,NA,NA,NA,4,NA,NA,NA
2020-07-05,9,NA,NA,NA,9,NA,NA,NA
2020-07-12,11,NA,NA,NA,11,NA,NA,NA
2020-07-19,17,NA,NA,NA,17,NA,NA,NA
2020-07-26,18,NA,NA,NA,18,NA,NA,NA
2020-08-02,22,NA,NA,NA,22,NA,NA,NA
2020-08-09,26,NA,NA,NA,26,NA,NA,NA
2020-08-16,34,NA,NA,NA,34,NA,NA,NA
2020-08-23,43,NA,NA,NA,43,NA,NA,NA
2020-08-30,45,NA,NA,NA,45,NA,NA,NA
2020-09-06,48,NA,NA,NA,48,NA,NA,NA
2020-09-13,50,NA,NA,NA,50,NA,NA,NA
2020-09-20,52,NA,NA,NA,52,NA,NA,NA
2020-10-04,53,NA,NA,NA,53,NA,NA,NA
2020-10-11,55,NA,NA,NA,55,NA,NA,NA
2020-10-18,56,NA,NA,NA,56,NA,NA,NA
2020-11-22,57,NA,NA,NA,57,NA,NA,NA
2020-11-29,58,NA,NA,NA,58,NA,NA,NA
2020-12-06,59,NA,NA,NA,59,NA,NA,NA
2020-12-13,60,NA,NA,NA,60,NA,NA,NA
2020-12-20,63,NA,NA,NA,63,NA,NA,NA
2020-12-27,66,NA,NA,NA,66,NA,NA,NA
2021-01-03,68,NA,NA,NA,68,NA,NA,NA
2021-01-10,71,NA,NA,NA,71,NA,NA,NA
2021-01-17,74,NA,NA,NA,74,NA,NA,NA
2021-01-24,80,NA,NA,NA,80,NA,NA,NA
2021-01-31,94,NA,NA,NA,94,NA,NA,NA
2021-02-07,105,NA,NA,NA,105,NA,NA,NA
2021-02-14,112,NA,NA,NA,112,NA,NA,NA
2021-02-21,115,NA,NA,NA,115,NA,NA,NA
2021-02-28,116,NA,NA,NA,116,NA,NA,NA
2021-03-07,118,NA,NA,NA,118,NA,NA,NA
2021-03-14,122,NA,NA,NA,122,NA,NA,NA
2021-03-21,134,NA,NA,NA,134,NA,NA,NA
2021-03-28,138,NA,NA,NA,138,NA,NA,NA
2021-04-04,142,NA,NA,NA,142,NA,NA,NA
2021-04-11,144,NA,NA,NA,144,NA,NA,NA
2021-04-18,150,NA,NA,NA,150,NA,NA,NA
2021-04-25,156,NA,NA,NA,156,NA,NA,NA
2021-05-02,163,NA,NA,NA,163,NA,NA,NA
2021-05-09,183,NA,NA,NA,183,NA,NA,NA
2021-05-16,197,NA,NA,NA,197,NA,NA,NA
2021-05-23,207,NA,NA,NA,207,NA,NA,NA
2021-05-30,215,NA,NA,NA,215,NA,NA,NA
2021-06-06,223,NA,NA,NA,223,NA,NA,NA
2021-06-13,233,NA,NA,NA,233,NA,NA,NA
2021-06-20,243,NA,NA,NA,243,NA,NA,NA
2021-06-27,251,NA,NA,NA,251,NA,NA,NA
2021-07-04,258,NA,NA,NA,258,NA,NA,NA
2021-07-11,263,NA,NA,NA,263,NA,NA,NA
2021-07-18,271,NA,NA,NA,271,NA,NA,NA
2021-07-25,275,NA,NA,NA,275,NA,NA,NA
2021-08-01,276,NA,NA,NA,276,NA,NA,NA
2021-08-08,278,NA,NA,NA,278,NA,NA,NA
2021-08-15,281,NA,NA,NA,281,NA,NA,NA
2021-08-22,283,NA,NA,NA,283,NA,NA,NA
2021-08-29,286,NA,NA,NA,286,NA,NA,NA
2021-09-05,287,NA,NA,NA,287,NA,NA,NA
2021-09-12,288,NA,NA,NA,288,NA,NA,NA
2021-09-19,290,290,289,315,289,289,289,289
2021-09-26,NA,291,290,320,NA,289,289,290
