"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,11,NA,NA,NA,11,NA,NA,NA
2020-03-22,14,NA,NA,NA,14,NA,NA,NA
2020-03-29,24,NA,NA,NA,24,NA,NA,NA
2020-04-05,34,NA,NA,NA,34,NA,NA,NA
2020-04-12,42,NA,NA,NA,42,NA,NA,NA
2020-04-19,51,NA,NA,NA,51,NA,NA,NA
2020-04-26,54,NA,NA,NA,54,NA,NA,NA
2020-05-03,60,NA,NA,NA,60,NA,NA,NA
2020-05-10,64,NA,NA,NA,64,NA,NA,NA
2020-05-17,72,NA,NA,NA,72,NA,NA,NA
2020-05-24,82,NA,NA,NA,82,NA,NA,NA
2020-05-31,92,NA,NA,NA,92,NA,NA,NA
2020-06-07,104,NA,NA,NA,104,NA,NA,NA
2020-06-14,119,NA,NA,NA,119,NA,NA,NA
2020-06-21,127,NA,NA,NA,127,NA,NA,NA
2020-06-28,137,NA,NA,NA,137,NA,NA,NA
2020-07-05,158,NA,NA,NA,158,NA,NA,NA
2020-07-12,183,NA,NA,NA,183,NA,NA,NA
2020-07-19,214,NA,NA,NA,214,NA,NA,NA
2020-07-26,249,NA,NA,NA,249,NA,NA,NA
2020-08-02,276,NA,NA,NA,276,NA,NA,NA
2020-08-09,313,NA,NA,NA,313,NA,NA,NA
2020-08-16,343,NA,NA,NA,343,NA,NA,NA
2020-08-23,366,NA,NA,NA,366,NA,NA,NA
2020-08-30,384,NA,NA,NA,384,NA,NA,NA
2020-09-06,402,NA,NA,NA,402,NA,NA,NA
2020-09-13,413,NA,NA,NA,413,NA,NA,NA
2020-09-20,418,NA,NA,NA,418,NA,NA,NA
2020-09-27,425,NA,NA,NA,425,NA,NA,NA
2020-10-04,429,NA,NA,NA,429,NA,NA,NA
2020-10-11,436,NA,NA,NA,436,NA,NA,NA
2020-10-18,439,NA,NA,NA,439,NA,NA,NA
2020-10-25,444,NA,NA,NA,444,NA,NA,NA
2020-11-01,447,NA,NA,NA,447,NA,NA,NA
2020-11-08,451,NA,NA,NA,451,NA,NA,NA
2020-11-15,463,NA,NA,NA,463,NA,NA,NA
2020-11-22,472,NA,NA,NA,472,NA,NA,NA
2020-11-29,476,NA,NA,NA,476,NA,NA,NA
2020-12-06,486,NA,NA,NA,486,NA,NA,NA
2020-12-13,498,NA,NA,NA,498,NA,NA,NA
2020-12-20,506,NA,NA,NA,506,NA,NA,NA
2020-12-27,515,NA,NA,NA,515,NA,NA,NA
2021-01-03,533,NA,NA,NA,533,NA,NA,NA
2021-01-10,554,NA,NA,NA,554,NA,NA,NA
2021-01-17,574,NA,NA,NA,574,NA,NA,NA
2021-01-24,586,NA,NA,NA,586,NA,NA,NA
2021-01-31,603,NA,NA,NA,603,NA,NA,NA
2021-02-07,618,NA,NA,NA,618,NA,NA,NA
2021-02-14,628,NA,NA,NA,628,NA,NA,NA
2021-02-21,639,NA,NA,NA,639,NA,NA,NA
2021-02-28,652,NA,NA,NA,652,NA,NA,NA
2021-03-07,673,NA,NA,NA,673,NA,NA,NA
2021-03-14,711,NA,NA,NA,711,NA,NA,NA
2021-03-21,736,NA,NA,NA,736,NA,NA,NA
2021-03-28,753,NA,NA,NA,753,NA,NA,NA
2021-04-04,773,NA,NA,NA,773,NA,NA,NA
2021-04-11,796,NA,NA,NA,796,NA,NA,NA
2021-04-18,829,NA,NA,NA,829,NA,NA,NA
2021-04-25,873,NA,NA,NA,873,NA,NA,NA
2021-05-02,912,NA,NA,NA,912,NA,NA,NA
2021-05-09,946,NA,NA,NA,946,NA,NA,NA
2021-05-16,984,NA,NA,NA,984,NA,NA,NA
2021-05-23,1029,NA,NA,NA,1029,NA,NA,NA
2021-05-30,1079,NA,NA,NA,1079,NA,NA,NA
2021-06-06,1128,NA,NA,NA,1128,NA,NA,NA
2021-06-13,1180,NA,NA,NA,1180,NA,NA,NA
2021-06-20,1213,NA,NA,NA,1213,NA,NA,NA
2021-06-27,1252,NA,NA,NA,1252,NA,NA,NA
2021-07-04,1290,NA,NA,NA,1290,NA,NA,NA
2021-07-11,1313,NA,NA,NA,1313,NA,NA,NA
2021-07-18,1327,NA,NA,NA,1327,NA,NA,NA
2021-07-25,1349,NA,NA,NA,1348,NA,NA,NA
2021-08-01,1366,NA,NA,NA,1364,NA,NA,NA
2021-08-08,1384,NA,NA,NA,1381,NA,NA,NA
2021-08-15,1402,NA,NA,NA,1397,NA,NA,NA
2021-08-22,1422,NA,NA,NA,1416,NA,NA,NA
2021-08-29,1431,NA,NA,NA,1423,NA,NA,NA
2021-09-05,1442,NA,NA,NA,1427,NA,NA,NA
2021-09-12,1454,1454,1428,1504,1428,1428,1428,1428
2021-09-19,NA,1465,1432,1526,NA,1429,1428,1429
