"dt_evoluca","n.casos"
2020-03-15,1
2020-03-29,1
2020-04-19,1
2020-05-17,1
2020-07-26,1
2020-08-16,1
2020-08-23,2
2020-08-30,3
2020-09-06,1
2020-09-13,3
2020-09-20,2
2020-09-27,2
2020-10-04,1
2020-10-11,4
2020-10-18,1
2020-10-25,3
2020-11-01,1
2020-11-08,1
2020-12-06,1
2020-12-13,1
2020-12-20,2
2021-01-03,1
2021-01-10,1
2021-01-17,5
2021-01-31,3
2021-02-07,2
2021-02-14,5
2021-02-21,1
2021-02-28,3
2021-03-07,1
2021-03-14,2
2021-03-21,1
2021-03-28,3
2021-04-04,3
2021-04-11,5
2021-04-18,8
2021-04-25,2
2021-05-02,4
2021-05-09,3
2021-05-16,3
2021-05-23,5
2021-06-06,3
2021-06-13,2
2021-06-20,3
2021-06-27,2
2021-07-04,1
2021-07-11,3
2021-07-18,1
2021-07-25,4
2021-08-01,2
2021-08-08,2
2021-08-15,1
2021-08-22,2
2021-08-29,2
2021-09-26,1
