"dt_sin_pri","n.casos"
2020-03-01,1
2020-03-08,1
2020-03-15,1
2020-03-22,2
2020-03-29,3
2020-04-05,3
2020-04-19,1
2020-04-26,2
2020-05-03,2
2020-05-10,2
2020-05-24,3
2020-06-07,1
2020-06-14,2
2020-06-28,2
2020-07-05,5
2020-07-12,1
2020-07-19,3
2020-07-26,2
2020-08-02,5
2020-08-09,5
2020-08-16,1
2020-08-23,6
2020-08-30,4
2020-09-06,4
2020-09-13,4
2020-09-20,5
2020-09-27,4
2020-10-04,7
2020-10-11,6
2020-10-18,2
2020-10-25,4
2020-11-01,2
2020-11-08,4
2020-11-15,1
2020-11-22,3
2020-11-29,2
2020-12-06,5
2020-12-13,2
2020-12-20,6
2020-12-27,7
2021-01-03,6
2021-01-10,7
2021-01-17,6
2021-01-24,8
2021-01-31,4
2021-02-07,12
2021-02-14,6
2021-02-21,10
2021-02-28,13
2021-03-07,13
2021-03-14,11
2021-03-21,13
2021-03-28,14
2021-04-04,15
2021-04-11,8
2021-04-18,18
2021-04-25,11
2021-05-02,9
2021-05-09,1
2021-05-16,6
2021-05-23,7
2021-05-30,19
2021-06-06,15
2021-06-13,8
2021-06-20,6
2021-06-27,2
2021-07-04,8
2021-07-11,2
2021-07-18,4
2021-07-25,6
2021-08-01,3
2021-08-08,8
2021-08-15,3
2021-08-22,1
2021-08-29,3
2021-09-05,1
2021-09-19,1
