"dt_notific","n.notific"
2020-04-05,2
2020-04-19,2
2020-05-10,1
2020-05-31,1
2020-06-07,1
2020-07-05,2
2020-07-12,2
2020-07-19,1
2020-07-26,1
2020-08-02,3
2020-08-09,3
2020-08-16,2
2020-08-23,1
2020-08-30,5
2020-09-06,1
2020-09-13,1
2020-09-20,4
2020-09-27,2
2020-10-11,5
2020-10-18,4
2020-10-25,5
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,4
2020-12-20,1
2020-12-27,3
2021-01-03,6
2021-01-10,3
2021-01-17,4
2021-01-24,6
2021-01-31,1
2021-02-07,5
2021-02-14,15
2021-02-21,10
2021-02-28,3
2021-03-07,9
2021-03-14,10
2021-03-21,12
2021-03-28,12
2021-04-04,9
2021-04-11,18
2021-04-18,13
2021-04-25,13
2021-05-02,13
2021-05-09,7
2021-05-16,2
2021-05-23,5
2021-05-30,8
2021-06-06,16
2021-06-13,10
2021-06-20,11
2021-06-27,7
2021-07-04,1
2021-07-11,6
2021-07-18,2
2021-07-25,5
2021-08-01,4
2021-08-08,3
2021-08-15,2
2021-08-22,3
2021-08-29,1
2021-09-12,1
