"dt_notific","n.notific"
2020-03-01,1
2020-03-15,2
2020-03-22,1
2020-03-29,1
2020-04-05,4
2020-04-12,1
2020-04-19,2
2020-05-03,1
2020-05-10,3
2020-05-17,2
2020-05-31,3
2020-06-07,1
2020-06-21,2
2020-07-05,3
2020-07-12,4
2020-07-19,2
2020-07-26,2
2020-08-02,4
2020-08-09,4
2020-08-16,4
2020-08-23,2
2020-08-30,5
2020-09-06,6
2020-09-13,2
2020-09-20,6
2020-09-27,5
2020-10-04,2
2020-10-11,6
2020-10-18,5
2020-10-25,6
2020-11-01,1
2020-11-08,3
2020-11-15,3
2020-11-22,2
2020-11-29,1
2020-12-06,3
2020-12-13,7
2020-12-20,2
2020-12-27,3
2021-01-03,8
2021-01-10,5
2021-01-17,5
2021-01-24,6
2021-01-31,2
2021-02-07,6
2021-02-14,16
2021-02-21,11
2021-02-28,5
2021-03-07,11
2021-03-14,13
2021-03-21,13
2021-03-28,14
2021-04-04,9
2021-04-11,18
2021-04-18,14
2021-04-25,14
2021-05-02,14
2021-05-09,7
2021-05-16,2
2021-05-23,5
2021-05-30,10
2021-06-06,17
2021-06-13,12
2021-06-20,12
2021-06-27,7
2021-07-04,2
2021-07-11,6
2021-07-18,2
2021-07-25,6
2021-08-01,5
2021-08-08,5
2021-08-15,6
2021-08-22,3
2021-08-29,3
2021-09-05,1
2021-09-12,1
2021-09-19,1
