"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
0.0814876403590532,3.44315521189837,1.29837845481535,0.0368532090197821,0.0220900513832122,0.0733720173329133,0.00129608382992382,0.00323605639402289,0.94059763646084,0.00125221510650058,-4.28254751493797,-0.538855328902291,-1.5141274492275,-5.07605617349968,-5.58787152813422,-4.38745624396287,-8.42365159222692,-7.50864344552637,-1.83648341493996,-8.45808480342412,1.77524359266616,86.1053607880741
0.0636655004003382,2.69010365934824,1.01441045133482,0.0287930535632698,0.0172587421722434,0.0573248431087162,0.00101261768323764,0.00252829936836295,0.734879779765297,0.000978343476543738,-4.28254751493797,-0.538855328902291,-1.5141274492275,-5.07605617349968,-5.58787152813422,-4.38745624396287,-8.42365159222692,-7.50864344552637,-1.83648341493996,-8.45808480342412,1.52843505684728,98.4979579696916
0.0625349272510301,2.64233274814845,0.996396531528256,0.0282817459784628,0.0169522611052907,0.0563068674704273,0.000994635599440545,0.00248340178079497,0.721829770863338,0.000960970034751467,-4.28254751493797,-0.538855328902291,-1.5141274492275,-5.07605617349968,-5.58787152813422,-4.38745624396287,-8.42365159222692,-7.50864344552637,-1.83648341493996,-8.45808480342412,1.51051747262398,47.7221569201203
0.0594018403782913,2.50994820065551,0.946475678811148,0.0268647911508421,0.0161029292348142,0.0534858150590529,0.000944802971871373,0.00235897989591915,0.685665094915678,0.000912824098818911,-4.28254751493797,-0.538855328902291,-1.5141274492275,-5.07605617349968,-5.58787152813422,-4.38745624396287,-8.42365159222692,-7.50864344552637,-1.83648341493996,-8.45808480342412,1.45911744464399,44.7493462345616
0.0473884700881141,2.00233872337982,0.755061360200904,0.0214316819776575,0.012846288524318,0.0426688959621968,0.000753726939881989,0.00188190210142178,0.546996854541061,0.000728215442941029,-4.28254751493797,-0.538855328902291,-1.5141274492275,-5.07605617349968,-5.58787152813422,-4.38745624396287,-8.42365159222692,-7.50864344552637,-1.83648341493996,-8.45808480342412,1.23317118798129,89.9335209865912
0.0530611010012673,2.24202843101815,0.845445886336461,0.0239971588010552,0.0143840518930622,0.0477765708420826,0.000843951729399373,0.00210717495822014,0.612475044925719,0.000815386381892674,-4.28254751493797,-0.538855328902291,-1.5141274492275,-5.07605617349968,-5.58787152813422,-4.38745624396287,-8.42365159222692,-7.50864344552637,-1.83648341493996,-8.45808480342412,1.34623633456827,158.476405661391
0.0501340648410562,2.11835029079911,0.798808130351158,0.0226733914794661,0.0135905772152499,0.0451410478727735,0.000797396396343511,0.00199093580784038,0.57868877645606,0.000770406813445976,-4.28254751493797,-0.538855328902291,-1.5141274492275,-5.07605617349968,-5.58787152813422,-4.38745624396287,-8.42365159222692,-7.50864344552637,-1.83648341493996,-8.45808480342412,1.28949294994149,127.55126078293
0.0520637160713616,2.19988521635956,0.829554113075619,0.02354608628094,0.0141136761127183,0.0468785187688825,0.000828088041677352,0.00206756657263551,0.600962404437207,0.000800059634539078,-4.28254751493797,-0.538855328902291,-1.5141274492275,-5.07605617349968,-5.58787152813422,-4.38745624396287,-8.42365159222692,-7.50864344552637,-1.83648341493996,-8.45808480342412,1.32726051352341,388.789479623639
0.0553189774070197,2.33743208830941,0.881421625306783,0.0250182951446207,0.0149961276090879,0.049809577885218,0.000879863888428249,0.00219684027859945,0.638537318925968,0.000850083017252789,-4.28254751493797,-0.538855328902291,-1.5141274492275,-5.07605617349968,-5.58787152813422,-4.38745624396287,-8.42365159222692,-7.50864344552637,-1.83648341493996,-8.45808480342412,1.38790825753128,283.331090112643
0.0490251741816675,2.07149554526376,0.781139687203801,0.0221718899134559,0.0132899739392644,0.0441425952936772,0.000779759178644551,0.00194689928042622,0.56588904475787,0.000753366565022712,-4.28254751493797,-0.538855328902291,-1.5141274492275,-5.07605617349968,-5.58787152813422,-4.38745624396287,-8.42365159222692,-7.50864344552637,-1.83648341493996,-8.45808480342412,1.26712616094713,97.5592722271711
