"lambda[10,1]","lambda[10,2]","lambda[10,3]","lambda[10,4]","lambda[10,5]","lambda[10,6]","lambda[10,7]","lambda[10,8]","lambda[10,9]","lambda[10,10]","Beta 0","Beta 1","Beta 2","Beta 3","Beta 4","Beta 5","Beta 6","Beta 7","Beta 8","Beta 9","alpha[10]","tau2.alpha"
2.07958182724337,0.175146512059892,0.00629727678979547,0.000187052339249118,2.38699872270844e-11,6.76170438070926e-11,5.22678417203986e-05,0.941473207164478,0.00106320417137973,0.00833741130302325,-2.30664182331257,-4.78094109577319,-8.10644664684114,-11.6229307434577,-27.4972078629003,-26.4559696895536,-12.8979379092925,-3.09911804111439,-9.88527677937242,-7.82581115833413,3.03880865221909,34.372415943169
2.32058299843119,0.195444109385912,0.00702706345255272,0.000208729693918165,2.66362620630168e-11,7.54531320707455e-11,5.832512251842e-05,1.05057982783031,0.00118641810177551,0.00930362761746694,-2.30664182331257,-4.78094109577319,-8.10644664684114,-11.6229307434577,-27.4972078629003,-26.4559696895536,-12.8979379092925,-3.09911804111439,-9.88527677937242,-7.82581115833413,3.14846026984938,42.4896736622204
3.56521090232792,0.353097284323437,0.00300252456887689,8.05838487463633e-05,1.83338506378519e-11,3.27476433782128e-11,3.02707316513935e-05,1.13229067328821,0.0010425373156478,0.00723006045916136,-1.77985897745975,-4.09209385574781,-8.85938400995143,-12.4772945050087,-27.7733541918666,-27.193272303068,-13.456411453095,-2.92683946337225,-9.91717999925998,-7.98059006929789,3.05108218871444,69.8902125880976
3.03482859621531,0.289252637343884,0.00292422432892785,4.75348814364125e-05,1.62250024174634e-11,1.89996262632412e-11,3.40877580739346e-05,0.625622898850816,0.000956469193861656,0.00431455173773916,-1.77536288004198,-4.125972622327,-8.72024384740489,-12.8395645976411,-27.7299855315892,-27.5721196345583,-13.1720900661424,-3.35452531464554,-9.837779803999,-8.33127967173926,2.88551782724704,46.5574279219727
2.52605417988724,0.24076082402714,0.002433992185993,3.95658872111061e-05,1.35049588060512e-11,1.58144303103011e-11,2.83731093983466e-05,0.520740229166852,0.000796121734222715,0.00359123789233023,-1.77536288004198,-4.125972622327,-8.72024384740489,-12.8395645976411,-27.7299855315892,-27.5721196345583,-13.1720900661424,-3.35452531464554,-9.837779803999,-8.33127967173926,2.70202135262673,40.8336499818516
2.29182125613289,0.218435842961254,0.00220829587644439,3.58970690534503e-05,1.22526871756523e-11,1.43480087748546e-11,2.57421617237906e-05,0.472453653460978,0.000722299912443857,0.00325823389023259,-1.77536288004198,-4.125972622327,-8.72024384740489,-12.8395645976411,-27.7299855315892,-27.5721196345583,-13.1720900661424,-3.35452531464554,-9.837779803999,-8.33127967173926,2.60470968987299,61.3941539428614
2.42886547527136,0.231497668550999,0.0023403455217665,3.80436089655946e-05,1.29853620916571e-11,1.52059778042804e-11,2.72814678293312e-05,0.500705002402094,0.000765491338136312,0.00345306676302427,-1.77536288004198,-4.125972622327,-8.72024384740489,-12.8395645976411,-27.7299855315892,-27.5721196345583,-13.1720900661424,-3.35452531464554,-9.837779803999,-8.33127967173926,2.66278714576644,494.372047289391
2.41450712770065,0.230129159664564,0.00232651046388487,3.78187124590018e-05,1.29085985392324e-11,1.51160869821294e-11,2.71201922044269e-05,0.497745062245639,0.000760966101639177,0.00343265380344575,-1.77536288004198,-4.125972622327,-8.72024384740489,-12.8395645976411,-27.7299855315892,-27.5721196345583,-13.1720900661424,-3.35452531464554,-9.837779803999,-8.33127967173926,2.65685805840911,510.29454654371
2.34833281983121,0.223822018266362,0.00226274787733778,3.67822164003339e-05,1.25548130547756e-11,1.47018009432685e-11,2.6376910096114e-05,0.484103381667583,0.000740110331734688,0.00333857518715493,-1.77536288004198,-4.125972622327,-8.72024384740489,-12.8395645976411,-27.7299855315892,-27.5721196345583,-13.1720900661424,-3.35452531464554,-9.837779803999,-8.33127967173926,2.62906851805787,386.139773945653
1.82198489740223,0.188682760631471,0.00117638471253717,2.52806365466847e-05,1.05334500877365e-11,1.4763982686271e-11,2.09328227822021e-05,0.869514134039861,0.000967235291790926,0.00317623474983441,-1.92889717415179,-4.19651187331821,-9.27413303042536,-13.114295493083,-27.8052888837198,-27.4676541873939,-13.3030158467743,-2.66864437388829,-9.46989245464517,-8.28088250858628,2.52882368393337,270.170829161839
1.83597888920236,0.193356089782951,0.00169652781346083,3.23914529982303e-05,1.07112294837584e-11,1.2113742977475e-11,3.27295592941114e-05,0.670617783107334,0.00136700187719101,0.00194243195990489,-1.90532920333973,-4.15612876247881,-8.89207857647758,-12.8505229635334,-27.7726354375372,-27.6495875217934,-12.8401389316492,-2.91246292431414,-9.10804234523793,-8.75672150062806,2.51290699721613,321.763187935389
1.5938351224801,0.182067851946936,0.00211645469211808,4.43871620421134e-05,4.82555841694041e-12,1.15844547280794e-11,2.73481610833862e-05,0.582626361477469,0.00103929718939412,0.00082838741467538,-2.0844786003213,-4.25399758749077,-8.70863464421978,-12.5731820125349,-28.6077163927566,-27.7319787652178,-13.0574830067992,-3.09083092649626,-9.41983231270265,-9.6466513598896,2.55062173900322,439.587050402101
1.58147445034115,0.180655860836175,0.00210004094757371,4.40429262115416e-05,4.7881347558365e-12,1.14946137873304e-11,2.71360678448904e-05,0.578107918300906,0.00103123712619696,0.000821963020399949,-2.0844786003213,-4.25399758749077,-8.70863464421978,-12.5731820125349,-28.6077163927566,-27.7319787652178,-13.0574830067992,-3.09083092649626,-9.41983231270265,-9.6466513598896,2.54283620862155,501.711538310301
1.08186195013155,0.184125391554627,0.00236236833452868,3.50012169701263e-05,7.41734914994665e-12,1.79610269179213e-11,2.36206790922017e-05,0.925315206554217,0.0016092306237705,0.00143695136310336,-2.49187918545417,-4.26270104769168,-8.61865340162553,-12.830690496564,-28.1977621500602,-27.3133796466908,-13.2239507669398,-2.6481836057338,-9.00256185769781,-9.11579428865316,2.57056277005967,1222.00900551768
1.06240985885046,0.18081478069226,0.00231989248585204,3.43718881843517e-05,7.28398374901827e-12,1.7638084110785e-11,2.31959746224985e-05,0.908677856604456,0.00158029633970395,0.00141111469412894,-2.49187918545417,-4.26270104769168,-8.61865340162553,-12.830690496564,-28.1977621500602,-27.3133796466908,-13.2239507669398,-2.6481836057338,-9.00256185769781,-9.11579428865316,2.55241896494262,1456.73126096523
1.06400753065408,0.181086693339138,0.0023233811835342,3.44235772722605e-05,7.29493753992756e-12,1.76646085913504e-11,2.32308571627e-05,0.910044343349637,0.00158267281887747,0.00141323675478162,-2.49187918545417,-4.26270104769168,-8.61865340162553,-12.830690496564,-28.1977621500602,-27.3133796466908,-13.2239507669398,-2.6481836057338,-9.00256185769781,-9.11579428865316,2.55392165403098,1159.00991654414
1.02007880896646,0.173610329945229,0.00222745783483103,3.30023620064665e-05,6.99375801658054e-12,1.69353057883401e-11,2.22717456625795e-05,0.872472161263837,0.00151733043005031,0.00135488972030024,-2.49187918545417,-4.26270104769168,-8.61865340162553,-12.830690496564,-28.1977621500602,-27.3133796466908,-13.2239507669398,-2.6481836057338,-9.00256185769781,-9.11579428865316,2.51175907345828,2461.24909255556
